config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_binary_prior_loss,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0000,0,0,20240710,stripe_target,1,scgi_ured,12,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0,11.181756019592285,19.140901565551758,0.4323844313621521,0.004685699939727783,0.9740428844495653,11.181756019592285,0.030564237385988235,0.27801966667175293,0.3784560561180115,0.0,1.0,1.0,0.2540697157382965,0.20976349711418152,0.14632056653499603,0.5161290168762207,0.216552734375,1.2720060348510742,0.00022801004524808377,0.030336227267980576,0.13860797882080078,0.0,0.0008969703339971602,0.3291032910346985
cfg0001,1,1,20240710,stripe_target,1,scgi_ured,12,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,10.896464347839355,17.38859748840332,0.41872310638427734,0.004685699939727783,0.9740428844495653,10.896464347839355,0.02444579266011715,0.3053624629974365,0.3632260859012604,0.0012944374466314912,1.0,0.9987055659294128,0.26805487275123596,0.19080394506454468,0.13313376903533936,0.5161290168762207,0.218994140625,1.7541919946670532,0.00022799658472649753,0.024217795580625534,0.12037411332130432,0.0,0.0008537984685972333,0.29474011063575745
cfg0002,2,2,20240710,stripe_target,1,scgi_ured,12,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0,9.586684226989746,14.664533615112305,0.40048879384994507,0.004685699939727783,0.9740428844495653,9.586684226989746,0.016095556318759918,0.35324788093566895,0.3339630663394928,0.008083854801952839,1.0,0.9919161200523376,0.2811320126056671,0.16428086161613464,0.11060993373394012,0.5483871102333069,0.2193603515625,2.1973791122436523,0.00022798457939643413,0.015867572277784348,0.08555825054645538,0.0,0.0007906422251835465,0.23646414279937744
cfg0003,3,3,20240710,stripe_target,1,scgi_ured,12,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0,11.500617027282715,21.73436164855957,0.9526066184043884,0.004685699939727783,0.9740428844495653,11.500617027282715,0.05258435383439064,0.21662794053554535,0.41026732325553894,0.0,1.0,1.0,0.2590113580226898,0.2536475956439972,0.16835512220859528,0.4838709533214569,0.21563720703125,0.5887856483459473,0.0002280664921272546,0.0523562878370285,0.14227494597434998,0.0,0.0011235018027946353,0.432880699634552
cfg0004,4,4,20240710,stripe_target,1,scgi_ured,12,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,12.162859916687012,21.941240310668945,0.8774998188018799,0.004685699939727783,0.9740428844495653,12.162859916687012,0.04494993016123772,0.2213526964187622,0.4067871868610382,0.0,1.0,1.0,0.265742689371109,0.2427312433719635,0.16541257500648499,0.4838709533214569,0.21661376953125,0.7962037920951843,0.00022805776097811759,0.04472187161445618,0.11608263850212097,0.0,0.0010966608533635736,0.4007530212402344
cfg0005,5,5,20240710,stripe_target,1,scgi_ured,12,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0,11.442444801330566,19.5667724609375,0.436074823141098,0.004685699939727783,0.9740428844495653,11.442444801330566,0.03112633340060711,0.2709285020828247,0.3782716393470764,0.0,1.0,1.0,0.2703789174556732,0.2067854404449463,0.14498278498649597,0.5161290168762207,0.217041015625,1.7280004024505615,0.000228047400014475,0.030898286029696465,0.07753336429595947,0.0,0.0010512573644518852,0.33204108476638794
cfg0006,6,6,20240710,stripe_target,1,scgi_ured,13,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0,11.264037132263184,19.96833610534668,0.44411247968673706,0.004685699939727783,0.9740428844495653,11.264037132263184,0.035750869661569595,0.2623787820339203,0.38697564601898193,0.0,1.0,1.0,0.26190662384033203,0.21871306002140045,0.15342624485492706,0.5161290168762207,0.216552734375,1.3336310386657715,0.00022803973115514964,0.03552282974123955,0.13854670524597168,0.0,0.001084289513528347,0.3546527028083801
cfg0007,7,7,20240710,stripe_target,1,scgi_ured,13,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,11.199570655822754,18.196731567382812,0.42430347204208374,0.004685699939727783,0.9740428844495653,11.199570655822754,0.028719479218125343,0.29168835282325745,0.3712240159511566,0.0017223476897925138,1.0,0.9982776641845703,0.26371097564697266,0.19775928556919098,0.13950976729393005,0.5161290168762207,0.21905517578125,1.610828161239624,0.00022803003957960755,0.028491448611021042,0.11477464437484741,0.0,0.0010372846154496074,0.31803977489471436
cfg0008,8,8,20240710,stripe_target,1,scgi_ured,13,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0,10.089126586914062,15.207996368408203,0.40457579493522644,0.004685699939727783,0.9740428844495653,10.089126586914062,0.018892928957939148,0.3437904715538025,0.3413345515727997,0.009346971288323402,1.0,0.9906530380249023,0.274592787027359,0.16923528909683228,0.11590198427438736,0.5483871102333069,0.21929931640625,2.083050489425659,0.00022801685554441065,0.01866491138935089,0.08560679852962494,0.0,0.0009682394447736442,0.2547574043273926
cfg0009,9,9,20240710,stripe_target,1,scgi_ured,13,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0,11.539320945739746,21.772865295410156,0.9517769813537598,0.004685699939727783,0.9740428844495653,11.539320945739746,0.05403928831219673,0.21670404076576233,0.4102575182914734,0.0,1.0,1.0,0.2591248154640198,0.2535858154296875,0.16843897104263306,0.4516128897666931,0.21563720703125,0.5855934023857117,0.0002280958869960159,0.05381119251251221,0.1464846134185791,0.0,0.0013245637528598309,0.438411146402359
cfg0010,10,10,20240710,stripe_target,1,scgi_ured,13,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,12.263772964477539,22.006628036499023,0.8480077981948853,0.004685699939727783,0.9740428844495653,12.263772964477539,0.04626920819282532,0.2222186028957367,0.40637367963790894,0.0,1.0,1.0,0.26635217666625977,0.24171943962574005,0.16550461947917938,0.4838709533214569,0.21649169921875,0.8027039766311646,0.00022809171059634537,0.04604111611843109,0.11536799371242523,0.0,0.0012962650507688522,0.405924528837204
cfg0011,11,11,20240710,stripe_target,1,scgi_ured,13,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0,11.551889419555664,19.437114715576172,0.434198796749115,0.004685699939727783,0.9740428844495653,11.551889419555664,0.03195605427026749,0.27416089177131653,0.37671947479248047,0.0006779730319976807,1.0,0.9993220567703247,0.26856106519699097,0.2050727903842926,0.14371347427368164,0.5161290168762207,0.21697998046875,1.7369928359985352,0.00022807820641901344,0.031727977097034454,0.07511351257562637,0.0,0.0012482403544709086,0.33557283878326416
cfg0012,12,12,20240710,stripe_target,1,scgi_ured,14,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0,11.315864562988281,20.515308380126953,0.4626089930534363,0.004685699939727783,0.9740428844495653,11.315864562988281,0.040554940700531006,0.2502519190311432,0.3936023712158203,0.0,1.0,1.0,0.27167242765426636,0.22606346011161804,0.15866874158382416,0.4838709533214569,0.21673583984375,1.3919553756713867,0.00022806979541201144,0.04032687097787857,0.13964936137199402,0.0,0.0012852129293605685,0.37637752294540405
cfg0013,13,13,20240710,stripe_target,1,scgi_ured,14,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,11.406477928161621,18.823532104492188,0.42991042137145996,0.004685699939727783,0.9740428844495653,11.406477928161621,0.032685305923223495,0.2809087634086609,0.3774140179157257,0.0,1.0,1.0,0.26253271102905273,0.2032991647720337,0.14425860345363617,0.5161290168762207,0.218994140625,1.565077543258667,0.00022806030756328255,0.032457247376441956,0.11499691009521484,0.0,0.001234556664712727,0.3378465175628662
cfg0014,14,14,20240710,stripe_target,1,scgi_ured,14,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0,10.467707633972168,15.612250328063965,0.4073743522167206,0.004685699939727783,0.9740428844495653,10.467707633972168,0.021522678434848785,0.3368050456047058,0.3463534712791443,0.010592455975711346,1.0,0.9894075393676758,0.2690534293651581,0.17246803641319275,0.1196068823337555,0.5483871102333069,0.219482421875,2.005371332168579,0.00022804440231993794,0.02129463478922844,0.07674334943294525,0.0,0.0011595853138715029,0.27006763219833374
