config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight
cfg0022,1,12.349905967712402,12.349905967712402,21.521642684936523,21.521642684936523,0.4848419427871704,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0016,1,12.32776927947998,12.32776927947998,21.981380462646484,21.981380462646484,0.6764089465141296,14,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0010,1,12.263772964477539,12.263772964477539,22.006628036499023,22.006628036499023,0.8480077981948853,13,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0028,1,12.19227409362793,12.19227409362793,20.291833877563477,20.291833877563477,0.4409131407737732,16,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0004,1,12.162859916687012,12.162859916687012,21.941240310668945,21.941240310668945,0.8774998188018799,12,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0049,1,11.840500831604004,11.840500831604004,18.91809844970703,18.91809844970703,0.42985469102859497,20,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0055,1,11.834476470947266,11.834476470947266,18.383419036865234,18.383419036865234,0.4256965219974518,21,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0043,1,11.819196701049805,11.819196701049805,19.305456161499023,19.305456161499023,0.43415483832359314,19,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0037,1,11.78058910369873,11.78058910369873,19.539152145385742,19.539152145385742,0.43802404403686523,18,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0061,1,11.769959449768066,11.769959449768066,17.657894134521484,17.657894134521484,0.42129960656166077,22,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0027,1,11.76884651184082,11.76884651184082,21.611251831054688,21.611251831054688,0.5257744789123535,16,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0031,1,11.725317001342773,11.725317001342773,19.618206024169922,19.618206024169922,0.4401639699935913,17,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0033,1,11.696160316467285,11.696160316467285,20.545021057128906,20.545021057128906,0.4475274085998535,17,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0021,1,11.677233695983887,11.677233695983887,21.840423583984375,21.840423583984375,0.8359269499778748,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0066,1,11.657878875732422,11.657878875732422,19.294702529907227,19.294702529907227,0.4320929944515228,23,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0025,1,11.648916244506836,11.648916244506836,19.515300750732422,19.515300750732422,0.43900349736213684,16,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0072,1,11.632171630859375,11.632171630859375,18.426612854003906,18.426612854003906,0.4265826642513275,24,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0067,1,11.600927352905273,11.600927352905273,16.813793182373047,16.813793182373047,0.41675347089767456,23,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
