config_id,object,object_index,step,loss,cnr,proxy_mean,proxy_std,proxy_min,proxy_max,proxy_range,proxy_tv_l1,proxy_roughness_l2,proxy_otsu_score,proxy_otsu_threshold,proxy_otsu_fg_fraction,proxy_hist_entropy,proxy_data_loss,proxy_aug_loss,proxy_denoiser_mse,proxy_binary_prior_loss,proxy_net_delta_mse,proxy_dual_abs_mean
cfg0000,stripe_target,1,1,0.00024273211602121592,2.86116361618042,0.47981134057044983,0.15254615247249603,0.0,1.0,1.0,0.2629185616970062,0.05818754807114601,0.01689600571990013,0.5161290168762207,0.3333740234375,2.9384536743164062,0.00022781564621254802,1.4916471627657302e-05,0.16352856159210205,0.0,2.3675722331972793e-05,0.0074142697267234325
cfg0000,stripe_target,1,2,0.0002992604859173298,3.397083044052124,0.4663963317871094,0.1646854430437088,0.0,1.0,1.0,0.26541197299957275,0.06212415546178818,0.02088659070432186,0.5161290168762207,0.28680419921875,2.94907808303833,0.00022777574486099184,7.148475560825318e-05,0.16087162494659424,0.0,1.6203648556256667e-05,0.022574150934815407
cfg0000,stripe_target,1,3,0.0006218873895704746,4.104093551635742,0.4500584602355957,0.18119360506534576,0.0,1.0,1.0,0.26789191365242004,0.06832176446914673,0.027451178058981895,0.5483871102333069,0.22979736328125,2.928830623626709,0.00022775106481276453,0.0003941363247577101,0.15746517479419708,0.0,2.5322144210804254e-05,0.043728556483983994
cfg0000,stripe_target,1,4,0.0013669118052348495,4.980292320251465,0.43227458000183105,0.202149897813797,0.0,1.0,1.0,0.2704591155052185,0.07762856036424637,0.03690749779343605,0.5483871102333069,0.22113037109375,2.870116949081421,0.00022775665274821222,0.0011391551233828068,0.15176716446876526,0.0,4.833226921618916e-05,0.06963245570659637
cfg0000,stripe_target,1,5,0.0026856190524995327,5.998257160186768,0.4137340784072876,0.22701957821846008,0.0,1.0,1.0,0.272853285074234,0.09064299613237381,0.04931424930691719,0.5483871102333069,0.21844482421875,2.77878737449646,0.0002277810126543045,0.002457838039845228,0.14865683019161224,0.0,8.780488860793412e-05,0.09927095472812653
cfg0000,stripe_target,1,6,0.0047012693248689175,7.106158256530762,0.395070880651474,0.2549748420715332,0.0,1.0,1.0,0.27491578459739685,0.1077309176325798,0.06464453786611557,0.5483871102333069,0.21728515625,2.65543532371521,0.00022781033476348966,0.004473458975553513,0.1457081437110901,0.0,0.00014543745783157647,0.13163863122463226
cfg0000,stripe_target,1,7,0.007481895852833986,8.231904029846191,0.3767700791358948,0.2848997712135315,0.0,1.0,1.0,0.2763308882713318,0.12880577147006989,0.08264986425638199,0.5483871102333069,0.216796875,2.4855799674987793,0.00022784029715694487,0.007254055701196194,0.14314863085746765,0.0,0.00022227433510124683,0.16573521494865417
cfg0000,stripe_target,1,8,0.011029156856238842,9.307857513427734,0.3589259386062622,0.3150038421154022,0.0,1.0,1.0,0.2757629156112671,0.15262404084205627,0.10204944759607315,0.5483871102333069,0.2166748046875,2.2400264739990234,0.00022787152556702495,0.0108012855052948,0.1410999298095703,0.0,0.00031884454074315727,0.20056992769241333
cfg0000,stripe_target,1,9,0.015274079516530037,10.230515480041504,0.33999890089035034,0.3405769467353821,0.0,1.0,1.0,0.26902952790260315,0.17426010966300964,0.11840011179447174,0.5483871102333069,0.216552734375,1.8770936727523804,0.00022790770162828267,0.015046171844005585,0.13961929082870483,0.0,0.00043520593317225575,0.23518535494804382
cfg0000,stripe_target,1,10,0.02008049190044403,10.754050254821777,0.31800785660743713,0.3563922643661499,0.0,1.0,1.0,0.2599967122077942,0.1882493793964386,0.12930656969547272,0.5483871102333069,0.21649169921875,1.5965851545333862,0.00022794149117544293,0.019852550700306892,0.13872593641281128,0.0,0.0005709683173336089,0.26868247985839844
cfg0000,stripe_target,1,11,0.025255316868424416,11.029162406921387,0.29676318168640137,0.3682871162891388,0.00024182526976801455,1.0,0.9997581839561462,0.2541605830192566,0.19957426190376282,0.13844932615756989,0.5161290168762207,0.21685791015625,1.4176011085510254,0.00022797551355324686,0.02502734214067459,0.13840165734291077,0.0,0.0007253072690218687,0.3002341687679291
cfg0000,stripe_target,1,12,0.030564237385988235,11.181756019592285,0.27801966667175293,0.3784560561180115,0.0,1.0,1.0,0.2540697157382965,0.20976349711418152,0.14632056653499603,0.5161290168762207,0.216552734375,1.2720060348510742,0.00022801004524808377,0.030336227267980576,0.13860797882080078,0.0,0.0008969703339971602,0.3291032910346985
cfg0001,stripe_target,1,1,0.00024273211602121592,2.7924976348876953,0.48098844289779663,0.1519954651594162,0.0,1.0,1.0,0.2640647888183594,0.05841679871082306,0.016696780920028687,0.5161290168762207,0.33990478515625,2.9407944679260254,0.00022781564621254802,1.4916471627657302e-05,0.12260172516107559,0.0,2.3675722331972793e-05,0.006454030983150005
cfg0001,stripe_target,1,2,0.00028449055389501154,3.220494508743286,0.4687027633190155,0.16304534673690796,0.0,1.0,1.0,0.2680596113204956,0.06241173297166824,0.02014591544866562,0.5161290168762207,0.2979736328125,2.960585594177246,0.00022777574486099184,5.67148053960409e-05,0.12501099705696106,0.0,1.442032225895673e-05,0.019885847344994545
cfg0001,stripe_target,1,3,0.0005369230639189482,3.775712251663208,0.4535546600818634,0.17780879139900208,0.0,1.0,1.0,0.2723274230957031,0.06822933256626129,0.02552785351872444,0.5483871102333069,0.23699951171875,2.9632012844085693,0.00022774518583901227,0.00030917790718376637,0.1264384388923645,0.0,2.0975072402507067e-05,0.038781508803367615
cfg0001,stripe_target,1,4,0.0011246094945818186,4.453004837036133,0.4375094771385193,0.19640423357486725,0.0,1.0,1.0,0.27706918120384216,0.07652833312749863,0.03333515301346779,0.5483871102333069,0.22723388671875,2.9409804344177246,0.00022775077377445996,0.0008968587499111891,0.11887775361537933,0.0,4.025709495181218e-05,0.06181996688246727
cfg0001,stripe_target,1,5,0.0021550902165472507,5.235689640045166,0.42092210054397583,0.21841850876808167,0.0,1.0,1.0,0.28181612491607666,0.08767450600862503,0.04361593723297119,0.5483871102333069,0.22216796875,2.896446943283081,0.00022777021513320506,0.0019273199141025543,0.11985762417316437,0.0,7.541481318185106e-05,0.08815182000398636
cfg0001,stripe_target,1,6,0.0037308991886675358,6.09787654876709,0.4043450653553009,0.2432229220867157,0.0,1.0,1.0,0.2863091826438904,0.10193722695112228,0.05640651285648346,0.5483871102333069,0.219970703125,2.826345443725586,0.00022779847495257854,0.0035031007137149572,0.12032219767570496,0.0,0.0001284816098632291,0.11694266647100449
cfg0001,stripe_target,1,7,0.0059125712141394615,7.009425163269043,0.3881980776786804,0.2699286639690399,0.0,1.0,1.0,0.29017820954322815,0.11926334351301193,0.07159796357154846,0.5483871102333069,0.21875,2.722768783569336,0.0002278304600622505,0.005684740841388702,0.12046436965465546,0.0,0.0002006870199693367,0.1473456174135208
cfg0001,stripe_target,1,8,0.00871142279356718,7.950745582580566,0.3726397156715393,0.2971780598163605,0.0,1.0,1.0,0.2924180030822754,0.13887634873390198,0.08830683678388596,0.5483871102333069,0.21844482421875,2.5741608142852783,0.00022786363842897117,0.008483558893203735,0.1204284280538559,0.0,0.0002926713495980948,0.17851042747497559
cfg0001,stripe_target,1,9,0.012084253132343292,8.91802978515625,0.35697925090789795,0.3220962882041931,0.0,1.0,1.0,0.29007840156555176,0.1579425036907196,0.10420633107423782,0.5483871102333069,0.21807861328125,2.3380942344665527,0.00022789437207393348,0.011856358498334885,0.12033847719430923,0.0,0.0004045598325319588,0.20960471034049988
cfg0001,stripe_target,1,10,0.015933915972709656,9.801852226257324,0.33972659707069397,0.34056881070137024,0.0003772488562390208,1.0,0.9996227622032166,0.2824113070964813,0.17240622639656067,0.11631134152412415,0.5483871102333069,0.21832275390625,2.0888280868530273,0.00022793214884586632,0.015705984085798264,0.12027622759342194,0.0,0.0005359906353987753,0.2398272156715393
cfg0001,stripe_target,1,11,0.020115267485380173,10.4497709274292,0.32181262969970703,0.35327601432800293,0.0008482253761030734,1.0,0.9991517663002014,0.2745845317840576,0.1825181245803833,0.1254562884569168,0.5483871102333069,0.21820068359375,1.8944528102874756,0.00022796195116825402,0.019887305796146393,0.12028492987155914,0.0,0.0006861505680717528,0.26843100786209106
cfg0001,stripe_target,1,12,0.02444579266011715,10.896464347839355,0.3053624629974365,0.3632260859012604,0.0012944374466314912,1.0,0.9987055659294128,0.26805487275123596,0.19080394506454468,0.13313376903533936,0.5161290168762207,0.218994140625,1.7541919946670532,0.00022799658472649753,0.024217795580625534,0.12037411332130432,0.0,0.0008537984685972333,0.29474011063575745
cfg0002,stripe_target,1,1,0.00024273211602121592,2.7306947708129883,0.48255473375320435,0.1507425159215927,0.0,1.0,1.0,0.2638712227344513,0.058096159249544144,0.016306284815073013,0.5161290168762207,0.34698486328125,2.937910318374634,0.00022781564621254802,1.4916471627657302e-05,0.08060145378112793,0.0,2.3675722331972793e-05,0.005298830568790436
