source_import,config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_binary_prior_loss,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0000,0,0,20240710,stripe_target,1,scgi_unn,25,0.0005,0.0,0.0,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0,2.496089220046997,7.402359962463379,0.1892691254615783,0.0046856999397277,0.9740428844495652,2.496089220046997,0.0002256290463265,0.4912119507789612,0.1437104493379593,0.0047589940950274,0.999445915222168,0.9946869015693665,0.2583053708076477,0.0547585226595401,0.0145999928936362,0.5161290168762207,0.3763427734375,2.9116644859313965,0.0002256290463265,0.0,0.0,0.0,2.8738475521095097e-05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0001,0,1,20240710,stripe_target,1,scgi_unn,25,0.0005,0.0,0.0,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0,2.493282556533813,7.381458759307861,0.1882556229829788,0.0046856999397277,0.9740428844495652,2.493282556533813,0.0002235907304566,0.4923463463783264,0.1430239379405975,0.0068930648267269,0.9994397163391112,0.9925466775894164,0.2560961842536926,0.0537876114249229,0.0144647313281893,0.5161290168762207,0.3782958984375,2.9075422286987305,0.0002235907304566,0.0,0.0,0.0,7.988730794750154e-05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0002,1,2,20240710,stripe_target,1,scgi_unn,25,0.0005,0.0,0.0,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0,2.4797956943511963,7.380620002746582,0.1885651051998138,0.0046856999397277,0.9740428844495652,2.4798178672790527,0.0002248462405987,0.492578387260437,0.1440848112106323,0.0013193833874538,1.0,0.998680591583252,0.2599663734436035,0.0554238818585872,0.0146200330927968,0.5161290168762207,0.38018798828125,2.914289951324463,0.0002248462405987,0.0,0.0,0.0,5.465051799546927e-05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0003,1,3,20240710,stripe_target,1,scgi_unn,25,0.0005,0.0,0.0,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0,2.454840898513794,7.348664283752441,0.1867827922105789,0.0046856999397277,0.9740428844495652,2.457637071609497,0.0002220227615907,0.4941598176956177,0.143830806016922,0.0,1.0,1.0,0.2594934999942779,0.0551444813609123,0.0145615274086594,0.5161290168762207,0.3836669921875,2.9139115810394287,0.0002220227615907,0.0,0.0,0.0,0.0001571574539411,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0004,2,4,20240710,stripe_target,1,scgi_unn,25,0.0005,0.0,0.01,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0,2.496913433074951,7.390500068664551,0.1892535090446472,0.0046856999397277,0.9740428844495652,2.496913433074951,0.0002257692394778,0.4921831488609314,0.1438188850879669,0.0055551128461956,1.0,0.9944449067115784,0.2584216296672821,0.0548037067055702,0.014613376930356,0.5161290168762207,0.3787841796875,2.91242790222168,0.0002257692394778,0.0,0.0,0.0,3.57346361852251e-05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0005,2,5,20240710,stripe_target,1,scgi_unn,25,0.0005,0.0,0.01,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0,2.497610092163086,7.321854591369629,0.1881622076034546,0.0046856999397277,0.9740428844495652,2.497610092163086,0.000224332063226,0.4971544146537781,0.1434315741062164,0.0112520605325698,1.0,0.9887479543685912,0.2565719783306122,0.0539753139019012,0.0145003125071525,0.5161290168762207,0.39056396484375,2.9088287353515625,0.000224332063226,0.0,0.0,0.0,0.0001369874516967,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0006,3,6,20240710,stripe_target,1,scgi_unn,25,0.0005,0.0,0.01,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0,2.479888916015625,7.380483150482178,0.1885417699813842,0.0046856999397277,0.9740428844495652,2.479888916015625,0.0002248535311082,0.4925957918167114,0.1440934985876083,0.0012998881284147,1.0,0.9987000823020936,0.2599647641181946,0.0554211884737014,0.0146223530173301,0.5161290168762207,0.3802490234375,2.9143757820129395,0.0002248535311082,0.0,0.0,0.0,5.4739117331337184e-05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0007,3,7,20240710,stripe_target,1,scgi_unn,25,0.0005,0.0,0.01,0.1,32,3,0.1,none,3,0.08,5,6,0.05,0.0,2.4555625915527344,7.348657131195068,0.1866567432880401,0.0046856999397277,0.9740428844495652,2.456082582473755,0.0002221848990302,0.4941573143005371,0.1437922716140747,0.0,1.0,1.0,0.2593812644481659,0.055088572204113,0.0145587529987096,0.5161290168762207,0.38409423828125,2.9135913848876958,0.0002221848990302,0.0,0.0,0.0,0.0001507383713033,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0008,4,8,20240710,stripe_target,1,scgi_unn,25,0.001,0.0,0.0,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0,2.504966974258423,7.438868522644043,0.1892232596874237,0.0046856999397277,0.9740428844495652,2.504966974258423,0.000223618117161,0.4886687994003296,0.1435491293668747,0.0012904106406494,0.9980537295341492,0.9967633485794068,0.2570306062698364,0.0542356744408607,0.0145752588286995,0.5161290168762207,0.369384765625,2.909881114959717,0.000223618117161,0.0,0.0,0.0,4.5729328121524304e-05,0.0
pro2_stage4_unn_stripe_puredata_colab_r1_shard1of2,cfg0009,4,9,20240710,stripe_target,1,scgi_unn,25,0.001,0.0,0.0,0.1,24,3,0.1,none,3,0.08,5,6,0.05,0.0,2.498385190963745,7.492740154266357,0.1880685240030288,0.0046856999397277,0.9740428844495652,2.5025863647460938,0.000219506517169,0.4840393662452698,0.1427467465400695,0.0,0.9929426908493042,0.9929426908493042,0.2536910772323608,0.0528054311871528,0.0142994569614529,0.5161290168762207,0.357421875,2.9021496772766118,0.000219506517169,0.0,0.0,0.0,0.0001906606776174,0.0
