source_import,config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0024,1,2.503075361251831,2.503075361251831,7.4541015625,7.4541015625,0.1892031133174896,50,0.0005,0.0,0.0,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0018,1,2.501978874206543,2.501978874206543,7.470874309539795,7.470874309539795,0.1881593465805053,25,0.002,0.0,0.0,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0046,1,2.50024938583374,2.50024938583374,7.4888153076171875,7.4888153076171875,0.1908182501792907,50,0.002,0.0,0.01,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0004,1,2.496913433074951,2.496913433074951,7.390500068664551,7.390500068664551,0.1892535090446472,25,0.0005,0.0,0.01,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0000,1,2.496089220046997,2.496089220046997,7.402359962463379,7.402359962463379,0.1892691254615783,25,0.0005,0.0,0.0,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0026,1,2.4858617782592773,2.4858617782592773,7.442752838134766,7.442752838134766,0.1883530020713806,50,0.0005,0.0,0.0,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0030,1,2.485713005065918,2.485713005065918,7.443966388702393,7.443966388702393,0.1883107870817184,50,0.0005,0.0,0.01,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0014,1,2.4835762977600098,2.4835762977600098,7.458896636962891,7.458896636962891,0.188303530216217,25,0.001,0.0,0.01,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0010,1,2.483095645904541,2.483095645904541,7.459663867950439,7.459663867950439,0.1883202642202377,25,0.001,0.0,0.0,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0006,1,2.479888916015625,2.479888916015625,7.380483150482178,7.380483150482178,0.1885417699813842,25,0.0005,0.0,0.01,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0002,1,2.4797956943511963,2.4797956943511963,7.380620002746582,7.380620002746582,0.1885651051998138,25,0.0005,0.0,0.0,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0058,1,2.4378604888916016,2.4378604888916016,7.443727493286133,7.443727493286133,0.1909870952367782,100,0.001,0.0,0.0,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0062,1,2.4374446868896484,2.4374446868896484,7.4443159103393555,7.4443159103393555,0.1910037845373153,100,0.001,0.0,0.01,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
