source_import,config_id,object,object_index,step,loss,cnr,proxy_mean,proxy_std,proxy_min,proxy_max,proxy_range,proxy_tv_l1,proxy_roughness_l2,proxy_otsu_score,proxy_otsu_threshold,proxy_otsu_fg_fraction,proxy_hist_entropy,proxy_data_loss,proxy_aug_loss,proxy_denoiser_mse,proxy_binary_prior_loss,proxy_net_delta_mse,proxy_dual_abs_mean
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0000,stripe_target,1,1,0.0002277749008499,2.468925952911377,0.483386754989624,0.1432488113641739,0.0,0.9896483421325684,0.9896483421325684,0.2593108117580414,0.0551386177539825,0.0143926963210105,0.5161290168762207,0.35833740234375,2.9091484546661377,0.0002277749008499,0.0,0.0,0.0,1.978329964913428e-05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0002,stripe_target,1,1,0.0002275976439705,2.459533214569092,0.489817202091217,0.1437263935804367,0.0014981062849983,1.0,0.9985018968582152,0.2610196471214294,0.0558530241250991,0.0145431859418749,0.5161290168762207,0.3740234375,2.9133338928222656,0.0002275976439705,0.0,0.0,0.0,1.1091805390606169e-05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0004,stripe_target,1,1,0.000227891432587,2.4703264236450195,0.4844054579734802,0.1433169692754745,0.0,0.9908313155174256,0.9908313155174256,0.259341835975647,0.0551528856158256,0.0144291948527097,0.5161290168762207,0.3603515625,2.909623146057129,0.0002277749008499,1.1653609277573197e-07,0.0,0.0,1.2714924196188804e-05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0006,stripe_target,1,1,0.0002276401646668,2.458333969116211,0.4890652894973755,0.1436748057603836,0.0008139167330227,1.0,0.999186098575592,0.2609996795654297,0.0558430105447769,0.0145229268819093,0.5161290168762207,0.37261962890625,2.913003921508789,0.0002275976439705,4.2514219700251494e-08,0.0,0.0,7.991688107722439e-06,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0008,stripe_target,1,1,0.0002277749008499,2.47022032737732,0.4838020503520965,0.143271803855896,0.0,0.9901279211044312,0.9901279211044312,0.2592689990997314,0.0551230683922767,0.0144032919779419,0.5161290168762207,0.35906982421875,2.9089677333831787,0.0002277749008499,0.0,0.0,0.0,1.6614281776128337e-05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0010,stripe_target,1,1,0.0002275976439705,2.461326360702514,0.4904107749462127,0.1437741965055465,0.0019191828323528,1.0,0.9980807900428772,0.2609854340553283,0.0558403506875038,0.0145533615723252,0.5161290168762207,0.37542724609375,2.9132239818573,0.0002275976439705,0.0,0.0,0.0,1.4464445484918542e-05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0012,stripe_target,1,1,0.000227891432587,2.473058223724365,0.4858403205871582,0.143410325050354,0.0009389278711751,0.9925091862678528,0.991570234298706,0.2593334913253784,0.0551526211202144,0.0144587000831961,0.5161290168762207,0.36334228515625,2.9102041721343994,0.0002277749008499,1.1653609277573197e-07,0.0,0.0,6.2620647440780886e-06,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0014,stripe_target,1,1,0.0002276401646668,2.458921432495117,0.4889075756072998,0.1436709612607956,0.0005509345792233,1.0,0.9994490742683412,0.2609454989433288,0.0558202974498271,0.0145165957510471,0.5161290168762207,0.37213134765625,2.912748336791992,0.0002275976439705,4.2514219700251494e-08,0.0,0.0,7.600981916766614e-06,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0016,stripe_target,1,1,0.0002277749008499,2.472814083099365,0.4846376180648803,0.1433195620775222,0.0,0.9910944700241088,0.9910944700241088,0.2591862976551056,0.0550923757255077,0.0144266802817583,0.5161290168762207,0.36065673828125,2.909249782562256,0.0002277749008499,0.0,0.0,0.0,1.1406755220377818e-05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0018,stripe_target,1,1,0.0002275976439705,2.4649012088775635,0.4915939569473266,0.1438707709312439,0.002759278519079,1.0,0.9972407221794128,0.2609181404113769,0.0558154210448265,0.0145736383274197,0.5161290168762207,0.37847900390625,2.913870096206665,0.0002275976439705,0.0,0.0,0.0,2.3537026208941825e-05,0.0
