ensemble,abs_rel_err_mean,abs_rel_err_max,C0_measured_min,C0_measured_max,rho_star_spread_ratio_mean,rho_star_spread_ratio_max
binary,0.0008904615259818621,0.002124381712727393,62327.05421461327,885885.4061533794,2.153846153846154,2.153846153846154
gaussian_clipped,0.00029684404730944124,0.0007476714816769561,392626.4810106621,5664073.68098073,2.153846153846154,2.153846153846154
rademacher,0.01246762636167505,0.020065166656847815,1002.6629096542214,1029.705809402227,2.153846153846154,2.153846153846154
uniform,0.0003100199095004544,0.0007087912665273241,184884.1006345092,2656880.5089283115,2.153846153846154,2.153846153846154
