ensemble,object,family,K,K_eff,S2,mu,sigma,gamma_3,beta_4,C0_measured,C0_measured_se,C0_formula,abs_rel_err,rho_star_equal_exposure,rho_star_equal_count,rho_star_fixed_flux,rho_star_spread_ratio,rho_star_spread_abs
rademacher,digit_2,synthetic_digit,1024,210.00167616690024,202.46112184146244,-0.00046845703125,0.9999998902815405,0.0009369141652827409,1.000000877777987,1007.249307930892,10.039000582859906,1023.0470078795732,0.015441812377150197,0.14412220529787298,0.06691388103115531,0.10408825938179714,2.1538461538461537,0.07720832426671767
rademacher,letter_L,binary_letter,1024,59.80235255589372,51.459869349407995,-0.00046845703125,0.9999998902815405,0.0009369141652827409,1.000000877777987,1029.705809402227,10.187520892355142,1023.0133871009036,0.0065418716760773975,0.5173823110075625,0.2402132158249397,0.37366500239435063,2.153846153846154,0.2771690951826228
rademacher,stripe,stripe,1024,512.0,512.0,-0.00046845703125,0.9999998902815405,0.0009369141652827409,1.000000877777987,1013.9662570568222,10.048641406138687,1023.1146075102511,0.008941667322775664,0.0595072970497027,0.027628387915933392,0.04297749231367417,2.153846153846154,0.03187890913376931
rademacher,ring,ring,1024,220.0,220.0,-0.00046845703125,0.9999998902815405,0.0009369141652827409,1.000000877777987,1011.4400781991822,10.138684876971917,1023.0492459151687,0.011347613775524174,0.13814467851278164,0.06413860073807719,0.09977115670367563,2.153846153846154,0.07400607777470446
rademacher,natural_patch,procedural_natural,1024,864.2560692486833,202.63928285559996,-0.00046845703125,0.9999998902815405,0.0009369141652827409,1.000000877777987,1002.6629096542214,10.126833220101753,1023.1934568888933,0.020065166656847815,0.034860145400421864,0.016185067507338724,0.02517677167808246,2.1538461538461537,0.01867507789308314
gaussian_clipped,digit_2,synthetic_digit,1024,210.00167616690024,202.46112184146244,0.5000118833588422,0.1976533921743601,-0.00018103069076543207,2.7600922351372614,1376661.075670594,666.0352045044801,1377203.2474677917,0.00039367595029611444,196.9794653728378,91.45475178024613,142.2629472137162,2.1538461538461537,105.52471359259168
gaussian_clipped,letter_L,binary_letter,1024,59.80235255589372,51.459869349407995,0.5000118833588422,0.1976533921743601,-0.00018103069076543207,2.7600922351372614,392626.4810106621,304.2950880053599,392920.2562808565,0.0007476714816769561,197.27770228468503,91.59321891788949,142.4783405389392,2.1538461538461537,105.68448336679555
gaussian_clipped,stripe,stripe,1024,512.0,512.0,0.5000118833588422,0.1976533921743601,-0.00018103069076543207,2.7600922351372614,3356675.3174691317,1296.8334989749724,3356252.19635468,0.0001260695232947637,196.99538700216038,91.46214396528875,142.27444616822694,2.1538461538461537,105.53324303687164
gaussian_clipped,ring,ring,1024,220.0,220.0,0.5000118833588422,0.1976533921743601,-0.00018103069076543207,2.7600922351372614,1442890.2768024553,693.8123329036963,1442724.0491112545,0.00011521793880346978,197.07308194963605,91.49821661947387,142.33055918584824,2.153846153846154,105.57486533016218
gaussian_clipped,natural_patch,procedural_natural,1024,864.2560692486833,202.63928285559996,0.5000118833588422,0.1976533921743601,-0.00018103069076543207,2.7600922351372614,5664073.68098073,1988.2528316588844,5664649.126302231,0.00010158534247590226,196.92603583569652,91.42994520943053,142.2243592146697,2.1538461538461537,105.496090626266
