object,S1,S2,K_eff,D_H,C0_floor_raw_fix,random_leverage_exact
0,148.97826256789267,86.57478947689083,256.3624220382574,0.993894171167372,1008.2345195582432,386.00801380942806
1,144.4302321523428,81.6688069172608,255.423003555239,0.9933670727578222,1019.9549667218047,383.91426072764637
2,145.70348731148988,72.36002499172308,293.3872150701694,0.9943415919902233,980.1100321625128,440.3275103123495
3,165.0899476800114,96.54074749317274,282.3128216084749,0.9940340355817838,1043.4737322150968,424.6281436334804
4,92.1666671433486,36.24397850040019,234.3753330561936,0.9926454306314277,1114.5293830571654,352.20001842873523
5,197.74866265058517,118.29691972669698,330.56256807395056,0.995072871038376,1010.5880736256015,495.3540034233915
6,217.80729159526527,136.30954296353036,348.0315115190247,0.995414044119411,992.5042940971286,523.0949030891899
7,229.46783746033907,131.4302197441881,400.63456129961344,0.9960569310322385,1078.789902800941,602.1646500079121
8,208.90131407044828,116.00662047090658,376.18334921931915,0.9957863986788371,1032.9855134750264,564.5335350269952
9,157.6987950624898,81.37588944899944,305.6053842550895,0.9946133438980738,1037.547421479758,459.0441240911288
