correction,sigma_a,rho,object,projected_mean_energy,projected_covariance_trace,clean_floor_raw,clean_floor_mean_gain_cross,exact_projected_total,measured_raw_total_mean,exact_identity_abs_error,scalar_qdelta_proxy,scalar_proxy_over_exact_gain_energy,n_seeds
agc,0.05,0.001,0,0.0070443714701821,0.013908725071947549,0.4923020115030484,-0.008116281083024408,0.5051388269621536,0.5051387866878055,4.027434807873931e-08,0.021282402109657907,1.0157163198702461,5
scgi_proxy,0.05,0.001,0,0.007038557684882887,0.013908070202740737,0.4923020115030484,-0.008014808438303744,0.5052338309523683,0.5052338322447512,1.292382867390529e-09,0.021265653723763277,1.015230415026762,5
agc,0.05,0.001,1,0.00617074535815988,0.013865120937842049,0.4980248860946312,-0.010132680346612665,0.5079280720440206,0.5079280651384621,6.905558458392136e-09,0.020463909613750452,1.0213638537722691,5
scgi_proxy,0.05,0.001,1,0.006154143086831529,0.013856350191524007,0.4980248860946312,-0.01011105998565234,0.5079243193873345,0.5079243200825864,6.952518560865428e-10,0.020416753367884146,1.0203023525645938,5
agc,0.05,0.001,2,0.00913885870169831,0.015890779312018433,0.47856935164185194,-0.007360068743318387,0.49623892091225036,0.49623889016715844,3.074509191680619e-08,0.025885256222152583,1.0341842022632106,5
scgi_proxy,0.05,0.001,2,0.009167887983846684,0.01589151015366106,0.47856935164185194,-0.007425846589786622,0.49620290318957316,0.49620289021750824,1.2972064922234239e-08,0.025903996619146337,1.0337038614017804,5
agc,0.05,0.001,3,0.012036375379042707,0.015298854327591172,0.5095086583081527,-0.012366745294393858,0.5244771427203928,0.5244771362690004,6.4513924202813655e-09,0.028067606187974173,1.0267924026686541,5
scgi_proxy,0.05,0.001,3,0.01194725915981739,0.015283433256444838,0.5095086583081527,-0.011963750726930365,0.5247755999974847,0.5247755740316384,2.5965846250919355e-08,0.027951840136997308,1.0264829006075662,5
agc,0.05,0.001,4,0.008686903559594648,0.012690035994436674,0.5442038003208816,-0.011933517873218693,0.5536472220016943,0.5536472553176981,3.3316003844596764e-08,0.022245695239127745,1.040639853188554,5
scgi_proxy,0.05,0.001,4,0.008565096845222518,0.0126974395974571,0.5442038003208816,-0.01163231225374115,0.5538340245098201,0.5538340417775383,1.7267718144253763e-08,0.02213247267825353,1.0409140385447013,5
