config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight
cfg0045,1,3.8275015354156494,3.8275015354156494,10.394953727722168,10.394953727722168,0.28941988945007324,32,0.0005,0.2,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0046,1,3.75524640083313,3.75524640083313,10.106405258178711,10.106405258178711,0.2762454152107239,32,0.0005,0.2,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0028,1,3.754887104034424,3.754887104034424,9.401521682739258,9.401521682739258,0.26219063997268677,32,0.0005,0.1,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0047,1,3.6139824390411377,3.6139824390411377,9.569684982299805,9.569684982299805,0.2605038583278656,32,0.0005,0.2,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.08,0.0
cfg0036,1,3.5720882415771484,3.5720882415771484,9.906661033630371,9.906661033630371,0.27670910954475403,32,0.0005,0.2,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0029,1,3.522138833999634,3.522138833999634,9.007189750671387,9.007189750671387,0.25264525413513184,32,0.0005,0.1,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0044,1,3.493318557739258,3.493318557739258,10.525684356689453,10.525684356689453,0.2900821268558502,32,0.0005,0.2,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0063,1,3.482874870300293,3.482874870300293,9.893239974975586,9.893239974975586,0.28263726830482483,32,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.08,0.0
cfg0030,1,3.327706813812256,3.327706813812256,8.48774528503418,8.48774528503418,0.24075081944465637,32,0.0005,0.1,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0012,1,3.256075143814087,3.256075143814087,7.893235683441162,7.893235683441162,0.22914767265319824,32,0.0005,0.05,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0020,1,3.2388596534729004,3.2388596534729004,9.075831413269043,9.075831413269043,0.2364981472492218,32,0.0005,0.1,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0037,1,3.231943368911743,3.231943368911743,9.579721450805664,9.579721450805664,0.25727537274360657,32,0.0005,0.2,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0031,1,3.206580400466919,3.206580400466919,8.021992683410645,8.021992683410645,0.22999422252178192,32,0.0005,0.1,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.08,0.0
cfg0013,1,3.1165897846221924,3.1165897846221924,7.732253551483154,7.732253551483154,0.22370865941047668,32,0.0005,0.05,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0038,1,3.044370174407959,3.044370174407959,9.35188102722168,9.35188102722168,0.23939251899719238,32,0.0005,0.2,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0014,1,3.003492593765259,3.003492593765259,7.536362648010254,7.536362648010254,0.21711234748363495,32,0.0005,0.05,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0021,1,2.985039710998535,2.985039710998535,8.768732070922852,8.768732070922852,0.22567218542099,32,0.0005,0.1,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0
cfg0039,1,2.960447311401367,2.960447311401367,8.96967887878418,8.96967887878418,0.22676387429237366,32,0.0005,0.2,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.08,0.0
cfg0041,1,2.927650213241577,2.927650213241577,9.223602294921875,9.223602294921875,0.27940234541893005,32,0.0005,0.2,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.04,0.0
cfg0015,1,2.925487756729126,2.925487756729126,7.359783172607422,7.359783172607422,0.21125715970993042,32,0.0005,0.05,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.08,0.0
cfg0055,1,2.9101457595825195,2.9101457595825195,8.553157806396484,8.553157806396484,0.24528269469738007,32,0.0005,0.4,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.08,0.0
cfg0024,1,2.8843843936920166,2.8843843936920166,7.901851654052734,7.901851654052734,0.24093526601791382,32,0.0005,0.1,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.02,0.0
cfg0042,1,2.8778252601623535,2.8778252601623535,8.207967758178711,8.207967758178711,0.26062533259391785,32,0.0005,0.2,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.06,0.0
cfg0025,1,2.849971294403076,2.849971294403076,7.582028388977051,7.582028388977051,0.23537901043891907,32,0.0005,0.1,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.04,0.0
cfg0004,1,2.8355958461761475,2.8355958461761475,8.142865180969238,8.142865180969238,0.2106846421957016,32,0.0005,0.05,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0
cfg0059,1,2.8308043479919434,2.8308043479919434,9.493597984313965,9.493597984313965,0.2922093868255615,32,0.0005,0.4,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.08,0.0
cfg0022,1,2.8268678188323975,2.8268678188323975,8.44448471069336,8.44448471069336,0.21548578143119812,32,0.0005,0.1,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0
cfg0008,1,2.802567481994629,2.802567481994629,7.351763725280762,7.351763725280762,0.21880576014518738,32,0.0005,0.05,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.02,0.0
cfg0043,1,2.793771743774414,2.793771743774414,7.723977565765381,7.723977565765381,0.24558663368225098,32,0.0005,0.2,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.08,0.0
