source_import,config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0355,1,9.887304306030272,9.887304306030272,7.496581554412842,7.496581554412842,0.190527930855751,32,0.00045,0.55,0.5,0.15,24,3,0.05,nlm,3,0.062,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1310,1,9.88675594329834,9.88675594329834,7.556601047515869,7.556601047515869,0.1922381520271301,33,0.0005,0.55,0.5,0.14,24,3,0.06,nlm,3,0.062,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0385,1,9.886636734008787,9.886636734008787,7.51626443862915,7.51626443862915,0.1869885325431823,32,0.00045,0.55,0.5,0.16,24,3,0.05,nlm,3,0.064,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0610,1,9.886557579040527,9.886557579040527,7.506825923919678,7.506825923919678,0.1869195401668548,32,0.0005,0.55,0.5,0.15,24,3,0.06,nlm,3,0.064,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0390,1,9.88560676574707,9.88560676574707,7.480077743530273,7.480077743530273,0.1874662488698959,32,0.00045,0.55,0.5,0.16,24,3,0.06,nlm,3,0.062,5,6,0.05,0.015
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1060,1,9.882638931274414,9.882638931274414,7.468897819519043,7.468897819519043,0.1877193450927734,33,0.00045,0.55,0.5,0.14,24,3,0.05,nlm,3,0.064,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg2285,1,9.880727767944336,9.880727767944336,7.475654602050781,7.475654602050781,0.1886582374572754,35,0.0004,0.55,0.5,0.14,24,3,0.06,nlm,3,0.064,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0130,1,9.878988265991213,9.878988265991213,7.388265609741211,7.388265609741211,0.1899013370275497,32,0.0004,0.55,0.5,0.15,24,3,0.07,nlm,3,0.062,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1330,1,9.878700256347656,9.878700256347656,7.588754177093506,7.588754177093506,0.1869139075279235,33,0.0005,0.55,0.5,0.15,24,3,0.05,nlm,3,0.064,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1795,1,9.873059272766112,9.873059272766112,7.50020694732666,7.50020694732666,0.1897300034761428,34,0.00045,0.55,0.5,0.14,24,3,0.06,nlm,3,0.062,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0815,1,9.86963176727295,9.86963176727295,7.490532875061035,7.490532875061035,0.1929167807102203,33,0.0004,0.55,0.5,0.14,24,3,0.05,nlm,3,0.062,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0835,1,9.866504669189451,9.866504669189451,7.343755722045898,7.343755722045898,0.1871246844530105,33,0.0004,0.55,0.5,0.14,24,3,0.07,nlm,3,0.064,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg2165,1,9.866110801696776,9.866110801696776,7.74179744720459,7.74179744720459,0.1903843283653259,34,0.0005,0.6,0.5,0.16,24,3,0.05,nlm,3,0.062,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1300,1,9.862576484680176,9.862576484680176,7.549643993377685,7.549643993377685,0.1905732750892639,33,0.0005,0.55,0.5,0.14,24,3,0.05,nlm,3,0.062,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0840,1,9.862510681152344,9.862510681152344,7.47191858291626,7.47191858291626,0.1881841421127319,33,0.0004,0.55,0.5,0.15,24,3,0.05,nlm,3,0.062,5,6,0.05,0.015
