basis,correction,reference_period,rho,sigma_a,seed,object,num_frames,reference_frames,total_physical_frames,num_coefficients,num_pixels,shard,unit_index,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
random_uniform,none,0,0.003,0.1,0,0,2048,0,2048,2048,1024,0/1,0,0.06335316339547327,0.7493363796660594,11.982316947363783,0.24083804950390988,,,
random_uniform,oracle,0,0.003,0.1,0,0,2048,0,2048,2048,1024,0/1,0,0.0257590089009439,0.30467559059565896,15.89070850828201,0.6581279569021081,1.4115457629517488e-14,1.0,1.0000001192092896
random_uniform,agc,0,0.003,0.1,0,0,2048,0,2048,2048,1024,0/1,0,0.03291886449302063,0.38936181588811086,14.825551538036468,0.5816011794101038,0.0006457277340814471,0.950980007648468,1.0001472234725952
random_uniform,scgi_proxy,0,0.003,0.1,0,0,2048,0,2048,2048,1024,0/1,0,0.032920443842253524,0.3893804963102552,14.825343181456084,0.5812606773921342,0.0006442249286919832,0.9510857462882996,1.0001442432403564
random_uniform,scgi_frozen,0,0.003,0.1,0,0,2048,0,2048,2048,1024,0/1,0,0.08454324313354192,0.9999710249582001,10.729210963699527,-0.010036094965924546,,,
random_uniform,reference_k2,2,0.003,0.1,0,0,2048,1025,3073,2048,1024,0/1,0,0.025952360001966393,0.30696253265631374,15.858231430475803,0.6547602655584864,1.4462593753705733e-05,0.9989221692085266,1.0000009536743164
random_uniform,reference_k8,8,0.003,0.1,0,0,2048,257,2305,2048,1024,0/1,0,0.027222470775031295,0.3219853059079382,15.650724597621972,0.6355880496377982,8.71802112669684e-05,0.9934883117675781,0.9999840259552002
random_uniform,none,0,0.003,0.1,0,1,2048,0,2048,2048,1024,0/1,1,0.06046986462098547,0.7581981874012417,12.184610036848602,0.23652015831789996,,,
random_uniform,oracle,0,0.003,0.1,0,1,2048,0,2048,2048,1024,0/1,1,0.026422561688831916,0.3312978870473179,15.78025079477279,0.6669651221281027,1.4115457629517488e-14,1.0,1.0000001192092896
random_uniform,agc,0,0.003,0.1,0,1,2048,0,2048,2048,1024,0/1,1,0.03305765230920883,0.4144916185554731,14.80727992426991,0.5982026787766703,0.0006399217527359724,0.9512431621551514,1.0000871419906616
random_uniform,scgi_proxy,0,0.003,0.1,0,1,2048,0,2048,2048,1024,0/1,1,0.03304079477419061,0.414280251247559,14.80949514563098,0.5981694955730232,0.0006382518331520259,0.9513834714889526,1.0000910758972168
random_uniform,scgi_frozen,0,0.003,0.1,0,1,2048,0,2048,2048,1024,0/1,1,0.0797133385286465,0.999481463418834,10.984690015060378,0.04229718333779039,,,
random_uniform,reference_k2,2,0.003,0.1,0,1,2048,1025,3073,2048,1024,0/1,1,0.02652119812940667,0.33253463482117573,15.76406860009489,0.6646298078230766,1.4462593753705733e-05,0.9989221692085266,1.0000009536743164
random_uniform,reference_k8,8,0.003,0.1,0,1,2048,257,2305,2048,1024,0/1,1,0.02733549895665508,0.34274470251504013,15.632729944944167,0.6598684981834135,8.71802112669684e-05,0.9934883117675781,0.9999840259552002
random_uniform,none,0,0.003,0.1,0,2,2048,0,2048,2048,1024,0/1,2,0.0565253079759588,0.7999156353802067,12.477570627394343,0.20956316362669117,,,
