object,object_source,K_eff,bright_px,basis_pixels,basis_image_size,basis,estimator,N,channel,noise,cnr,psnr,ssim,rel_mse,raw_rel_mse,scale_rel_mse,affine_rel_mse,status,scan,note
ring,stage3_handcrafted,2148.0,2148,16384,128,random_uniform,dgi,262144,static,none,11.819977760314941,13.631805419921875,0.16298148036003113,0.33052560687065125,0.9998723864555359,0.18049019575119019,0.051681775599718094,ok,nscan,
stripe_target,stage3_handcrafted,3485.0,3485,16384,128,random_uniform,dgi,524288,static,none,13.910548210144043,14.856176376342773,0.39760449528694153,0.1536737084388733,0.9999279379844666,0.23715415596961975,0.023629646748304367,ok,nscan,
ring,stage3_handcrafted,2148.0,2148,16384,128,random_uniform,dgi,524288,static,none,16.810178756713867,15.620267868041992,0.17890524864196777,0.2091023325920105,0.9998730421066284,0.15705756843090057,0.026435550302267075,ok,nscan,
stripe_target,stage3_handcrafted,3485.0,3485,16384,128,random_uniform,dgi,1048576,static,none,19.371570587158203,16.536453247070312,0.41678619384765625,0.10436908155679703,0.9999279379844666,0.22529172897338867,0.012284088879823685,ok,nscan,
ring,stage3_handcrafted,2148.0,2148,16384,128,random_uniform,dgi,1048576,static,none,23.56349754333496,17.797563552856445,0.1927834302186966,0.12665705382823944,0.9998729228973389,0.14496994018554688,0.013551803305745125,ok,nscan,
stripe_target,stage3_handcrafted,3485.0,3485,16384,128,hadamard_paired,exact_inverse_off_protocol,32768,static,none,200000000.0,80.0,1.0,0.0,0.0,0.0,0.0,ok,estimator,
stripe_target,stage3_handcrafted,3485.0,3485,16384,128,srht_paired,exact_inverse_off_protocol,32768,static,none,200000000.0,80.0,1.0,0.0,0.0,0.0,0.0,ok,estimator,
stripe_target,stage3_handcrafted_budgeted_64x64_from_128x128,1105.6190259444697,504,4096,64,random_uniform_budgeted,dgi_protocol_compare,4096,static,none,2.3427329063415527,9.179481506347656,0.20790152251720428,0.7206622362136841,0.7206622362136841,0.5272331833839417,0.3626484274864197,ok,estimator,budgeted_random_ls_off_protocol_downsampled_object
stripe_target,stage3_handcrafted_budgeted_64x64_from_128x128,1105.6190259444697,504,4096,64,random_uniform_budgeted,least_squares_off_protocol,4096,static,none,8.836052894592285,50.381736755371094,0.9867740869522095,5.463944035000168e-05,9.169519762508571e-05,9.168927499558777e-05,9.168704855255783e-05,ok,estimator,budgeted_random_ls_off_protocol_downsampled_object
stripe_target,stage3_handcrafted_budgeted_64x64_from_128x128,1105.6190259444697,504,4096,64,random_uniform_budgeted,dgi_protocol_compare,8192,static,none,3.0819811820983887,10.495661735534668,0.26417332887649536,0.5322476029396057,0.5322476029396057,0.4346437454223633,0.24239537119865417,ok,estimator,budgeted_random_ls_off_protocol_downsampled_object
stripe_target,stage3_handcrafted_budgeted_64x64_from_128x128,1105.6190259444697,504,4096,64,random_uniform_budgeted,least_squares_off_protocol,8192,static,none,8.931638717651367,78.0714340209961,0.9999771118164062,9.301135861505827e-08,1.509756657469552e-07,1.5089969451764773e-07,1.5087167071214935e-07,ok,estimator,budgeted_random_ls_off_protocol_downsampled_object
ring,stage3_handcrafted,2148.0,2148,16384,128,hadamard_paired,exact_inverse_off_protocol,32768,static,none,200000000.0,80.0,1.0,0.0,0.0,0.0,0.0,ok,estimator,
ring,stage3_handcrafted,2148.0,2148,16384,128,srht_paired,exact_inverse_off_protocol,32768,static,none,200000000.0,80.0,1.0,0.0,0.0,0.0,0.0,ok,estimator,
ring,stage3_handcrafted_budgeted_64x64_from_128x128,568.0748584092588,509,4096,64,random_uniform_budgeted,dgi_protocol_compare,4096,static,none,2.8926877975463867,8.61270523071289,0.1493411660194397,1.1105713844299316,1.1105713844299316,0.6658951640129089,0.43821948766708374,ok,estimator,budgeted_random_ls_off_protocol_downsampled_object
ring,stage3_handcrafted_budgeted_64x64_from_128x128,568.0748584092588,509,4096,64,random_uniform_budgeted,least_squares_off_protocol,4096,static,none,14.345344543457031,52.17422866821289,0.9857940077781677,4.8909565521171317e-05,9.541497274767607e-05,9.540874452795833e-05,9.540788596495986e-05,ok,estimator,budgeted_random_ls_off_protocol_downsampled_object
ring,stage3_handcrafted_budgeted_64x64_from_128x128,568.0748584092588,509,4096,64,random_uniform_budgeted,dgi_protocol_compare,8192,static,none,4.05849552154541,10.354155540466309,0.17379015684127808,0.743706226348877,0.743706226348877,0.5827696323394775,0.2825966477394104,ok,estimator,budgeted_random_ls_off_protocol_downsampled_object
ring,stage3_handcrafted_budgeted_64x64_from_128x128,568.0748584092588,509,4096,64,random_uniform_budgeted,least_squares_off_protocol,8192,static,none,14.344376564025879,80.0,0.9999804496765137,6.724282286540983e-08,1.2720524011911039e-07,1.2718960817892366e-07,1.2718818709345214e-07,ok,estimator,budgeted_random_ls_off_protocol_downsampled_object
