sigma_a,correction,challenger,baseline,rho_star_log_interp,boundary_status,max_margin_db,min_margin_db,points,rho_min,rho_max
0.1,none,srht_paired,hadamard_paired,0.04642051341121595,observed,0.12818110618756506,-0.1825246811319552,9,0.001,10.0
0.1,pairwise,dct_paired,hadamard_paired,,not_reached,-0.9227320191125603,-3.009945212782121,9,0.001,10.0
0.1,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.1097534369052866,0.014430915309986858,9,0.001,10.0
0.1,reference_k2,random_uniform,hadamard_paired,,not_reached,-1.6805926355092904,-26.27127551212804,9,0.001,10.0
0.1,reference_k2,random_binary,hadamard_paired,,not_reached,-0.6330064872347752,-26.37358031238771,9,0.001,10.0
0.1,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.23715763201985496,-21.531896618532844,9,0.001,10.0
0.1,reference_k2,dct_paired,hadamard_paired,,not_reached,-1.136175261366958,-3.0078845835385053,9,0.001,10.0
0.1,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.09010355489360933,0.014710010594228606,9,0.001,10.0
0.1,reference_k32,random_uniform,hadamard_paired,,not_reached,-1.6157242553926068,-23.4876783476452,9,0.001,10.0
0.1,reference_k32,random_binary,hadamard_paired,,not_reached,-0.9059862138097312,-23.42204867050977,9,0.001,10.0
0.1,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.3127813641305277,-18.553755476450245,9,0.001,10.0
0.1,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.8834548878522916,-2.91606609995128,9,0.001,10.0
0.1,reference_k32,srht_paired,hadamard_paired,0.17490170925471668,observed,0.08852445279462451,-0.12106767660053208,9,0.001,10.0
0.1,reference_k8,random_uniform,hadamard_paired,,not_reached,-1.5397233315036871,-23.837836757150548,9,0.001,10.0
0.1,reference_k8,random_binary,hadamard_paired,,not_reached,-0.7759943956105122,-23.897787879973986,9,0.001,10.0
0.1,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.3659191530626149,-19.086054146116766,9,0.001,10.0
0.1,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.9068331203556532,-3.0081903975754614,9,0.001,10.0
0.1,reference_k8,srht_paired,hadamard_paired,0.03137761859431391,observed,0.12215763788368506,-0.03216998935780424,9,0.001,10.0
0.1,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-1.2885282320956843,-17.86647825248742,9,0.001,10.0
0.1,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.42945421250998805,-17.733297760275143,9,0.001,10.0
0.1,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.3779028840924852,-11.503019574248,9,0.001,10.0
0.1,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.4572480480464094,-2.578897426628476,9,0.001,10.0
0.1,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,5.209301339914433,0.15007393422247972,9,0.001,10.0
0.1,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-1.3372489742630282,-23.349516143765747,9,0.001,10.0
0.1,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.47938060841484287,-23.2303022258511,9,0.001,10.0
0.1,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.474579353720479,-17.262483925717024,9,0.001,10.0
0.1,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.9026526889752908,-2.7969568741079414,9,0.001,10.0
0.1,scgi_proxy,srht_paired,hadamard_paired,0.046046184550182195,observed,0.11857682706123462,-0.12244551440208085,9,0.001,10.0
0.15,agc,random_uniform,hadamard_paired,,not_reached,-0.45368108036618615,-10.222977035256156,9,0.001,10.0
0.15,agc,random_binary,hadamard_paired,2.7030059530611297,observed,0.07232582842606661,-9.693985657599923,9,0.001,10.0
0.15,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.22294971679222542,-2.8847671774200823,9,0.001,10.0
0.15,agc,dct_paired,hadamard_paired,,not_reached,-0.4212235207915178,-2.2915088437492415,9,0.001,10.0
0.15,agc,srht_paired,hadamard_paired,0.001,left_censored,10.07937253912307,0.30576050107067054,9,0.001,10.0
0.15,none,random_uniform,hadamard_paired,,not_reached,-0.6616244049371716,-19.03655784139387,9,0.001,10.0
0.15,none,random_binary,hadamard_paired,,not_reached,-0.11617480175814343,-17.930393749572914,9,0.001,10.0
0.15,none,fourier_fourstep,hadamard_paired,,not_reached,-0.14159596713979994,-10.496722531234383,9,0.001,10.0
0.15,none,dct_paired,hadamard_paired,,not_reached,-0.4146576723276105,-2.1164755065181673,9,0.001,10.0
0.15,none,srht_paired,hadamard_paired,0.029052863416358647,observed,0.12633127794821064,-0.14926943256084968,9,0.001,10.0
0.15,pairwise,dct_paired,hadamard_paired,,not_reached,-0.4933728249961895,-3.0007642089885707,9,0.001,10.0
0.15,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.09971987464466103,0.01745810337781961,9,0.001,10.0
0.15,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.8815627783849003,-22.76945575911474,9,0.001,10.0
0.15,reference_k2,random_binary,hadamard_paired,,not_reached,-0.17761621552531004,-22.86216520032407,9,0.001,10.0
0.15,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.0904717098715917,-18.052547295458872,9,0.001,10.0
0.15,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.6329010965082116,-3.0059249123177523,9,0.001,10.0
0.15,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.07966630363049809,0.01613730583360251,9,0.001,10.0
0.15,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.8120458129999832,-20.277154501309155,9,0.001,10.0
0.15,reference_k32,random_binary,hadamard_paired,,not_reached,-0.4181603618296439,-20.029322269897254,9,0.001,10.0
0.15,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.12431435125852452,-15.168817854209735,9,0.001,10.0
0.15,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.45170739297124385,-2.9047263010704043,9,0.001,10.0
0.15,reference_k32,srht_paired,hadamard_paired,0.10102654507975008,observed,0.08660884564152838,-0.11723913768952343,9,0.001,10.0
0.15,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.7689441072988359,-20.408910308532747,9,0.001,10.0
0.15,reference_k8,random_binary,hadamard_paired,,not_reached,-0.3260617435551243,-20.411445748370156,9,0.001,10.0
0.15,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.1644972561876923,-15.671734565539143,9,0.001,10.0
0.15,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.47047639542235054,-3.001002211376637,9,0.001,10.0
0.15,reference_k8,srht_paired,hadamard_paired,0.013824015263549224,observed,0.12008725308876755,-0.028716814710620042,9,0.001,10.0
0.15,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.642613838981644,-16.70164420542065,9,0.001,10.0
0.15,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.11578337548299089,-16.317708154881373,9,0.001,10.0
0.15,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.1763603547102317,-9.94786297905387,9,0.001,10.0
0.15,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.4825410675990067,-2.5308913721245894,9,0.001,10.0
0.15,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,3.408641654940464,0.1150035196934347,9,0.001,10.0
0.15,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.6693070518988673,-20.26637692552775,9,0.001,10.0
0.15,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.14379318272551345,-19.89681956012774,9,0.001,10.0
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.22992843969171695,-13.91872115454915,9,0.001,10.0
0.15,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.47155595491005187,-2.7830561659102138,9,0.001,10.0
0.15,scgi_proxy,srht_paired,hadamard_paired,0.024286123038801004,observed,0.1151495778683973,-0.11489149917176178,9,0.001,10.0
0.3,agc,random_uniform,hadamard_paired,,not_reached,-0.11350585451419626,-10.185182583331354,9,0.001,10.0
0.3,agc,random_binary,hadamard_paired,2.065100316708705,observed,0.044939720551136375,-9.221924753634637,9,0.001,10.0
0.3,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.047972128123831226,-2.7735321664200328,9,0.001,10.0
0.3,agc,dct_paired,hadamard_paired,,not_reached,-0.10389789279940409,-2.236249367363179,9,0.001,10.0
