epoch,train_mse,val_mse
1.0,0.11403333666649731,0.0810738777120908
2.0,0.0614509755237536,0.047352210928996406
3.0,0.04729022525928237,0.03775248179833094
4.0,0.04325352202762257,0.03700512150923411
5.0,0.042414925653826104,0.03647883298496405
6.0,0.04234851151704788,0.0362922673424085
7.0,0.0422629134898836,0.03620360170801481
8.0,0.04182869043539871,0.036090330531199775
9.0,0.04159286347302524,0.03598192582527796
10.0,0.04160966622558507,0.0358742984632651
11.0,0.04126507534899495,0.03574160113930702
12.0,0.04148087938400832,0.035592847814162575
13.0,0.04131550172513181,0.03542495643099149
14.0,0.04132054509087042,0.03522134075562159
15.0,0.041030069813132286,0.03500235825777054
16.0,0.0408214618536559,0.03469226509332657
17.0,0.040252346714789215,0.03430522605776787
18.0,0.03996179964054714,0.03350510075688362
19.0,0.038983406499028206,0.031776433189709984
20.0,0.036926505748521195,0.028734741111596424
21.0,0.03437461873347109,0.025614093368252117
22.0,0.03191201575100422,0.023938166598478954
23.0,0.030966070395979015,0.023263930653532345
24.0,0.030619152398271995,0.022998521104454994
25.0,0.030549998056482185,0.022876354555288952
26.0,0.030540855262767185,0.022647228091955185
27.0,0.030690565197305245,0.022634975612163544
28.0,0.030484760688109833,0.02251254456738631
29.0,0.0305616112256592,0.022489362706740696
30.0,0.030694095925851303,0.022475675369302433
