config_id,object,object_index,rule,selected_step,selected_cnr,peak_step,peak_cnr,final_cnr,regret_to_peak,improvement_over_final
cfg0000,letter_A,0,final_step,200,5.509316444396973,41,12.536087989807127,5.509316444396973,7.0267715454101545,0.0
cfg0000,letter_A,0,fixed_step_25,25,4.028752326965332,41,12.536087989807127,5.509316444396973,8.507335662841795,-1.4805641174316406
cfg0000,letter_A,0,fixed_step_50,50,4.413895130157471,41,12.536087989807127,5.509316444396973,8.122192859649656,-1.095421314239502
cfg0000,letter_A,0,fixed_step_75,75,5.64941930770874,41,12.536087989807127,5.509316444396973,6.886668682098387,0.14010286331176758
cfg0000,letter_A,0,fixed_step_100,100,7.197199821472168,41,12.536087989807127,5.509316444396973,5.338888168334959,1.6878833770751953
cfg0000,letter_A,0,fixed_step_125,125,8.27695369720459,41,12.536087989807127,5.509316444396973,4.259134292602537,2.767637252807617
cfg0000,letter_A,0,fixed_step_150,150,7.242242336273193,41,12.536087989807127,5.509316444396973,5.293845653533934,1.7329258918762207
cfg0000,letter_A,0,fixed_step_175,175,8.354218482971191,41,12.536087989807127,5.509316444396973,4.181869506835936,2.8449020385742188
cfg0000,letter_A,0,min_loss,25,4.028752326965332,41,12.536087989807127,5.509316444396973,8.507335662841795,-1.4805641174316406
cfg0000,letter_A,0,loss_plateau_10_1pct,200,5.509316444396973,41,12.536087989807127,5.509316444396973,7.0267715454101545,0.0
cfg0000,letter_A,0,min_proxy_mean,78,4.018226146697998,41,12.536087989807127,5.509316444396973,8.517861843109129,-1.4910902976989746
cfg0000,letter_A,0,min_proxy_std,78,4.018226146697998,41,12.536087989807127,5.509316444396973,8.517861843109129,-1.4910902976989746
cfg0000,letter_A,0,min_proxy_min,8,5.737366676330566,41,12.536087989807127,5.509316444396973,6.798721313476561,0.22805023193359375
cfg0000,letter_A,0,min_proxy_max,182,6.870102405548096,41,12.536087989807127,5.509316444396973,5.665985584259031,1.360785961151123
cfg0000,letter_A,0,min_proxy_range,186,8.574471473693848,41,12.536087989807127,5.509316444396973,3.9616165161132795,3.065155029296875
cfg0000,letter_A,0,min_proxy_tv_l1,78,4.018226146697998,41,12.536087989807127,5.509316444396973,8.517861843109129,-1.4910902976989746
cfg0000,letter_A,0,min_proxy_roughness_l2,41,12.536087989807127,41,12.536087989807127,5.509316444396973,0.0,7.0267715454101545
cfg0000,letter_A,0,min_proxy_otsu_score,78,4.018226146697998,41,12.536087989807127,5.509316444396973,8.517861843109129,-1.4910902976989746
cfg0000,letter_A,0,min_proxy_otsu_threshold,52,3.4545068740844727,41,12.536087989807127,5.509316444396973,9.081581115722654,-2.0548095703125
cfg0000,letter_A,0,min_proxy_otsu_fg_fraction,16,8.80632209777832,41,12.536087989807127,5.509316444396973,3.729765892028807,3.2970056533813477
cfg0000,letter_A,0,min_proxy_hist_entropy,78,4.018226146697998,41,12.536087989807127,5.509316444396973,8.517861843109129,-1.4910902976989746
cfg0000,letter_A,0,min_proxy_data_loss,1,3.534018516540528,41,12.536087989807127,5.509316444396973,9.0020694732666,-1.9752979278564449
cfg0000,letter_A,0,min_proxy_aug_loss,25,4.028752326965332,41,12.536087989807127,5.509316444396973,8.507335662841795,-1.4805641174316406
cfg0000,letter_A,0,min_proxy_denoiser_mse,200,5.509316444396973,41,12.536087989807127,5.509316444396973,7.0267715454101545,0.0
cfg0000,letter_A,0,min_proxy_net_delta_mse,12,7.403871536254883,41,12.536087989807127,5.509316444396973,5.132216453552244,1.8945550918579102
cfg0000,letter_A,0,min_proxy_dual_abs_mean,176,8.683695793151855,41,12.536087989807127,5.509316444396973,3.8523921966552717,3.174379348754883
cfg0000,letter_A,0,max_proxy_mean,66,11.455880165100098,41,12.536087989807127,5.509316444396973,1.0802078247070295,5.946563720703125
cfg0000,letter_A,0,max_proxy_std,22,5.840466499328613,41,12.536087989807127,5.509316444396973,6.695621490478514,0.3311500549316406
