rule,observations,mean_selected_cnr,min_selected_cnr,mean_regret_to_peak,max_regret_to_peak,mean_improvement_over_final,min_improvement_over_final,mean_selected_step
max_proxy_min,8,9.970530450344086,6.210352420806885,3.7480193972587577,12.766304016113281,3.4956507682800293,-3.6861677169799822,89.0
max_proxy_mean,8,8.791017830371857,6.12616491317749,4.927532017230987,15.135111331939697,2.3161381483078003,-6.054975032806398,76.25
max_proxy_otsu_threshold,8,9.568865060806274,6.121508598327637,4.149684786796568,12.273677825927734,3.093985378742218,-3.1935415267944354,63.5
max_proxy_data_loss,8,7.620503544807434,4.838255405426025,6.098046302795408,11.716634750366207,1.1456238627433777,0.0,152.5
fixed_step_125,8,6.372511476278305,3.9486896991729736,7.346038371324537,15.853283405303955,-0.10236820578575134,-6.773147106170656,125.0
fixed_step_25,8,4.644846826791763,3.2667605876922607,9.073703020811081,16.252585411071777,-1.8300328552722933,-7.172449111938478,25.0
fixed_step_100,8,5.854572385549545,3.1984689235687256,7.863977462053298,18.062807321548462,-0.6203072965145112,-8.982671022415163,100.0
max_proxy_denoiser_mse,8,6.32280895113945,3.0396358966827397,7.395740896463393,14.560911178588867,-0.15207073092460677,-5.480774879455568,27.0
min_proxy_min,8,4.621465623378754,2.9689109325408936,9.09708422422409,16.252585411071777,-1.8534140586853027,-7.172449111938478,24.25
min_loss,8,4.015281498432159,2.858372211456299,9.703268349170685,17.623449325561523,-2.4595981836318974,-8.543313026428224,25.0
min_proxy_aug_loss,8,4.015281498432159,2.858372211456299,9.703268349170685,17.623449325561523,-2.4595981836318974,-8.543313026428224,25.0
max_proxy_net_delta_mse,8,8.352022171020508,2.8225531578063965,5.3665276765823355,7.578135490417479,1.8771424889564512,0.0,156.875
min_proxy_net_delta_mse,8,7.066071569919586,2.7737860679626465,6.652478277683257,10.95807647705078,0.5911918878555293,-2.6986284255981445,10.125
fixed_step_50,8,4.60554638504982,2.701579332351685,9.113003462553024,17.2488112449646,-1.8693332970142365,-8.1686749458313,50.0
fixed_step_150,8,6.807480663061142,2.672637701034546,6.911069184541701,14.708063602447506,0.33260098099708535,-4.533581733703615,150.0
max_proxy_max,8,5.600663244724274,2.659160614013672,8.117886602878569,16.035264492034912,-0.8742164373397826,-6.955128192901613,10.875
max_proxy_otsu_score,8,8.798989027738571,2.586420774459839,4.919560819864272,13.056571960449219,2.3241093456745143,-3.9764356613159197,49.875
max_proxy_std,8,5.875708132982254,2.540458917617798,7.842841714620589,13.056571960449219,-0.5991715490818026,-5.235068082809448,19.5
min_proxy_dual_abs_mean,8,4.416179925203323,2.540458917617798,9.30236992239952,17.623449325561523,-2.0586997568607335,-8.543313026428224,43.125
max_proxy_range,8,3.265027731657028,2.540458917617798,10.453522115945816,17.623449325561523,-3.2098519504070286,-8.543313026428224,1.125
max_proxy_hist_entropy,8,3.2314302027225494,2.540458917617798,10.487119644880295,17.623449325561523,-3.2434494793415074,-8.543313026428224,1.0
max_proxy_roughness_l2,8,3.2314302027225494,2.540458917617798,10.487119644880295,17.623449325561523,-3.2434494793415074,-8.543313026428224,1.0
max_proxy_tv_l1,8,3.2314302027225494,2.540458917617798,10.487119644880295,17.623449325561523,-3.2434494793415074,-8.543313026428224,1.0
max_proxy_aug_loss,8,4.3353701531887054,2.4080936908721924,9.383179694414137,14.781994342803955,-2.139509528875351,-5.9263551235198975,67.5
max_proxy_dual_abs_mean,8,4.3353701531887054,2.4080936908721924,9.383179694414137,14.781994342803955,-2.139509528875351,-5.9263551235198975,67.5
