unit_index,object,family,K_eff,arm,perm,perm_seed,num_frames,chunks,levene_p,levene_reject,walsh_flatness_ratio,walsh_S2,shard
0,digit_0,synthetic_digit,25.042739944605774,ordered,-1,-1,512,8,1.706386506707361e-08,True,0.9992844496695839,13.033198167053142,0/1
1,digit_0,synthetic_digit,25.042739944605774,random,0,20240708,512,8,0.004865872348465734,False,0.6312077083973208,13.033198167053142,0/1
2,digit_0,synthetic_digit,25.042739944605774,random,1,20240809,512,8,0.00016814582944103644,True,0.640632399962516,13.033198167053142,0/1
3,digit_0,synthetic_digit,25.042739944605774,random,2,20240910,512,8,0.04931520802380163,False,0.6929347518006754,13.03319816705314,0/1
4,digit_0,synthetic_digit,25.042739944605774,random,3,20241011,512,8,0.6899495215217053,False,0.6545922218497222,13.03319816705314,0/1
5,digit_1,synthetic_digit,69.25703136437882,ordered,-1,-1,512,8,0.04058863124734119,False,0.5869244005626643,67.39838745900849,0/1
6,digit_1,synthetic_digit,69.25703136437882,random,0,20240708,512,8,0.015172995392940146,False,0.3257193410286772,67.39838745900849,0/1
7,digit_1,synthetic_digit,69.25703136437882,random,1,20240809,512,8,0.041145759405375085,False,0.2925080355461289,67.39838745900849,0/1
8,digit_1,synthetic_digit,69.25703136437882,random,2,20240910,512,8,0.00524281264511676,False,0.32140336026015154,67.3983874590085,0/1
9,digit_1,synthetic_digit,69.25703136437882,random,3,20241011,512,8,0.009732574278051227,False,0.3533628550453584,67.39838745900849,0/1
10,letter_A,binary_letter,30.185770834343593,ordered,-1,-1,512,8,0.0010453429603269066,False,0.8926291957803183,17.345990399941233,0/1
11,letter_A,binary_letter,30.185770834343593,random,0,20240708,512,8,0.017604664488779745,False,0.6260613532702027,17.345990399941233,0/1
12,letter_A,binary_letter,30.185770834343593,random,1,20240809,512,8,0.05725939080900825,False,0.5061932296900573,17.345990399941233,0/1
13,letter_A,binary_letter,30.185770834343593,random,2,20240910,512,8,0.1366540700244368,False,0.5977473642633426,17.345990399941236,0/1
14,letter_A,binary_letter,30.185770834343593,random,3,20241011,512,8,0.01700908020066052,False,0.638558654310474,17.345990399941236,0/1
