basis,correction,reference_period,rho,sigma_a,seed,object,num_frames,reference_frames,total_physical_frames,num_coefficients,num_pixels,shard,unit_index,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
random_uniform,none,0,3.0,0.05,0,3,2048,0,2048,2048,1024,3/5,3,0.05801772442555559,0.6153893703378498,12.364393091218604,0.37762144419968063,,,
random_uniform,oracle,0,3.0,0.05,0,3,2048,0,2048,2048,1024,3/5,3,0.032922372768039485,0.3492049791395757,14.825088720341506,0.6683124449828791,1.4173141420258453e-14,0.9999999403953552,1.0000001192092896
random_uniform,agc,0,3.0,0.05,0,3,2048,0,2048,2048,1024,3/5,3,0.058154818284132305,0.6168435139489968,12.354142969712745,0.3781373896832273,0.00266847712919116,0.03342045471072197,0.9999750852584839
random_uniform,scgi_proxy,0,3.0,0.05,0,3,2048,0,2048,2048,1024,3/5,3,0.05813810406022055,0.616666227510575,12.355391350975822,0.37808652564831197,0.0026662051677703857,0.035823602229356766,0.9999768733978271
random_uniform,scgi_frozen,0,3.0,0.05,0,3,2048,0,2048,2048,1024,3/5,3,0.0929713091254997,0.9861392522493604,10.316510537137685,2.0362844782638843,,,
random_uniform,reference_k2,2,3.0,0.05,0,3,2048,1025,3073,2048,1024,3/5,3,0.051504295863133535,0.5463019536655077,12.881565458744209,0.44202926913274093,0.0016661571571603417,0.6563149094581604,0.9994217753410339
random_uniform,reference_k8,8,3.0,0.05,0,3,2048,257,2305,2048,1024,3/5,3,0.062358954450317965,0.6614364505686202,12.051011750781946,0.3182774872627888,0.0037745926529169083,0.16286027431488037,0.9985157251358032
random_uniform,reference_k32,32,3.0,0.05,0,3,2048,65,2113,2048,1024,3/5,3,0.0649110920996031,0.6885067708295316,11.876810840002673,0.2909011743766784,0.0043358709663152695,0.05113186314702034,0.9981980323791504
random_uniform,none,0,3.0,0.05,0,8,2048,0,2048,2048,1024,3/5,8,0.07309733656038563,0.6452362143987033,11.36098447094133,0.3432821794425077,,,
random_uniform,oracle,0,3.0,0.05,0,8,2048,0,2048,2048,1024,3/5,8,0.03655962973347372,0.32271486485088985,14.369982113387392,0.6587981784295803,1.4173141420258453e-14,0.9999999403953552,1.0000001192092896
