sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points
0.1,reference_k2,srht_paired,hadamard_paired,3.0,left_censored,0.07179380373827726,0.06946798521506814,2
0.1,reference_k32,random_uniform,hadamard_paired,,not_reached,-1.5650471126773589,-1.6438008403806457,2
0.1,reference_k32,random_binary,hadamard_paired,,not_reached,-0.8752934332928177,-0.9550118565567622,2
0.1,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.2627692076700132,-0.3374724430473144,2
0.1,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.8758927267847554,-0.907792680010445,2
0.1,reference_k32,srht_paired,hadamard_paired,3.0,left_censored,0.03386961647642828,0.0323133171904022,2
0.1,reference_k8,random_uniform,hadamard_paired,,not_reached,-1.5279876274912425,-1.6026004076588887,2
0.1,reference_k8,random_binary,hadamard_paired,,not_reached,-0.7551546055766902,-0.8243554393346884,2
0.1,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.32041962049316197,-0.3882715025175454,2
0.1,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.9051258737220831,-0.9380546255934235,2
0.1,reference_k8,srht_paired,hadamard_paired,3.0,left_censored,0.04416893130142263,0.04102469471023262,2
0.1,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.7734850778420732,-0.8058813623540217,2
0.1,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.7245645927717614,-0.7568971060944385,2
0.1,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.5504290013453961,-0.5818868892951397,2
0.1,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.6362688238859935,-0.6605278135304289,2
0.1,scgi_frozen,srht_paired,hadamard_paired,3.0,left_censored,0.7417191063607831,0.7170545119926306,2
0.1,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-1.307809991778793,-1.3844253695591977,2
0.1,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.43065553134362666,-0.5097606754808659,2
0.1,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.40931879903222423,-0.4826529343568655,2
0.1,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.8852621440734989,-0.9155764410208729,2
0.1,scgi_proxy,srht_paired,hadamard_paired,3.0,left_censored,0.06518699963186059,0.06158041428349925,2
0.15,agc,random_uniform,hadamard_paired,,not_reached,-0.44098720958743876,-0.47379574582871875,2
0.15,agc,random_binary,hadamard_paired,3.0,left_censored,0.08165131360883393,0.04750648376625577,2
