condition,rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
ideal,0.001,0.05,srht_paired,pairwise,44.74152634996879,2.265608311258375,0.000386723052204498,6.88654360074106e-05,2048,0,2048
ideal,0.001,0.05,hadamard_paired,pairwise,44.73034302938633,2.2645635398164825,0.00038769790475706,6.889274701430953e-05,2048,0,2048
ideal,0.001,0.05,hadamard_paired,scgi_proxy,44.30692672964772,2.2067262986562923,0.000426713508490284,7.137794673251945e-05,2048,0,2048
ideal,0.001,0.05,srht_paired,scgi_proxy,44.27520133200736,2.2092749276795534,0.000429626604617888,7.086607659680901e-05,2048,0,2048
ideal,0.001,0.05,srht_paired,agc,43.71309920438862,1.9019122334081109,0.000486854347133562,6.54903222267567e-05,2048,0,2048
ideal,0.001,0.05,dct_paired,pairwise,41.71794853719236,2.2640963688865865,0.000775749103975842,0.00013768013616872863,2048,0,2048
ideal,0.001,0.05,dct_paired,scgi_proxy,41.51925687296781,2.230629761788884,0.000811036968126644,0.0001377949480580266,2048,0,2048
ideal,0.001,0.05,srht_paired,none,38.76483831904822,2.575226737395668,0.001648665237347056,0.0006876177072259594,2048,0,2048
ideal,0.001,0.05,hadamard_paired,none,38.57481044294841,3.765314080683032,0.002227616849327296,0.002128280035505858,2048,0,2048
ideal,0.001,0.05,dct_paired,none,38.05801472226801,2.9416510094975434,0.00210179526801095,0.001430167016801206,2048,0,2048
ideal,0.001,0.05,hadamard_paired,agc,25.017625585368755,2.0674943191462436,0.035991774099160365,0.004351237007030192,2048,0,2048
ideal,0.001,0.05,fourier_fourstep,agc,24.67695827786784,1.8946444825925062,0.03929354241249776,0.006682599155519906,2048,0,2048
ideal,0.001,0.05,dct_paired,agc,24.046792879986647,1.8403408713202871,0.04487461717386953,0.0040203990074793895,2048,0,2048
ideal,0.001,0.05,fourier_fourstep,scgi_proxy,21.10855311686022,1.7467231003191015,0.08802063569251324,0.004413906459131191,2048,0,2048
ideal,0.001,0.05,fourier_fourstep,none,20.37410100324204,1.7463835242014034,0.10446793693243056,0.008816588116410364,2048,0,2048
ideal,0.001,0.05,random_uniform,agc,15.262938881627928,1.646226076945084,0.33802915650468335,0.013747405707118554,2048,0,2048
ideal,0.001,0.05,random_uniform,scgi_proxy,15.262503955092079,1.646250242351767,0.33806246547790325,0.013735986289236474,2048,0,2048
ideal,0.001,0.05,random_binary,agc,15.252494831566384,1.638437532456162,0.3387447412598899,0.011005441091774969,2048,0,2048
ideal,0.001,0.05,random_binary,scgi_proxy,15.251411951681016,1.6386594963394951,0.3388298786202681,0.011032070032973618,2048,0,2048
ideal,0.001,0.05,random_binary,none,14.40668276529247,1.7592306223761327,0.41343429373606194,0.04221807804209003,2048,0,2048
ideal,0.001,0.05,random_uniform,none,13.540040753236195,1.9020208908862029,0.5084766856358718,0.08067952318190204,2048,0,2048
ideal,0.001,0.1,srht_paired,pairwise,38.723823352442636,2.2646581246495994,0.001545840171274386,0.00027524891523201834,2048,0,2048
ideal,0.001,0.1,hadamard_paired,pairwise,38.71454339799846,2.263651779365212,0.0015489868046001639,0.00027465983780251135,2048,0,2048
ideal,0.001,0.1,hadamard_paired,scgi_proxy,38.292786718975066,2.2051993281198237,0.001704093102243364,0.00028351599327937013,2048,0,2048
ideal,0.001,0.1,srht_paired,scgi_proxy,38.25877311635906,2.208404439537625,0.001716853434430346,0.0002832829155435822,2048,0,2048
ideal,0.001,0.1,srht_paired,agc,38.17148479006466,2.116935531070305,0.001748301918340006,0.00026795586903802243,2048,0,2048
ideal,0.001,0.1,dct_paired,pairwise,35.706627466261054,2.2643997651988275,0.003096437489024422,0.0005499114122141878,2048,0,2048
