basis,v,n_points,slope_log_relmse_vs_log_N
orthogonal_inverse,0.0001,3,-0.012758974023927672
orthogonal_inverse,0.0003,3,0.06294118678240901
orthogonal_inverse,0.001,3,-0.11689326482396682
orthogonal_inverse,0.003,3,0.11222033517478856
orthogonal_inverse,0.01,3,-0.07787461543074442
random_dgi,0.0001,3,-0.9715193448776638
random_dgi,0.0003,3,-0.9726903173865756
random_dgi,0.001,3,-0.978392906118409
random_dgi,0.003,3,-0.9796786323760183
random_dgi,0.01,3,-1.0045117717656062
srht_inverse,0.0001,3,0.005357809320788608
srht_inverse,0.0003,3,-0.00530910796320561
srht_inverse,0.001,3,-0.004336060186681744
srht_inverse,0.003,3,-0.014381585729384307
srht_inverse,0.01,3,0.008811194092273336
