object,family,K_eff,basis,N,N_factor,seed,v,rel_mse_raw_total,rel_mse_raw_gain_component,rel_mse_aligned_total,clean_floor_raw,C0_floor_raw_fix,leverage_exact,theory_rel_mse_raw_total,clean_gain_cross,raw_identity_abs_error,target_energy
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.0,3.703882188698603e-13,0.0,3.7022753760837674e-13,3.703882188698603e-13,3.7927753612273694e-10,1.0,3.703882188698603e-13,0.0,0.0,66.50183377416613
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.0001,9.557221271147735e-05,9.557244063651446e-05,9.469612558137322e-05,3.703882188698603e-13,3.7927753612273694e-10,1.0,0.00010000000037038823,-2.2856719667697969e-10,2.7177134758569823e-13,66.50183377416613
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.0003,0.00022764979659834427,0.00022765053748335524,0.00022764033856036435,3.703882188698603e-13,3.7927753612273694e-10,1.0,0.0003000000003703882,-7.410456193500423e-10,2.0977983381351556e-13,66.50183377416613
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.001,0.0011531226028139638,0.0011531211511020254,0.0011520487946055278,3.703882188698603e-13,3.7927753612273694e-10,1.0,0.0010000000003703882,1.4607618050965379e-09,9.420254900890066e-12,66.50183377416613
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.003,0.0026993796084649117,0.002699376672030756,0.0026576674828897883,3.703882188698603e-13,3.7927753612273694e-10,1.0,0.0030000000003703882,2.9269015804234043e-09,9.162187121917323e-12,66.50183377416613
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.01,0.011710264648752492,0.011710268956385467,0.01164639077211705,3.703882188698603e-13,3.7927753612273694e-10,1.0,0.010000000000370388,-4.296154475201374e-09,1.1848886826038851e-11,66.50183377416613
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.0,3.703882188698603e-13,0.0,3.7022753760837674e-13,3.703882188698603e-13,3.7927753612273694e-10,1.0,3.703882188698603e-13,0.0,0.0,66.50183377416613
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.0001,0.00015117086482035945,0.00015117138215922537,0.00014754960009380082,3.703882188698603e-13,3.7927753612273694e-10,1.0,0.00010000000037038823,-5.173699389212673e-10,3.393152072597905e-13,66.50183377416613
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.0003,0.00031305867599234024,0.0003130580240002609,0.00030790522765457913,3.703882188698603e-13,3.7927753612273694e-10,1.0,0.0003000000003703882,6.529399132341078e-10,1.318222112397789e-12,66.50183377416613
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.001,0.0012088022790371334,0.0012088044954481566,0.0011770391873424505,3.703882188698603e-13,3.7927753612273694e-10,1.0,0.0010000000003703882,-2.2219282774359086e-09,5.146866006225636e-12,66.50183377416613
