config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h
cfg0023,1,9.36478328704834,9.36478328704834,7.604989528656006,7.604989528656006,0.17761966586112976,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062
cfg0038,1,9.325484275817871,9.325484275817871,6.952124118804932,6.952124118804932,0.1770910769701004,37,0.001,0.55,0.5,0.105,24,3,0.3,nlm,3,0.062
cfg0026,1,9.25279426574707,9.25279426574707,6.930245876312256,6.930245876312256,0.1740625500679016,36,0.001,0.55,0.5,0.115,24,3,0.3,nlm,3,0.062
cfg0025,1,9.22070598602295,9.22070598602295,6.942702293395996,6.942702293395996,0.17728546261787415,36,0.001,0.55,0.5,0.115,24,3,0.3,nlm,3,0.06
cfg0022,1,9.214393615722656,9.214393615722656,7.619768142700195,7.619768142700195,0.18077358603477478,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.06
cfg0037,1,9.209004402160645,9.209004402160645,6.964290142059326,6.964290142059326,0.18014833331108093,37,0.001,0.55,0.5,0.105,24,3,0.3,nlm,3,0.06
cfg0008,1,9.186357498168945,9.186357498168945,8.184925079345703,8.184925079345703,0.1770664006471634,35,0.001,0.55,0.5,0.115,24,3,0.3,nlm,3,0.062
cfg0007,1,9.005688667297363,9.005688667297363,8.202303886413574,8.202303886413574,0.18028031289577484,35,0.001,0.55,0.5,0.115,24,3,0.3,nlm,3,0.06
cfg0040,1,9.003134727478027,9.003134727478027,6.237320899963379,6.237320899963379,0.1754775047302246,37,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.06
cfg0041,1,9.00261116027832,9.00261116027832,6.227047443389893,6.227047443389893,0.1723698377609253,37,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062
cfg0020,1,8.943642616271973,8.943642616271973,8.312126159667969,8.312126159667969,0.18025535345077515,36,0.001,0.55,0.5,0.105,24,3,0.3,nlm,3,0.062
cfg0024,1,8.857851028442383,8.857851028442383,6.954145431518555,6.954145431518555,0.18020027875900269,36,0.001,0.55,0.5,0.115,24,3,0.3,nlm,3,0.058
cfg0036,1,8.76466178894043,8.76466178894043,6.975090980529785,6.975090980529785,0.1828821748495102,37,0.001,0.55,0.5,0.105,24,3,0.3,nlm,3,0.058
cfg0021,1,8.726853370666504,8.726853370666504,7.6325788497924805,7.6325788497924805,0.18360424041748047,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.058
cfg0039,1,8.69914722442627,8.69914722442627,6.246413230895996,6.246413230895996,0.17827722430229187,37,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.058
cfg0055,1,8.675094604492188,8.675094604492188,5.523793697357178,5.523793697357178,0.17299780249595642,38,0.001,0.55,0.5,0.105,24,3,0.3,nlm,3,0.06
cfg0019,1,8.656203269958496,8.656203269958496,8.328899383544922,8.328899383544922,0.18326057493686676,36,0.001,0.55,0.5,0.105,24,3,0.3,nlm,3,0.06
cfg0056,1,8.654902458190918,8.654902458190918,5.5154266357421875,5.5154266357421875,0.17002537846565247,38,0.001,0.55,0.5,0.105,24,3,0.3,nlm,3,0.062
cfg0043,1,8.61782455444336,8.61782455444336,5.6281538009643555,5.6281538009643555,0.1711200475692749,37,0.001,0.55,0.5,0.115,24,3,0.3,nlm,3,0.06
cfg0044,1,8.565030097961426,8.565030097961426,5.619655609130859,5.619655609130859,0.16802485287189484,37,0.001,0.55,0.5,0.115,24,3,0.3,nlm,3,0.062
cfg0005,1,8.562414169311523,8.562414169311523,8.762239456176758,8.762239456176758,0.17801406979560852,35,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062
cfg0006,1,8.504448890686035,8.504448890686035,8.217774391174316,8.217774391174316,0.18316954374313354,35,0.001,0.55,0.5,0.115,24,3,0.3,nlm,3,0.058
cfg0046,1,8.448509216308594,8.448509216308594,6.951395034790039,6.951395034790039,0.17800873517990112,37,0.001,0.6,0.5,0.105,24,3,0.3,nlm,3,0.06
cfg0028,1,8.43862533569336,8.43862533569336,8.314003944396973,8.314003944396973,0.1812162697315216,36,0.001,0.6,0.5,0.105,24,3,0.3,nlm,3,0.06
cfg0054,1,8.43147087097168,8.43147087097168,5.531464576721191,5.531464576721191,0.17566362023353577,38,0.001,0.55,0.5,0.105,24,3,0.3,nlm,3,0.058
cfg0031,1,8.431249618530273,8.431249618530273,7.604232311248779,7.604232311248779,0.17854703962802887,36,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.06
cfg0029,1,8.422792434692383,8.422792434692383,8.294651985168457,8.294651985168457,0.1777975857257843,36,0.001,0.6,0.5,0.105,24,3,0.3,nlm,3,0.062
