config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0000,0,0,20240710,stripe_target,1,scgi_ured,35,0.001,0.55,0.5,0.105,24,3,0.3,nlm,3,0.058,6.683050632476807,9.291157722473145,0.18179279565811157,0.004685699939727783,0.9740428844495653,6.739697456359863,0.017035147175192833,0.33319157361984253,0.09409895539283752,0.0,0.7085515260696411,0.7085515260696411,0.09170316904783249,0.016403228044509888,0.008534020744264126,0.3870967626571655,0.2138671875,1.7703059911727905,0.00022690258629154414,0.016808245331048965,0.003775465302169323,0.00014626680058427155,0.21634559333324432
cfg0001,1,1,20240710,stripe_target,1,scgi_ured,35,0.001,0.55,0.5,0.105,24,3,0.3,nlm,3,0.06,7.168267726898193,9.274903297424316,0.1793617606163025,0.004685699939727783,0.9740428844495653,7.168267726898193,0.01714668795466423,0.3329814672470093,0.09244899451732635,0.008954554796218872,0.6758055090904236,0.6668509244918823,0.08700321614742279,0.015478192828595638,0.008329750970005989,0.3870967626571655,0.21307373046875,1.720847725868225,0.00022687356977257878,0.0169198140501976,0.0040727648884058,0.00015139766037464142,0.21643689274787903
cfg0002,2,2,20240710,stripe_target,1,scgi_ured,35,0.001,0.55,0.5,0.105,24,3,0.3,nlm,3,0.062,7.499733924865723,9.255171775817871,0.17659884691238403,0.004685699939727783,0.9740428844495653,7.499733924865723,0.01724817417562008,0.33273184299468994,0.0909692794084549,0.03298921883106232,0.650412380695343,0.6174231767654419,0.08330553770065308,0.0147379320114851,0.008098023012280464,0.3870967626571655,0.21270751953125,1.679067611694336,0.00022684625582769513,0.01702132821083069,0.004348426125943661,0.0001564434205647558,0.21655867993831635
cfg0003,3,3,20240710,stripe_target,1,scgi_ured,35,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.058,7.743544101715088,8.797739028930664,0.1837509274482727,0.004685699939727783,0.9740428844495653,7.743544101715088,0.011391120962798595,0.3860335350036621,0.09469199180603027,0.05201615393161774,0.7348017692565918,0.6827856302261353,0.08459398150444031,0.015176407061517239,0.008990541100502014,0.4193548262119293,0.21636962890625,1.6335712671279907,0.00022697189706377685,0.011164149269461632,0.0037810574285686016,0.00024029941414482892,0.1674041748046875
cfg0004,4,4,20240710,stripe_target,1,scgi_ured,35,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.06,8.27787971496582,8.781463623046875,0.18104684352874756,0.004685699939727783,0.9740428844495653,8.27787971496582,0.011493364349007607,0.38579416275024414,0.09312696754932404,0.0660993903875351,0.7119194269180298,0.6458200216293335,0.08083493262529373,0.014363334514200687,0.008779655210673809,0.4193548262119293,0.215576171875,1.586245059967041,0.0002269392425660044,0.011266425251960754,0.004079705569893122,0.000248601078055799,0.16767986118793488
cfg0005,5,5,20240710,stripe_target,1,scgi_ured,35,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,8.562414169311523,8.762239456176758,0.17801406979560852,0.004685699939727783,0.9740428844495653,8.562414169311523,0.01158199179917574,0.3855266571044922,0.09171202778816223,0.09276750683784485,0.6879509091377258,0.5951833724975586,0.07799512147903442,0.013715116307139397,0.008553575724363327,0.4193548262119293,0.215087890625,1.555398941040039,0.00022691383492201567,0.011355077847838402,0.004356876481324434,0.00025683603598736227,0.16794240474700928
cfg0006,6,6,20240710,stripe_target,1,scgi_ured,35,0.001,0.55,0.5,0.115,24,3,0.3,nlm,3,0.058,8.504448890686035,8.217774391174316,0.18316954374313354,0.004685699939727783,0.9740428844495653,8.504448890686035,0.0071779172867536545,0.436482310295105,0.09585154056549072,0.10461604595184326,0.7751600742340088,0.6705440282821655,0.08187299966812134,0.014340896159410477,0.00917802657932043,0.4838709533214569,0.2139892578125,1.5325820446014404,0.0002270405093440786,0.006950876675546169,0.0037829168140888214,0.0004361763712950051,0.12411601096391678
cfg0007,7,7,20240710,stripe_target,1,scgi_ured,35,0.001,0.55,0.5,0.115,24,3,0.3,nlm,3,0.06,9.005688667297363,8.202303886413574,0.18028031289577484,0.004685699939727783,0.9740428844495653,9.005688667297363,0.007263065315783024,0.4362485408782959,0.09432820230722427,0.12036330997943878,0.7498950362205505,0.629531741142273,0.07855574041604996,0.013593243435025215,0.00895447563380003,0.4838709533214569,0.21368408203125,1.4822030067443848,0.00022700816043652594,0.00703605730086565,0.004085213877260685,0.00044795245048590004,0.12466110289096832
cfg0008,8,8,20240710,stripe_target,1,scgi_ured,35,0.001,0.55,0.5,0.115,24,3,0.3,nlm,3,0.062,9.186357498168945,8.184925079345703,0.1770664006471634,0.004685699939727783,0.9740428844495653,9.186357498168945,0.007337519899010658,0.43594640493392944,0.09293461591005325,0.15052275359630585,0.7247771620750427,0.5742543935775757,0.07605072110891342,0.012993409298360348,0.008711087517440319,0.4838709533214569,0.21307373046875,1.452723503112793,0.00022698473185300827,0.00711053516715765,0.0043661100789904594,0.00045914362999610603,0.1251739114522934
cfg0009,9,9,20240710,stripe_target,1,scgi_ured,35,0.001,0.6,0.5,0.105,24,3,0.3,nlm,3,0.058,7.117905139923096,9.280640602111816,0.18037183582782745,0.004685699939727783,0.9740428844495653,7.117905139923096,0.017336588352918625,0.3331180810928345,0.0929437056183815,0.00020654499530792236,0.6863631010055542,0.6861565709114075,0.0890917032957077,0.015685703605413437,0.008420231752097607,0.3870967626571655,0.21331787109375,1.7360610961914062,0.00022685890144202858,0.01710972934961319,0.003791424445807934,0.00015208974946290255,0.21662071347236633
cfg0010,10,10,20240710,stripe_target,1,scgi_ured,35,0.001,0.6,0.5,0.105,24,3,0.3,nlm,3,0.06,7.488229274749756,9.2608060836792,0.17756381630897522,0.004685699939727783,0.9740428844495653,7.488229274749756,0.017466403543949127,0.33284658193588257,0.09140191972255707,0.015088573098182678,0.6561011075973511,0.6410125494003296,0.08595657348632812,0.014897179789841175,0.008187456987798214,0.3870967626571655,0.21319580078125,1.6990525722503662,0.00022682826966047287,0.01723957434296608,0.00407669972628355,0.00015797876403667033,0.21680018305778503
cfg0011,11,11,20240710,stripe_target,1,scgi_ured,35,0.001,0.6,0.5,0.105,24,3,0.3,nlm,3,0.062,7.642705917358398,9.23751163482666,0.1744203269481659,0.004685699939727783,0.9740428844495653,7.642705917358398,0.017581608146429062,0.33255672454833984,0.09000787883996964,0.042087942361831665,0.632444441318512,0.5903564691543579,0.08370421826839447,0.014270850457251072,0.007981865666806698,0.3870967626571655,0.2122802734375,1.677764892578125,0.0002267979143653065,0.01735481061041355,0.004341467283666134,0.00016374417464248836,0.2169795036315918
