variant,row_order,sign_randomized,block_size,correction,rho,sigma_a,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,gain_rel_mse_mean
hadamard_block_shuffle,within_block_shuffle,False,32,agc,0.001,0.3,28.641740043589444,2.122018521508564,0.015674536364790593,0.0022898552723455427,0.0014993460732512175
hadamard_block_shuffle,within_block_shuffle,False,32,agc,0.1,0.3,12.713679684330305,1.8573686127931797,0.6091471456363456,0.045870021865469644,0.06734872825443744
hadamard_block_shuffle,within_block_shuffle,False,32,agc,1.0,0.3,11.037142872850925,1.666504748460966,0.8941305935256123,0.028900150142320735,0.08279220297932625
hadamard_block_shuffle,within_block_shuffle,False,32,agc,10.0,0.3,10.872977300231252,1.6446902310231801,0.9283791438543357,0.02285286167340835,0.0839998534321785
hadamard_block_shuffle,within_block_shuffle,False,32,none,0.001,0.3,24.18895204825841,2.49664010624252,0.047057255246557864,0.018243266804952113,
hadamard_block_shuffle,within_block_shuffle,False,32,none,0.1,0.3,12.661768462932871,1.8675848621416846,0.6168900784047558,0.05208309948484991,
hadamard_block_shuffle,within_block_shuffle,False,32,none,1.0,0.3,11.034358077422942,1.6701058209813753,0.8947125784324829,0.029109176454833376,
hadamard_block_shuffle,within_block_shuffle,False,32,none,10.0,0.3,10.874745276329367,1.6475181319016858,0.9280342409828961,0.024115097959409984,
hadamard_block_shuffle,within_block_shuffle,False,32,oracle,0.001,0.3,120.0,0.0,9.044319125156059e-13,1.345021942383234e-13,5.376188589364256e-15
hadamard_block_shuffle,within_block_shuffle,False,32,oracle,0.1,0.3,120.0,0.0,9.152647678817308e-13,1.509773203852878e-13,5.401407978929216e-15
hadamard_block_shuffle,within_block_shuffle,False,32,oracle,1.0,0.3,120.0,0.0,9.180890925308736e-13,1.358168123797708e-13,5.4740690062435315e-15
hadamard_block_shuffle,within_block_shuffle,False,32,oracle,10.0,0.3,120.0,0.0,9.183038782039307e-13,1.4237931781759186e-13,5.3544232307516095e-15
hadamard_block_shuffle,within_block_shuffle,False,32,pairwise,0.001,0.3,29.312941494956863,2.245736339850004,0.013478893478910115,0.0022871023905331727,4.473222856177017e-05
hadamard_block_shuffle,within_block_shuffle,False,32,pairwise,0.1,0.3,13.094618223951725,1.8823282367428202,0.5581383280440146,0.04398478133086021,0.004255133122205735
hadamard_block_shuffle,within_block_shuffle,False,32,pairwise,1.0,0.3,11.06704313393338,1.6701962668070751,0.8877875550191143,0.021122348626179364,0.02702524434775114
hadamard_block_shuffle,within_block_shuffle,False,32,pairwise,10.0,0.3,10.885853207730884,1.6470804458713235,0.9254963480036242,0.016381900894719248,0.0420515963435173
hadamard_block_shuffle,within_block_shuffle,False,32,scgi_proxy,0.001,0.3,28.69270464160751,2.1625953594754135,0.015509028794546097,0.0023810766093910686,0.0015047792601399124
hadamard_block_shuffle,within_block_shuffle,False,32,scgi_proxy,0.1,0.3,12.711676236370058,1.8694706767404736,0.6096073547727165,0.048294379234975086,0.06768917828798295
hadamard_block_shuffle,within_block_shuffle,False,32,scgi_proxy,1.0,0.3,11.035846785019956,1.6702405363648627,0.894424382477321,0.02975884495826857,0.0827261309325695
hadamard_block_shuffle,within_block_shuffle,False,32,scgi_proxy,10.0,0.3,10.873211595719695,1.6472100492336355,0.9283464513029748,0.02355774644322619,0.08387482717633248
hadamard_ordered,ordered,False,32,agc,0.001,0.3,23.374999196452478,2.1577512431870587,0.0527182160307572,0.0078042884111929195,0.0054530401341617105
hadamard_ordered,ordered,False,32,agc,0.1,0.3,12.373472206352165,1.8712288566300472,0.6586640250971323,0.04774008707827578,0.06978889480233193
hadamard_ordered,ordered,False,32,agc,1.0,0.3,10.901516941340653,1.6763074977318857,0.9222527266720881,0.020778907639705014,0.08542354121804237
hadamard_ordered,ordered,False,32,agc,10.0,0.3,10.779374181664425,1.65489541905635,0.9484370063483941,0.01490505572107714,0.08665888011455536
hadamard_ordered,ordered,False,32,none,0.001,0.3,24.443007908688305,2.775820246398234,0.046307943266223416,0.02368992466896154,
hadamard_ordered,ordered,False,32,none,0.1,0.3,12.731290642912859,1.8599099232468783,0.6074087579257069,0.05454334270076327,
hadamard_ordered,ordered,False,32,none,1.0,0.3,10.992222972469625,1.6764389051266055,0.9032460383332191,0.022718486996543604,
hadamard_ordered,ordered,False,32,none,10.0,0.3,10.840900525049287,1.654848210316824,0.9351227693840484,0.016376763053178468,
