basis,structure,B_L_mean,scalar_ratio_mean,scalar_ratio_worst,matrix_abs_rel_err_max,matrix_abs_rel_err_mean
orthogonal_inverse,ar1,1.0,1.0063294335395783,1.0177672655368182,0.01776726553681814,0.007727228251927401
orthogonal_inverse,blockwise,1.0,0.9659362222355885,0.9578022516171266,0.04219774838287379,0.034063777764411586
orthogonal_inverse,iid,1.0,0.9955947780277489,0.9581893592371822,0.04181064076281778,0.009396382981686307
orthogonal_inverse,lowpass_ou,1.0,1.005406546330127,1.0187989949986516,0.018798994998651168,0.005774215646278452
orthogonal_inverse,sinusoidal,1.0,0.992024348028289,0.9884254203211215,0.011574579678878556,0.007975651971711033
random_dgi,ar1,736.9843851319343,0.9859722091660117,0.9854336994588717,0.00125937659133111,0.0009105071556495201
random_dgi,blockwise,736.9843851319343,0.9220778413186806,0.9201315893180431,0.020370828941196878,0.02028438186007811
random_dgi,iid,736.9843851319343,1.002686686403679,1.0030602315333021,0.003060231533302138,0.002686686403679069
random_dgi,lowpass_ou,736.9843851319343,0.276922824688089,0.27381591109893383,0.006955946678157667,0.006377199867206633
random_dgi,sinusoidal,736.9843851319343,1.0125440702681054,1.016358144246929,0.0008897274164605848,0.0008480273912427743
srht_inverse,ar1,1.0,0.9990296366258626,1.004366553155401,0.0043665531554010475,0.001843674005217507
srht_inverse,blockwise,1.0,0.9737259294383668,0.9711124535610377,0.02888754643896234,0.026274070561633167
srht_inverse,iid,1.0,1.000251615973422,1.0040764623189304,0.004076462318930527,0.00130206161726488
srht_inverse,lowpass_ou,1.0,0.9970166677607472,0.9937627222573078,0.006237277742692424,0.003206425350869434
srht_inverse,sinusoidal,1.0,1.000121227694699,1.0007039496717784,0.0007039496717784006,0.0003012783045332288
