config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight,fixed_init_seed,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_binary_prior_loss,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0000,0,0,20240709,letter_A,0,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240709,91.76237487792969,27.585039138793945,0.07225459814071655,0.0029279589653015137,1.0,102.82085418701172,0.047616034746170044,0.03956121951341629,0.03661051020026207,0.003198405262082815,1.0,0.9968016147613525,0.010870525613427162,0.002219701884314418,0.001332721090875566,0.09677419066429138,0.00152587890625,0.2082781046628952,0.047011151909828186,0.0006048821960575879,0.006029078271239996,0.0,0.0005456047365441918,0.037970807403326035
cfg0000,0,0,20240710,stripe_target,1,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240709,12.340508460998535,21.509124755859375,0.4846195578575134,0.004685699939727783,0.9740428844495653,12.340508460998535,0.042895086109638214,0.24332885444164276,0.39507755637168884,0.0,1.0,1.0,0.26452183723449707,0.22687996923923492,0.15988337993621826,0.4838709533214569,0.21636962890625,1.3516812324523926,0.00022818804427515715,0.04266689717769623,0.09795932471752167,0.0,0.0017235164996236563,0.38933563232421875
cfg0000,0,0,20240711,letter_L,2,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240709,54.442962646484375,29.858530044555664,0.2857145667076111,0.004587233066558838,1.0,57.52924728393555,0.033061474561691284,0.1097097098827362,0.2771812975406647,0.0,1.0,1.0,0.03685462474822998,0.018353428691625595,0.07928604632616043,0.4838709533214569,0.08837890625,0.7732061147689819,0.0008546557510271668,0.03220681846141815,0.10461729764938354,0.0,0.0008976074168458581,0.33440133929252625
cfg0000,0,0,20240712,ring,3,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240709,16.57730484008789,23.45280647277832,0.2356739342212677,0.003703176975250244,1.0,16.57730484008789,0.03782705217599869,0.1771983951330185,0.3191148638725281,0.0,1.0,1.0,0.05682948976755142,0.030455119907855988,0.10461927950382233,0.5161290168762207,0.13104248046875,1.0136346817016602,0.00029910210287198424,0.03752794861793518,0.12642301619052887,0.0,0.00010102095257025212,0.3617830276489258
cfg0001,1,1,20240710,letter_A,0,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240710,91.82573699951172,26.69601058959961,0.05822066590189934,0.0029279589653015137,1.0,114.0245132446289,0.0473075695335865,0.04442558437585831,0.03641686588525772,0.0038292049430310726,1.0,0.9961708188056946,0.011766478419303894,0.0022341106086969376,0.0013235093792900443,0.12903225421905518,0.00152587890625,0.14815779030323029,0.04686952754855156,0.0004380409955047071,0.005212046671658754,0.0,0.0008050091564655304,0.03020595572888851
cfg0001,1,1,20240711,stripe_target,1,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240710,11.236534118652344,20.255603790283203,0.47783583402633667,0.004685699939727783,0.9740428844495653,11.619966506958008,0.04365818575024605,0.2491038292646408,0.39473867416381836,0.0,1.0,1.0,0.26893484592437744,0.2261432409286499,0.15907274186611176,0.4838709533214569,0.218994140625,1.4582011699676514,0.00022818936849944293,0.04342999681830406,0.1033082902431488,0.0,0.0009867114713415504,0.3936882019042969
cfg0001,1,1,20240712,letter_L,2,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240710,58.76274108886719,25.479068756103516,0.1749742329120636,0.004587233066558838,1.0,61.79762649536133,0.033868223428726196,0.13423746824264526,0.26955023407936096,0.0,1.0,1.0,0.04080021381378174,0.017378346994519234,0.07474963366985321,0.4516128897666931,0.08819580078125,0.8599171042442322,0.0008650664240121841,0.03300315886735916,0.1280095875263214,0.0,0.00010056216706288978,0.339849591255188
cfg0001,1,1,20240713,ring,3,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240710,16.701496124267578,26.57217788696289,0.5983629822731018,0.003703176975250244,1.0,16.701496124267578,0.03854083642363548,0.14072014391422272,0.33321234583854675,0.0,1.0,1.0,0.05535667762160301,0.033922843635082245,0.11259568482637405,0.4838709533214569,0.13128662109375,0.5830082893371582,0.0002912160416599363,0.03824961930513382,0.10256902873516083,0.0,0.0008613390382379293,0.365803599357605
cfg0002,2,2,20240711,letter_A,0,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240711,91.97592163085938,30.259593963623047,0.14384950697422028,0.0029279589653015137,1.0,101.08828735351562,0.047530435025691986,0.027010705322027206,0.03706075996160507,0.0,1.0,1.0,0.010799393989145756,0.0022649765014648438,0.0014131529023870826,0.09677419066429138,0.00152587890625,0.2678375244140625,0.04684162884950638,0.0006888043135404587,0.004799858666956425,0.0,0.0007491976721212268,0.041417572647333145
cfg0002,2,2,20240712,stripe_target,1,scgi_ured,15,0.0005,0.4,0.5,0.1,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,20240711,12.314099311828613,20.091848373413086,0.44151049852371216,0.004685699939727783,0.9740428844495653,12.314099311828613,0.04482222720980644,0.26799994707107544,0.38333314657211304,0.0,1.0,1.0,0.2541239261627197,0.21100561320781708,0.1502731889486313,0.5161290168762207,0.21630859375,1.4296241998672485,0.00022702533169649541,0.044595200568437576,0.13048294186592102,0.0,0.00010843387281056494,0.39973968267440796
