method,source_config,steps,standard_cnr,standard_psnr,standard_ssim,bbox_cnr,bbox_psnr,bbox_ssim,ks_p
static,,,3.309587001800537,8.7587251663208,0.07266108691692352,3.317922830581665,9.17822551727295,0.24347563087940216,0.9162256635269787
dynamic,,,0.010760142467916012,6.005117893218994,0.0021917996928095818,0.01755388453602791,6.026001453399658,0.015838460996747017,0.0
scgi,,,3.309537649154663,8.761033058166504,0.07265590876340866,3.317845106124878,9.179433822631836,0.24345770478248596,0.8982973786074485
analytic,,,3.3095335960388184,8.758427619934082,0.07265616208314896,3.3178858757019043,9.177931785583496,0.24346019327640533,0.9133100495709391
oracle,,,3.3095762729644775,8.758772850036621,0.07266102731227875,3.317918300628662,9.178268432617188,0.24347539246082306,0.9157540498257991
best_final,nlm_allobjects/cfg0001,200,8.453327178955078,10.252985000610352,0.07514355331659317,7.417049884796143,9.880483627319336,0.2494172900915146,0.8982973786074485
best_trace_regen,nlm_allobjects/cfg0001,117,13.209966659545898,3.5026254653930664,0.059887878596782684,9.719425201416016,4.533078193664551,0.20105215907096863,0.8982973786074485
