sample,lambda,b_mean,b_var,b_ks_d,b_ks_p,r_slope,factor_start,factor_end
0,0.9989665746688843,0.8374356031417847,0.0023382368963211775,0.015619277954101562,1.0,-0.5903046131134033,1.0,0.34724974632263184
1,0.9986757636070251,0.8501332998275757,0.0015832013450562954,0.014605283737182617,1.0,-0.6888694167137146,1.0,0.2577928900718689
2,0.9965378046035767,0.880936861038208,0.0011706545483320951,0.01418796181678772,1.0,-0.7808318138122559,1.0,0.028783464804291725
