object,object_source,variant,cnr,psnr,ssim,scale_aligned_psnr,affine_aligned_psnr,affine_offset,affine_slope,recon_min,recon_max,recon_mean,pattern_factor,num_patterns,streaming
letter_A,handcrafted,raw,2.332916736602783,11.154189109802246,0.620647668838501,13.620903015136719,13.633312225341797,0.08710486961439598,208.79176531314332,-0.00173367524985224,0.0025379781145602465,3.3339802030241117e-07,0.5,512,True
letter_A,handcrafted,minmax,2.332916259765625,8.29871654510498,0.14782357215881348,12.410842895507812,13.633313179016113,-0.27487224737248017,0.8918881152002093,0.0,0.9999977350234985,0.4059329032897949,0.5,512,True
stripe_target,handcrafted,raw,1.7279324531555176,6.885648727416992,0.446223646402359,9.11041259765625,9.811941146850586,0.20512916918999594,470.83930152854,-0.0014995778910815716,0.001943244831636548,-1.0841210951184621e-07,0.5,512,True
stripe_target,handcrafted,minmax,1.7279325723648071,7.69126033782959,0.1689864546060562,8.74112319946289,9.811941146850586,-0.5009310331351533,1.621020952669022,0.0,0.999997079372406,0.43553364276885986,0.5,512,True
letter_L,handcrafted,raw,2.61600923538208,11.545381546020508,0.6715083122253418,13.99390697479248,13.932716369628906,0.07135657470701492,169.12999701259312,-0.002286013914272189,0.0038657034747302532,-6.173217116156593e-06,0.5,512,True
letter_L,handcrafted,minmax,2.616008758544922,8.729874610900879,0.1296282708644867,12.489067077636719,13.932716369628906,-0.3152769483919891,1.0404415493786223,0.0,0.9999983906745911,0.37060174345970154,0.5,512,True
ring,handcrafted,raw,2.137990713119507,9.177835464477539,0.437724769115448,11.561741828918457,11.678747177124023,0.11256932047412099,281.77197139967456,-0.001968408701941371,0.0025330479256808758,3.025293699465692e-05,0.5,512,True
ring,handcrafted,minmax,2.137991189956665,7.503238201141357,0.1747952103614807,10.405902862548828,11.678747177124023,-0.44207308321095046,1.2683870062880649,0.0,0.9999978542327881,0.4440023899078369,0.5,512,True
heldout_0,synthetic,raw,2.2972960472106934,11.870882034301758,0.5371384024620056,14.355737686157227,14.376922607421875,0.07988270766372647,187.0178712407529,-0.0019049717811867595,0.003159007988870144,-5.036900802224409e-06,0.5,512,True
heldout_0,synthetic,minmax,2.2972960472106934,8.961010932922363,0.14648771286010742,13.049699783325195,14.376922607421875,-0.2763810605522466,0.9470565706887333,0.0,0.9999980926513672,0.37518537044525146,0.5,512,True
letter_A,handcrafted,raw,3.219029664993286,11.154269218444824,0.6207356452941895,15.275989532470703,15.188603401184082,0.08901781445320398,307.69557922378675,-0.0013635135255753994,0.002518631750717759,-5.990778390696505e-06,1.0,1024,True
letter_A,handcrafted,minmax,3.2190299034118652,9.810956001281738,0.17183427512645721,12.77961540222168,15.188603401184082,-0.3305292700633817,1.1945220225264068,0.0,0.9999974370002747,0.3496827185153961,1.0,1024,True
stripe_target,handcrafted,raw,2.474398374557495,6.885709285736084,0.4462762475013733,10.651931762695312,11.373414039611816,0.20444062039496277,716.3545024283324,-0.0012360241962596774,0.0013098691124469042,8.899291970010381e-07,1.0,1024,True
stripe_target,handcrafted,minmax,2.474397659301758,7.5463080406188965,0.22029441595077515,9.049641609191895,11.373414039611816,-0.6809908795923852,1.8237692270871815,0.0,0.9999960660934448,0.4858449101448059,1.0,1024,True
letter_L,handcrafted,raw,3.777099132537842,11.544641494750977,0.6716650128364563,15.559368133544922,15.36718463897705,0.07662390140824658,256.9126904008855,-0.0016077349428087473,0.0031363710295408964,-2.456632319081109e-05,1.0,1024,True
letter_L,handcrafted,minmax,3.777099132537842,9.821816444396973,0.16579896211624146,12.845654487609863,15.367183685302734,-0.33642360827756806,1.2188235409542385,0.0,0.9999979138374329,0.33371204137802124,1.0,1024,True
ring,handcrafted,raw,3.078326463699341,9.177590370178223,0.4377725124359131,13.306716918945312,13.273435592651367,0.11562320356996021,436.021542624376,-0.001399356871843338,0.0020005006808787584,1.2546503057819791e-05,1.0,1024,True
ring,handcrafted,minmax,3.078326463699341,8.365541458129883,0.22517827153205872,10.783451080322266,13.273435592651367,-0.49452653677754566,1.482415496671231,0.0,0.999997079372406,0.41528183221817017,1.0,1024,True
heldout_0,synthetic,raw,3.2757699489593506,11.869678497314453,0.5366555452346802,15.744185447692871,15.687517166137695,0.08478837994824032,285.5820357610499,-0.0016154507175087929,0.0026362722273916006,-2.0476296413107775e-05,1.0,1024,True
heldout_0,synthetic,minmax,3.2757694721221924,9.221122741699219,0.16069501638412476,13.199478149414062,15.687517166137695,-0.3765553230066827,1.21421854948366,0.0,0.9999976754188538,0.3751351237297058,1.0,1024,True
