variant,correction,rho,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std
hadamard_ordered,agc,0.001,23.374999196452478,2.1577512431870587,0.0527182160307572,0.0078042884111929195
hadamard_ordered,agc,0.1,12.373472206352165,1.8712288566300472,0.6586640250971323,0.04774008707827578
hadamard_ordered,agc,1.0,10.901516941340653,1.6763074977318857,0.9222527266720881,0.020778907639705014
hadamard_ordered,agc,10.0,10.779374181664425,1.65489541905635,0.9484370063483941,0.01490505572107714
hadamard_ordered,none,0.001,24.443007908688305,2.775820246398234,0.046307943266223416,0.02368992466896154
hadamard_ordered,none,0.1,12.731290642912859,1.8599099232468783,0.6074087579257069,0.05454334270076327
hadamard_ordered,none,1.0,10.992222972469625,1.6764389051266055,0.9032460383332191,0.022718486996543604
hadamard_ordered,none,10.0,10.840900525049287,1.654848210316824,0.9351227693840484,0.016376763053178468
hadamard_ordered,oracle,0.001,120.0,0.0,9.173952538218343e-13,1.4599824872443888e-13
hadamard_ordered,oracle,0.1,120.0,0.0,9.488778301454912e-13,1.4766278716905164e-13
hadamard_ordered,oracle,1.0,120.0,0.0,9.2972783266759e-13,1.3628875377265827e-13
hadamard_ordered,oracle,10.0,120.0,0.0,9.241369644640503e-13,1.395454065722795e-13
hadamard_ordered,pairwise,0.001,29.31351823208762,2.2453047591666153,0.01347642006513154,0.002281923790995053
hadamard_ordered,pairwise,0.1,13.066535941921693,1.8823917391932703,0.5616849322277995,0.04326757753742698
hadamard_ordered,pairwise,1.0,11.042899049677334,1.6825922439520016,0.8927359228943109,0.021206898119300675
hadamard_ordered,pairwise,10.0,10.867135846748145,1.658188043751305,0.929473093046735,0.015242322120874287
perm_only,agc,0.001,28.769262492048465,2.152268514203912,0.015237971528692012,0.002339172972508448
perm_only,agc,0.1,13.00066375488944,1.8888661215287375,0.5720490169380329,0.06386561209475676
perm_only,agc,1.0,11.015784360790347,1.6787023949359463,0.8986355039555748,0.03183343650557811
perm_only,agc,10.0,10.856708579946353,1.6558865237029967,0.9318745622377151,0.023355977703479358
perm_only,none,0.001,24.878575607276925,1.855057629856748,0.0373943372166276,0.0061883779423917585
perm_only,none,0.1,12.969671031348954,1.8784301438309847,0.5762870126932091,0.065617153862571
perm_only,none,1.0,11.016609381666864,1.677624026685201,0.898458974034307,0.03169233717180526
perm_only,none,10.0,10.858805915538143,1.6553394372181025,0.9314291340020417,0.02353167537220365
perm_only,oracle,0.001,120.0,0.0,8.059216083455134e-13,9.451815737067719e-14
perm_only,oracle,0.1,120.0,0.0,8.194617990544261e-13,1.0812261093613806e-13
perm_only,oracle,1.0,120.0,0.0,8.171831121285185e-13,1.1162104528682512e-13
perm_only,oracle,10.0,120.0,0.0,8.101423727850323e-13,9.861813013038917e-14
perm_only,pairwise,0.001,29.319369970892765,2.247857934797009,0.013458928500082797,0.0022794320810892044
perm_only,pairwise,0.1,13.09179477133329,1.8912607136745352,0.5585010341134711,0.043645399363524615
perm_only,pairwise,1.0,11.05311148789878,1.6804684278935271,0.890625342348045,0.020452000887490638
perm_only,pairwise,10.0,10.870786013895042,1.6572395851709083,0.9286991373124391,0.01560080135616269
sign_only,agc,0.001,28.84061289135301,2.181682898286573,0.014989768221240003,0.0023081197046463235
sign_only,agc,0.1,12.857511432704957,1.8571008782959284,0.5890392689026307,0.040365009867414085
sign_only,agc,1.0,11.034043864460362,1.675751120868019,0.8945841755870058,0.022208862324229355
sign_only,agc,10.0,10.876247015853526,1.6554882623169833,0.9275860436587577,0.018525756371630994
sign_only,none,0.001,24.58876466302631,2.055459441294982,0.04039319609138107,0.00862064919174116
sign_only,none,0.1,12.796727775288971,1.851803201750148,0.5972475343770269,0.03951680031175343
sign_only,none,1.0,11.033107839753445,1.6759700759485352,0.8947776356670274,0.022242469696858648
sign_only,none,10.0,10.876347628388876,1.6559100856140292,0.9275678512711507,0.018693642543746693
sign_only,oracle,0.001,120.0,0.0,7.774574181171988e-13,8.613398089123902e-14
sign_only,oracle,0.1,120.0,0.0,7.921697804749696e-13,9.815307866563073e-14
sign_only,oracle,1.0,120.0,0.0,7.880022987453096e-13,1.0090177391799338e-13
sign_only,oracle,10.0,120.0,0.0,7.873585654460221e-13,1.0028229272556114e-13
sign_only,pairwise,0.001,29.321317974440994,2.246841361075147,0.013450981084429256,0.002267227595066635
sign_only,pairwise,0.1,13.09020814039661,1.8920255529041472,0.5585938249226475,0.042228587391775325
sign_only,pairwise,1.0,11.070695835562265,1.6803238804331693,0.8870685347392374,0.022133152664298144
sign_only,pairwise,10.0,10.890690793588094,1.6565519288882657,0.9245044192040459,0.01839029141681106
srht_full,agc,0.001,28.828266864618936,2.179020515458667,0.015034564473016689,0.002339048793699147
srht_full,agc,0.1,12.850382101068458,1.8646533634890599,0.5902490730540307,0.04385380271550967
srht_full,agc,1.0,10.984194015770361,1.682914916026101,0.9049338682223416,0.02335560175203385
srht_full,agc,10.0,10.815532638803228,1.6597408491879673,0.9406309021708826,0.018088590640758833
srht_full,none,0.001,24.592790128735246,2.023972570780174,0.04026807535049003,0.00813199810375198
srht_full,none,0.1,12.787734391826694,1.857358094584846,0.5987217937016263,0.04306220881541354
srht_full,none,1.0,10.9827650325796,1.6830217971096324,0.9052396462673963,0.02367089864070492
srht_full,none,10.0,10.815340973575434,1.6601246613076532,0.9406765249600355,0.018302993218161326
srht_full,oracle,0.001,120.0,0.0,7.888642645664996e-13,9.334567784059518e-14
srht_full,oracle,0.1,120.0,0.0,7.96674341133853e-13,1.0946125376355761e-13
srht_full,oracle,1.0,120.0,0.0,7.903011355197714e-13,9.830694931128773e-14
srht_full,oracle,10.0,120.0,0.0,7.93925492455072e-13,1.0310127307431543e-13
srht_full,pairwise,0.001,29.318226584247114,2.2497804042609295,0.013464600931197163,0.0022957843501617186
srht_full,pairwise,0.1,13.069272150899387,1.8983634396335007,0.5615550319064343,0.04580119209000357
srht_full,pairwise,1.0,11.011545446510121,1.6873238073865386,0.8992667841134869,0.023776917973544098
srht_full,pairwise,10.0,10.823909213683933,1.6609373293532677,0.9388178909556395,0.01803322696304319
