method,source_config,steps,standard_cnr,standard_psnr,standard_ssim,bbox_cnr,bbox_psnr,bbox_ssim,ks_p
static,,,2.981825828552246,8.29046630859375,0.08628018200397491,2.9932878017425537,8.4830322265625,0.21114981174468994,1.0
dynamic,,,0.02461627498269081,5.812777519226074,0.0025911477860063314,0.02549239806830883,5.77795934677124,0.018817469477653503,1e-323
scgi,,,2.981916666030884,8.29013442993164,0.08629491925239563,2.993356704711914,8.48310661315918,0.21118426322937012,1.0
analytic,,,2.9818837642669678,8.287691116333008,0.08627315610647202,2.9933419227600098,8.481308937072754,0.21113628149032593,1.0
oracle,,,2.9818687438964844,8.290549278259277,0.08629456162452698,2.9933228492736816,8.483367919921875,0.21118326485157013,1.0
best_final,nlm_allobjects/cfg0001,200,7.8415398597717285,11.404434204101562,0.07432541251182556,7.146324634552002,8.614014625549316,0.1735033243894577,1.0
best_trace_regen,nlm_allobjects/cfg0001,64,14.29987907409668,3.482664108276367,0.09442485868930817,12.511565208435059,4.359339714050293,0.23101700842380524,1.0
