sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points
0.1,reference_k32,random_uniform,hadamard_paired,,not_reached,-1.5650471126773589,-23.270373780903086,9
0.1,reference_k32,random_binary,hadamard_paired,,not_reached,-0.8752934332928177,-22.991053695519405,9
0.1,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.2627692076700132,-18.25543452854557,9
0.1,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.8758927267847554,-2.878784085533944,9
0.1,reference_k32,srht_paired,hadamard_paired,0.1,observed,0.03477995416569968,-0.08525065931263498,9
0.1,reference_k8,random_uniform,hadamard_paired,,not_reached,-1.5279876274912425,-23.63981156995448,9
0.1,reference_k8,random_binary,hadamard_paired,,not_reached,-0.7551546055766902,-23.476652088931573,9
0.1,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.32041962049316197,-18.80833285855535,9
0.1,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.9051258737220831,-3.0073241340191856,9
0.1,reference_k8,srht_paired,hadamard_paired,0.03,observed,0.05443659666370593,-0.02083896814310293,9
0.1,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-1.2715603728923863,-17.217887928205492,9
0.1,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.39583949210250857,-16.869660459742406,9
0.1,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.3330491156101001,-10.752466956208764,9
0.1,scgi_frozen,dct_paired,hadamard_paired,0.001,left_censored,0.16355381647977651,-2.5476268695902426,9
0.1,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,5.71373596835824,0.09549212541025831,9
0.1,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-1.307809991778793,-23.191446573104365,9
0.1,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.4306555313436249,-22.8606966659008,9
0.1,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.40931879903222423,-16.961988645739225,9
0.1,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.8852621440734989,-2.8228550983733385,9
0.1,scgi_proxy,srht_paired,hadamard_paired,0.03,observed,0.1286133359595496,-0.12739619990981055,9
0.15,agc,random_uniform,hadamard_paired,,not_reached,-0.44098720958743876,-10.122034626917337,9
0.15,agc,random_binary,hadamard_paired,3.0,observed,0.08165131360883393,-9.419510293584775,9
0.15,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.1383642576293056,-2.6113362546075667,9
0.15,agc,dct_paired,hadamard_paired,,not_reached,-0.38699470400878866,-2.1181647470046165,9
0.15,agc,srht_paired,hadamard_paired,0.001,left_censored,10.015954779602936,0.2732048050636724,9
0.15,none,random_uniform,hadamard_paired,,not_reached,-0.6498684740039735,-19.12080623316377,9
0.15,none,random_binary,hadamard_paired,,not_reached,-0.11362580123115684,-17.99570976863268,9
0.15,none,fourier_fourstep,hadamard_paired,,not_reached,-0.11589737915171838,-10.504747555980952,9
0.15,none,dct_paired,hadamard_paired,,not_reached,-0.4667575958104777,-2.1204927543696463,9
0.15,none,srht_paired,hadamard_paired,0.03,observed,0.185127502590694,-0.3128774097006364,9
0.15,pairwise,dct_paired,hadamard_paired,,not_reached,-0.475197143268975,-3.002987977123766,9
0.15,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.08734335964915019,0.014900424639186838,9
0.15,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.8586073923442861,-22.56013560019173,9
0.15,reference_k2,random_binary,hadamard_paired,,not_reached,-0.17369979317190953,-22.42648045177289,9
0.15,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.06638219158821279,-17.763789189002214,9
0.15,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.633919243107183,-3.000041745659587,9
0.15,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.08099799720947587,0.023885116138508522,9
0.15,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.7868720291783777,-20.067146875962006,9
0.15,reference_k32,random_binary,hadamard_paired,,not_reached,-0.4179383929216822,-19.615315537942962,9
0.15,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.1037673382234292,-14.872575693322958,9
0.15,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.4572284413214138,-2.868401547330663,9
0.15,reference_k32,srht_paired,hadamard_paired,0.1,observed,0.041977360865791624,-0.08049808031318406,9
0.15,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.7698933128420293,-20.214938330751664,9
0.15,reference_k8,random_binary,hadamard_paired,,not_reached,-0.3290032638703604,-19.99658718669795,9
0.15,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.14585061972887559,-15.395934375783398,9
0.15,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.47617657677505676,-3.0010819267799604,9
0.15,reference_k8,srht_paired,hadamard_paired,0.01,observed,0.0605367970195676,-0.0176459349423439,9
0.15,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.6400032757284357,-16.256378622737387,9
0.15,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.11838431345402434,-15.6728584203034,9
0.15,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.15776955985273666,-9.396461126399661,9
0.15,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.4804682585340778,-2.508437062350616,9
0.15,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,3.715289068037599,0.07122381227991426,9
0.15,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.6591771344429151,-20.117306171391498,9
0.15,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.13743246895968042,-19.55033134066029,9
0.15,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.19944653770652288,-13.621790684379366,9
0.15,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.46890940981275087,-2.80777392285545,9
0.15,scgi_proxy,srht_paired,hadamard_paired,0.03,observed,0.18088410224973828,-0.11777078392992735,9
0.3,agc,random_uniform,hadamard_paired,,not_reached,-0.119165600788806,-10.0689243199432,9
0.3,agc,random_binary,hadamard_paired,3.0,observed,0.03641380452059373,-8.982910830300055,9
0.3,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.043449107038199486,-2.5185625900356747,9
0.3,agc,dct_paired,hadamard_paired,,not_reached,-0.10467101857691219,-2.0500126085644546,9
0.3,agc,srht_paired,hadamard_paired,0.001,left_censored,5.3603729598628185,0.08650252235438138,9
0.3,none,random_uniform,hadamard_paired,,not_reached,-0.1699863096412333,-13.829505024309173,9
0.3,none,random_binary,hadamard_paired,,not_reached,-0.010612229535572837,-13.28040483705626,9
0.3,none,fourier_fourstep,hadamard_paired,,not_reached,-0.020203521277665004,-5.138046807666111,9
0.3,none,dct_paired,hadamard_paired,,not_reached,-0.12761044460546245,-1.6199520241541148,9
0.3,none,srht_paired,hadamard_paired,0.03,observed,0.19772631041630184,-0.19002430269127046,9
0.3,pairwise,dct_paired,hadamard_paired,,not_reached,-0.1320325660470676,-2.95422197039656,9
0.3,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.09426990006407898,0.02410539127156497,9
0.3,reference_k2,random_uniform,hadamard_paired,,not_reached,-0.2282591756927559,-16.649490899682217,9
0.3,reference_k2,random_binary,hadamard_paired,,not_reached,-0.023174982662938604,-16.464171011835603,9
0.3,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.02643074930700884,-11.960217948822152,9
0.3,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.18501317062952438,-2.9852053543113684,9
0.3,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.08114684442553965,0.030769493419263938,9
0.3,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.19259311985704564,-15.195541182956621,9
0.3,reference_k32,random_binary,hadamard_paired,,not_reached,-0.09992050821189657,-14.246381107641913,9
0.3,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.009248083308035504,-9.530465924129953,9
0.3,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.11339004616502102,-2.817601602848125,9
0.3,reference_k32,srht_paired,hadamard_paired,0.03,observed,0.08386734246194294,-0.06626974075782499,9
0.3,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.18865211432884443,-14.66032448235502,9
0.3,reference_k8,random_binary,hadamard_paired,,not_reached,-0.0613607267125893,-14.188915228204149,9
0.3,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.029047875428666714,-9.925926111639278,9
0.3,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.11811940067907223,-2.9636147022311228,9
0.3,reference_k8,srht_paired,hadamard_paired,0.003,observed,0.06907911256429777,-0.008212010567810069,9
0.3,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-0.16636645569558972,-13.669157648663118,9
0.3,scgi_frozen,random_binary,hadamard_paired,,not_reached,-0.011742792775127242,-12.587136815921694,9
0.3,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.035051943041779055,-6.126914514768554,9
0.3,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.1306325851614787,-2.3707973951896406,9
0.3,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,1.766596537995074,0.03731997643093976,9
0.3,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.1718913736409391,-15.473516909095519,9
0.3,scgi_proxy,random_binary,hadamard_paired,,not_reached,-0.01747003597420793,-14.392749110860233,9
0.3,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.047855503813334366,-8.524908927901713,9
0.3,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.12842049981983195,-2.7426789960693014,9
0.3,scgi_proxy,srht_paired,hadamard_paired,0.01,observed,0.21247178830745383,-0.0879146801747801,9
0.5,agc,random_uniform,hadamard_paired,,not_reached,-0.04360033939966179,-9.199406386369368,9
