object,family,K_eff,basis,requested_basis,rho,s,seed,W,num_frames,carrier_mean,carrier_cv,gain_rel_err,theory_variance_cv2_over_w
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,0,4,2048,9.409419059753418,0.09478187561035156,0.04361503825079713,0.002245900986054039
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,0,8,2048,9.409419059753418,0.09478187561035156,0.03335413257740187,0.0011229504930270195
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,0,16,2048,9.409419059753418,0.09478187561035156,0.02674056162062989,0.0005614752465135098
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,0,32,2048,9.409419059753418,0.09478187561035156,0.02623341322662915,0.0002807376232567549
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,0,64,2048,9.409419059753418,0.09478187561035156,0.033445843941905334,0.00014036881162837744
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,0,128,2048,9.409419059753418,0.09478187561035156,0.045809379871898606,7.018440581418872e-05
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,0,256,2048,9.409419059753418,0.09478187561035156,0.06024797910436229,3.509220290709436e-05
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,0,512,2048,9.409419059753418,0.09478187561035156,0.08447168513735438,1.754610145354718e-05
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,0,1024,2048,9.409419059753418,0.09478187561035156,0.09757963356527811,8.77305072677359e-06
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,1,4,2048,9.409419059753418,0.09478187561035156,0.04274941150425228,0.002245900986054039
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,1,8,2048,9.409419059753418,0.09478187561035156,0.032387439794344754,0.0011229504930270195
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,1,16,2048,9.409419059753418,0.09478187561035156,0.026695720857243897,0.0005614752465135098
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,1,32,2048,9.409419059753418,0.09478187561035156,0.028056394195209243,0.0002807376232567549
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,1,64,2048,9.409419059753418,0.09478187561035156,0.036844740822126035,0.00014036881162837744
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,1,128,2048,9.409419059753418,0.09478187561035156,0.050026350386906004,7.018440581418872e-05
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,1,256,2048,9.409419059753418,0.09478187561035156,0.06608025737474632,3.509220290709436e-05
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,1,512,2048,9.409419059753418,0.09478187561035156,0.08056164420233011,1.754610145354718e-05
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,1,1024,2048,9.409419059753418,0.09478187561035156,0.08515507947350053,8.77305072677359e-06
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,2,4,2048,9.409419059753418,0.09478187561035156,0.04345378376832629,0.002245900986054039
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,2,8,2048,9.409419059753418,0.09478187561035156,0.032795248604899484,0.0011229504930270195
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,2,16,2048,9.409419059753418,0.09478187561035156,0.027058938034743414,0.0005614752465135098
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,2,32,2048,9.409419059753418,0.09478187561035156,0.028164531829024883,0.0002807376232567549
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,2,64,2048,9.409419059753418,0.09478187561035156,0.03458412368507697,0.00014036881162837744
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,2,128,2048,9.409419059753418,0.09478187561035156,0.04448126185235323,7.018440581418872e-05
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,2,256,2048,9.409419059753418,0.09478187561035156,0.05090705309901902,3.509220290709436e-05
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,2,512,2048,9.409419059753418,0.09478187561035156,0.061375413443952274,1.754610145354718e-05
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,2,1024,2048,9.409419059753418,0.09478187561035156,0.06440320844011335,8.77305072677359e-06
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,3,4,2048,9.409419059753418,0.09478187561035156,0.04384999611798494,0.002245900986054039
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,3,8,2048,9.409419059753418,0.09478187561035156,0.03332197159137949,0.0011229504930270195
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,3,16,2048,9.409419059753418,0.09478187561035156,0.026326784626845724,0.0005614752465135098
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,3,32,2048,9.409419059753418,0.09478187561035156,0.027898436514790938,0.0002807376232567549
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,3,64,2048,9.409419059753418,0.09478187561035156,0.0349225752171235,0.00014036881162837744
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,3,128,2048,9.409419059753418,0.09478187561035156,0.04672517649020816,7.018440581418872e-05
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,3,256,2048,9.409419059753418,0.09478187561035156,0.06408906119295973,3.509220290709436e-05
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,3,512,2048,9.409419059753418,0.09478187561035156,0.07753596230145164,1.754610145354718e-05
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,3,1024,2048,9.409419059753418,0.09478187561035156,0.08480875517810449,8.77305072677359e-06
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,4,4,2048,9.409419059753418,0.09478187561035156,0.04361261506911168,0.002245900986054039
digit_0,synthetic_digit,37.05977431431953,random_uniform,random_uniform,0.01,0.1,4,8,2048,9.409419059753418,0.09478187561035156,0.032973898068085816,0.0011229504930270195
