basis,N,N_factor,v,rel_mse_raw_total_mean,rel_mse_raw_total_std,rel_mse_raw_gain_component_mean,rel_mse_aligned_total_mean,theory_rel_mse_raw_total_mean,leverage_exact_mean,clean_floor_raw_mean,C0_floor_raw_fix_mean,clean_gain_cross_mean,raw_identity_abs_error_max,measured_over_theory
orthogonal_inverse,1024,1,0.0,3.194768000504167e-13,1.9330887682393923e-13,0.0,3.176545482386456e-13,3.194768000504167e-13,1.0,3.194768000504167e-13,3.271442432516267e-10,0.0,0.0,1.0
orthogonal_inverse,1024,1,0.0001,0.0001053921560298818,6.886066322510435e-05,0.00010539216529365181,8.105303899660172e-05,0.0001000000003194768,1.0,3.194768000504167e-13,3.271442432516267e-10,-9.561932899219891e-12,8.232163934837673e-13,1.053921556931783
orthogonal_inverse,1024,1,0.0003,0.00027391930192766935,0.00015334938759861173,0.0002739192464444847,0.00023245355005586962,0.0003000000003194768,1.0,3.194768000504167e-13,3.271442432516267e-10,5.516812808057534e-11,7.637207352049163e-12,0.913064338786555
orthogonal_inverse,1024,1,0.001,0.0011581421980670522,0.0006804489761360237,0.0011581421436873656,0.0009345435320928124,0.0010000000003194769,1.0,3.194768000504167e-13,3.271442432516267e-10,5.381147122273338e-11,1.0716293201425292e-11,1.1581421976970525
orthogonal_inverse,1024,1,0.003,0.002887412874059727,0.0012839163867007198,0.0028874129657521816,0.002540934532792384,0.0030000000003194767,1.0,3.194768000504167e-13,3.271442432516267e-10,-9.251356590065159e-11,3.6515858058820885e-11,0.9624709579174133
orthogonal_inverse,1024,1,0.01,0.01056631672462575,0.0054713187565447905,0.010566316682362104,0.00840655329615406,0.010000000000319477,1.0,3.194768000504167e-13,3.271442432516267e-10,4.1912651240767854e-11,5.813833671940171e-11,1.0566316724288178
orthogonal_inverse,2048,1,0.0,8.304035467588196e-13,4.2693724237371825e-13,0.0,8.246102142735073e-13,8.304035467588196e-13,1.0,8.304035467588196e-13,1.7006664637620625e-09,0.0,0.0,1.0
orthogonal_inverse,2048,1,0.0001,9.859356080931063e-05,5.2557593733964797e-05,9.859364981549347e-05,7.940695270705546e-05,0.00010000000083040355,1.0,8.304035467588196e-13,1.7006664637620625e-09,-8.986927145747327e-11,1.3012467475039587e-12,0.9859355999058621
orthogonal_inverse,2048,1,0.0003,0.00034904396190202315,0.0002170784893260042,0.0003490440510380562,0.00027823814441166935,0.00030000000083040354,1.0,8.304035467588196e-13,1.7006664637620625e-09,-8.997522365962283e-11,2.4312472602050817e-12,1.1634798697862179
orthogonal_inverse,2048,1,0.001,0.0009325062977474561,0.00048519603737406697,0.0009325062572412905,0.0007665234607470499,0.0010000000008304035,1.0,8.304035467588196e-13,1.7006664637620625e-09,3.961869748843396e-11,6.287494434505102e-12,0.9325062969730996
orthogonal_inverse,2048,1,0.003,0.002858546739333737,0.0012276231717606454,0.0028585472797731807,0.0024501894402880605,0.0030000000008304035,1.0,8.304035467588196e-13,1.7006664637620625e-09,-5.410073846995838e-10,1.506626590752119e-11,0.952848912847496
orthogonal_inverse,2048,1,0.01,0.00975701079448306,0.0046367109762865365,0.00975701079521249,0.008215071002734508,0.010000000000830404,1.0,8.304035467588196e-13,1.7006664637620625e-09,-1.0359044265628774e-12,6.845482769177309e-11,0.9757010793672833
orthogonal_inverse,4096,1,0.0,1.3974329953649245e-13,1.0953281445228167e-13,0.0,1.3850179600741842e-13,1.3974329953649245e-13,1.0,1.3974329953649245e-13,5.723885549014731e-10,0.0,0.0,1.0
orthogonal_inverse,4096,1,0.0001,0.00010354440128408324,4.853136043359217e-05,0.00010354434093670585,8.467200377363397e-05,0.00010000000013974331,1.0,1.3974329953649245e-13,5.723885549014731e-10,6.020774497396553e-11,4.633850434836441e-14,1.0354440113938688
orthogonal_inverse,4096,1,0.0003,0.00029889386888427616,0.00015055575931384197,0.0002988938654745576,0.00025343866799245723,0.0003000000001397432,1.0,1.3974329953649245e-13,5.723885549014731e-10,3.266883749154482e-12,2.2381727001889384e-13,0.9963128958168272
orthogonal_inverse,4096,1,0.001,0.0009848841036436623,0.0004751353701552624,0.000984884047782394,0.0008428570187536363,0.0010000000001397433,1.0,1.3974329953649245e-13,5.723885549014731e-10,5.5699043125505525e-11,1.1930003417523563e-12,0.9848841035060314
orthogonal_inverse,4096,1,0.003,0.003373434347866793,0.001783526658400978,0.0033734340500870155,0.0027315519757673988,0.0030000000001397433,1.0,1.3974329953649245e-13,5.723885549014731e-10,2.977413731282854e-10,5.930079652014778e-12,1.1244781159032182
orthogonal_inverse,4096,1,0.01,0.009485024001732043,0.0049669703423085585,0.009485023732569943,0.008216013750774121,0.010000000000139743,1.0,1.3974329953649245e-13,5.723885549014731e-10,2.6871262775983606e-10,2.6569677863780905e-11,0.9485024001599497
random_dgi,1024,1,0.0,0.9859445763993236,0.055761753319564164,0.0,0.487373389911475,0.9859445763993236,735.7230428835808,0.9859445763993236,1009.6072462329074,0.0,0.0,1.0
random_dgi,1024,1,0.0001,1.0653636308160426,0.07440227255095501,0.07669326150706159,0.5064688213392483,1.059516880687682,735.7230428835808,0.9859445763993236,1009.6072462329074,0.0027257929280815316,1.1656519291469714e-09,1.005518317107478
random_dgi,1024,1,0.0003,1.2023249721779266,0.1954130757295509,0.21304488220055043,0.5331809153711199,1.206661489264398,735.7230428835808,0.9859445763993236,1009.6072462329074,0.0033355134208507037,4.5083991225599446e-09,0.9964061858897021
random_dgi,1024,1,0.001,1.7148656030492953,0.6850720555557267,0.7313614765714247,0.607463800882256,1.7216676192829046,735.7230428835808,0.9859445763993236,1009.6072462329074,-0.0024404499873694288,9.22461878063996e-09,0.996049169910948
random_dgi,1024,1,0.003,3.1393511814409405,2.1082195118146663,2.1701607701632883,0.7090285960186721,3.193113705050066,735.7230428835808,0.9859445763993236,1009.6072462329074,-0.016754164497552286,2.923584992153838e-08,0.9831629786549418
random_dgi,1024,1,0.01,8.424506496399875,7.283221259674154,7.415447114415829,0.8438966949002293,8.343175005235132,735.7230428835808,0.9859445763993236,1009.6072462329074,0.023114806318423494,2.277630428062366e-07,1.009748266231226
random_dgi,2048,2,0.0,0.49280950136303764,0.016804751297379177,0.0,0.3279453830253369,0.49280950136303764,368.37259188577735,0.49280950136303764,1009.2738587915011,0.0,0.0,1.0
random_dgi,2048,2,0.0001,0.5296885579737741,0.0326218541217376,0.03617753754001227,0.343543403178881,0.5296467605516154,368.37259188577735,0.49280950136303764,1009.2738587915011,0.0007015190888203002,8.328813064575891e-10,1.0000789156571357
random_dgi,2048,2,0.0003,0.5923988382178802,0.09467786941087683,0.10956083804635754,0.36974754829640394,0.6033212789287709,368.37259188577735,0.49280950136303764,1009.2738587915011,-0.009971501194611201,2.024675815892607e-09,0.9818961453998705
random_dgi,2048,2,0.001,0.854132076804523,0.347882786082613,0.3635651659057295,0.44261338721593185,0.8611820932488151,368.37259188577735,0.49280950136303764,1009.2738587915011,-0.0022425901967693964,9.91824554430476e-09,0.9918135589446642
random_dgi,2048,2,0.003,1.590395214370689,1.074889529361153,1.1000921462527253,0.567967839980747,1.5979272770203696,368.37259188577735,0.49280950136303764,1009.2738587915011,-0.0025064334574613355,2.6117596974017943e-08,0.9952863545431645
random_dgi,2048,2,0.01,4.123095691110007,3.5701528031489014,3.6450309041858424,0.7398345199308125,4.176535420220811,368.37259188577735,0.49280950136303764,1009.2738587915011,-0.014744714137624463,6.576334249386306e-08,0.987204770525332
random_dgi,4096,4,0.0,0.25880898203270947,0.013786109233033673,0.0,0.20137358242711256,0.25880898203270947,183.7666247048861,0.25880898203270947,1060.081590405978,0.0,0.0,1.0
random_dgi,4096,4,0.0001,0.2770670868699765,0.019037162247763615,0.018360577846383504,0.21246061744385095,0.2771856445031981,183.7666247048861,0.25880898203270947,1060.081590405978,-0.00010247299774192904,2.2118748846389202e-10,0.9995722807599431
random_dgi,4096,4,0.0003,0.31217918566842684,0.05029831377397101,0.055231021457539706,0.23335050027138105,0.3139389694441753,183.7666247048861,0.25880898203270947,1060.081590405978,-0.001860817803068789,1.035826095036052e-09,0.9943945035595162
