rho,sigma_a,srht_best_correction,srht_best_psnr,srht_best_rel_mse,ordered_best_correction,ordered_best_psnr,ordered_best_rel_mse,best_random_variant,best_random_correction,best_random_psnr,best_random_rel_mse,srht_minus_ordered_db,srht_minus_best_random_db,srht_gap_to_best_srht_ablation_db,best_srht_ablation,min_recon_rel_mse,above_floor,above_floor_rel_mse
1.0,0.3,pairwise,11.032951991081982,0.8949636246668861,pairwise,11.042370926878345,0.8928407997711786,random_binary,none,10.84290608722395,0.9346793788825231,-0.009418935796363215,0.19004590385803155,-0.0133614693862949,sign_only,0.8928407997711786,False,0.5
1.0,0.5,pairwise,10.730486215794256,0.9591986840413163,pairwise,10.738452008285238,0.9573622358308832,random_binary,none,10.648598674025422,0.9773456160190197,-0.007965792490981727,0.08188754176883428,-0.007975238882668378,sign_only,0.9573622358308832,False,0.5
10.0,0.3,pairwise,10.865347869063646,0.9299727372899547,pairwise,10.86846302098062,0.9291910945028047,random_binary,none,10.84531787545113,0.9341781281796467,-0.0031151519169743125,0.020029993612515895,-0.01423576847830077,sign_only,0.9291910945028047,False,0.5
10.0,0.5,pairwise,10.66660441872605,0.9733480938597904,pairwise,10.670173538774591,0.9725003763560929,random_binary,none,10.650333893675768,0.9769600433106287,-0.003569120048540597,0.016270525050282814,-0.008508278862832341,sign_only,0.9725003763560929,False,0.5
