object,source,source_config,steps,postprocess_method,target_free_threshold,threshold,cnr,psnr,ssim,hits_apl_min,min,max,mean,note,foreground_fraction,target_foreground_fraction,iou,false_positive_pixels,false_negative_pixels
letter_L,best_trace_regen,nlm_allobjects/cfg0000,40,minmax_otsu_binary,True,0.642578125,70.55021667480469,31.352386474609375,0.9943479299545288,True,0.0,1.0,0.088623046875,Otsu threshold after min-max scaling.,0.088623046875,0.087890625,0.9917355371900827,12,0
letter_L,best_trace_regen,nlm_allobjects/cfg0000,40,raw_mean_binary,True,0.681367039680481,11.260589599609375,15.545038223266602,0.8183788657188416,True,0.0,1.0,0.11578369140625,Simple target-free mean threshold.,0.11578369140625,0.087890625,0.7590933052187665,457,0
letter_L,best_trace_regen,nlm_allobjects/cfg0000,40,raw_mean_plus_std_binary,True,0.7830311059951782,48.85734176635742,28.164798736572266,0.989942729473114,True,0.0,1.0,0.08941650390625,Simple target-free mean plus one standard deviation threshold.,0.08941650390625,0.087890625,0.9829351535836177,25,0
letter_L,best_trace_regen,nlm_allobjects/cfg0000,40,target_fraction_upper_bound,False,0.8743648721138015,33.38899230957031,34.36268615722656,0.9964852333068848,True,0.0,1.0,0.087890625,Upper bound using the true target foreground fraction; not deployable.,0.087890625,0.087890625,0.9958419958419958,3,3
ring,best_final,nlm_allobjects/cfg0001,200,continuous,True,,7.841537952423096,11.40443229675293,0.07432540506124496,False,0.10028734803199768,0.44726401567459106,0.18846502900123596,Continuous URED output.,,0.131103515625,,,
ring,best_final,nlm_allobjects/cfg0001,200,minmax_continuous,True,,7.8415398597717285,14.659158706665039,0.15138547122478485,False,0.0,1.0,0.2541314363479614,Linear display scaling only.,,0.131103515625,,,
ring,best_final,nlm_allobjects/cfg0001,200,raw_otsu_binary,True,0.2703872323036194,9.206984519958496,21.388731002807617,0.9586455225944519,False,0.0,1.0,0.13323974609375,Otsu threshold from reconstruction histogram only.,0.13323974609375,0.131103515625,0.9465168539325842,77,42
ring,best_final,nlm_allobjects/cfg0001,200,minmax_otsu_binary,True,0.490234375,9.206984519958496,21.388731002807617,0.9586455225944519,False,0.0,1.0,0.13323974609375,Otsu threshold after min-max scaling.,0.13323974609375,0.131103515625,0.9465168539325842,77,42
ring,best_final,nlm_allobjects/cfg0001,200,raw_mean_binary,True,0.18846502900123596,6.884482383728027,12.366963386535645,0.4598042666912079,False,0.0,1.0,0.18896484375,Simple target-free mean threshold.,0.18896484375,0.131103515625,0.6932515337423313,949,1
ring,best_final,nlm_allobjects/cfg0001,200,raw_mean_plus_std_binary,True,0.2680702209472656,9.331894874572754,21.31634521484375,0.9577261805534363,False,0.0,1.0,0.13372802734375,Simple target-free mean plus one standard deviation threshold.,0.13372802734375,0.131103515625,0.9457399103139014,82,39
