sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points,rho_lower_bound,rho_upper_bound,rho_interval_midpoint,interval_kind,rho_grid_min,rho_grid_max
0.05,agc,random_uniform,hadamard_paired,,not_reached,-2.459595960205624,-10.074254069354078,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,agc,random_binary,hadamard_paired,,not_reached,-1.3548164354726635,-9.836160325673085,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.2976643571179131,-2.6417349714677663,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,agc,dct_paired,hadamard_paired,,not_reached,-0.9433456407839316,-2.3935440664135506,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,agc,srht_paired,hadamard_paired,0.001,left_censored,18.68897758964188,1.066900759400836,9,,0.001,0.001,upper_bound,0.001,10.0
0.05,none,random_uniform,hadamard_paired,,not_reached,-3.4065707782105346,-26.325981236154437,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,none,random_binary,hadamard_paired,,not_reached,-2.2778772416911157,-25.63959839160127,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,none,fourier_fourstep,hadamard_paired,,not_reached,-1.1528995929829762,-20.115329430755374,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,none,dct_paired,hadamard_paired,,not_reached,-0.294595999892131,-2.683793066192923,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,none,srht_paired,hadamard_paired,0.1,observed,0.1022914004560711,-0.2122909077921377,9,0.03,0.1,0.05477225575051661,closed_interval,0.001,10.0
0.05,pairwise,dct_paired,hadamard_paired,,not_reached,-1.9125497841737025,-3.0157757612745897,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.0909441184296184,0.0113713314092578,9,,0.001,0.001,upper_bound,0.001,10.0
0.05,reference_k2,random_uniform,hadamard_paired,,not_reached,-4.019362787209692,-32.28007830917282,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,reference_k2,random_binary,hadamard_paired,,not_reached,-2.920439649305571,-32.38768497618677,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-1.1719241849772803,-27.525762399658937,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,reference_k2,dct_paired,hadamard_paired,,not_reached,-2.1293781124605395,-3.0081433645239315,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.0787464367677017,0.0132735228188352,9,,0.001,0.001,upper_bound,0.001,10.0
0.05,reference_k32,random_uniform,hadamard_paired,,not_reached,-3.9807169702070695,-29.297033697191992,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,reference_k32,random_binary,hadamard_paired,,not_reached,-2.7964325509836154,-29.36078151538331,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-1.140761327495209,-24.48990630283757,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,reference_k32,dct_paired,hadamard_paired,,not_reached,-1.881363544310462,-2.9241552446933383,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,reference_k32,srht_paired,hadamard_paired,1.0,observed,0.0741554627431391,-0.1248498388797401,9,0.3,1.0,0.5477225575051661,closed_interval,0.001,10.0
0.05,reference_k8,random_uniform,hadamard_paired,,not_reached,-3.840479597754237,-29.801148467237045,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,reference_k8,random_binary,hadamard_paired,,not_reached,-2.670561683450101,-29.897231696557743,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-1.2091644366113383,-25.041433128006,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,reference_k8,dct_paired,hadamard_paired,,not_reached,-1.906296983758395,-3.0123668207597163,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,reference_k8,srht_paired,hadamard_paired,0.3,observed,0.0917147899502666,-0.0356219954847532,9,0.1,0.3,0.17320508075688773,closed_interval,0.001,10.0
0.05,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-2.203640104758984,-26.20675980314325,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,scgi_frozen,random_binary,hadamard_paired,,not_reached,-2.138484805583504,-25.57534862053764,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-1.3078751734585552,-20.11533032020124,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.2945963592228864,-2.6837926649440007,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,1.205363842739045,-0.1516193953980078,9,,0.001,0.001,upper_bound,0.001,10.0
0.05,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-3.4337028447908367,-29.057947099193875,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,scgi_proxy,random_binary,hadamard_paired,,not_reached,-2.330011276757636,-29.12921966489824,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-1.298973041233296,-23.18518307536688,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-1.8978846961392328,-2.8076462512475686,9,10.0,,10.0,lower_bound,0.001,10.0
0.05,scgi_proxy,srht_paired,hadamard_paired,0.1,observed,0.0930563597662974,-0.129810970133839,9,0.03,0.1,0.05477225575051661,closed_interval,0.001,10.0
0.1,agc,random_uniform,hadamard_paired,,not_reached,-0.920413760831334,-10.127400976698372,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,agc,random_binary,hadamard_paired,,not_reached,-0.0618698707395299,-9.784275776149306,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.4390665640163469,-2.798189330699813,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,agc,dct_paired,hadamard_paired,,not_reached,-0.8244197611536404,-2.2721662275821157,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,agc,srht_paired,hadamard_paired,0.001,left_censored,13.239969335824163,0.5210715754244131,9,,0.001,0.001,upper_bound,0.001,10.0
0.1,none,random_uniform,hadamard_paired,,not_reached,-1.3228173882445269,-21.772910949039545,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,none,random_binary,hadamard_paired,,not_reached,-0.4387291896838814,-20.600914639831288,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,none,fourier_fourstep,hadamard_paired,,not_reached,-0.3320696239485858,-14.01015028241802,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,none,dct_paired,hadamard_paired,,not_reached,-0.3522589202679214,-2.327973866053977,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,none,srht_paired,hadamard_paired,0.1,observed,0.128181228863168,-0.1825247307646051,9,0.03,0.1,0.05477225575051661,closed_interval,0.001,10.0
0.1,pairwise,dct_paired,hadamard_paired,,not_reached,-0.9227320191125604,-3.0099475931132886,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.1097536010593174,0.014429120095329,9,,0.001,0.001,upper_bound,0.001,10.0
0.1,reference_k2,random_uniform,hadamard_paired,,not_reached,-1.6805926355092922,-26.271275122916705,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,reference_k2,random_binary,hadamard_paired,,not_reached,-0.6330064872347769,-26.37357972350521,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.2371576320198585,-21.53189686541928,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,reference_k2,dct_paired,hadamard_paired,,not_reached,-1.1361752613669598,-3.007882720051967,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.0901035548936093,0.0147112439803862,9,,0.001,0.001,upper_bound,0.001,10.0
0.1,reference_k32,random_uniform,hadamard_paired,,not_reached,-1.6157242553926086,-23.48768057003112,9,10.0,,10.0,lower_bound,0.001,10.0
0.1,reference_k32,random_binary,hadamard_paired,,not_reached,-0.905986213809733,-23.422050594663027,9,10.0,,10.0,lower_bound,0.001,10.0
