correction,challenger,baseline,observed_points,left_censored_points,not_reached_points,lower_bound_points,upper_bound_points,closed_interval_points,min_observed_midpoint,max_observed_midpoint
agc,dct_paired,hadamard_paired,0,0,5,5,0,0,10.0,10.0
agc,fourier_fourstep,hadamard_paired,0,0,5,5,0,0,10.0,10.0
agc,random_binary,hadamard_paired,3,0,2,2,0,3,1.7320508075688772,10.0
agc,random_uniform,hadamard_paired,0,0,5,5,0,0,10.0,10.0
agc,srht_paired,hadamard_paired,0,5,0,0,5,0,0.001,0.001
none,dct_paired,hadamard_paired,0,0,5,5,0,0,10.0,10.0
none,fourier_fourstep,hadamard_paired,1,0,4,4,0,1,1.7320508075688772,10.0
none,random_binary,hadamard_paired,2,0,3,3,0,2,1.7320508075688772,10.0
none,random_uniform,hadamard_paired,0,0,5,5,0,0,10.0,10.0
none,srht_paired,hadamard_paired,3,2,0,0,2,3,0.001,0.05477225575051661
pairwise,dct_paired,hadamard_paired,0,0,5,5,0,0,10.0,10.0
pairwise,srht_paired,hadamard_paired,0,5,0,0,5,0,0.001,0.001
reference_k2,dct_paired,hadamard_paired,0,0,5,5,0,0,10.0,10.0
reference_k2,fourier_fourstep,hadamard_paired,0,0,5,5,0,0,10.0,10.0
reference_k2,random_binary,hadamard_paired,1,0,4,4,0,1,0.5477225575051661,10.0
reference_k2,random_uniform,hadamard_paired,0,0,5,5,0,0,10.0,10.0
reference_k2,srht_paired,hadamard_paired,0,5,0,0,5,0,0.001,0.001
reference_k32,dct_paired,hadamard_paired,0,0,5,5,0,0,10.0,10.0
reference_k32,fourier_fourstep,hadamard_paired,1,0,4,4,0,1,1.7320508075688772,10.0
reference_k32,random_binary,hadamard_paired,0,0,5,5,0,0,10.0,10.0
reference_k32,random_uniform,hadamard_paired,0,0,5,5,0,0,10.0,10.0
reference_k32,srht_paired,hadamard_paired,5,0,0,0,0,5,0.017320508075688773,0.5477225575051661
reference_k8,dct_paired,hadamard_paired,0,0,5,5,0,0,10.0,10.0
reference_k8,fourier_fourstep,hadamard_paired,0,0,5,5,0,0,10.0,10.0
reference_k8,random_binary,hadamard_paired,0,0,5,5,0,0,10.0,10.0
reference_k8,random_uniform,hadamard_paired,0,0,5,5,0,0,10.0,10.0
reference_k8,srht_paired,hadamard_paired,5,0,0,0,0,5,0.0017320508075688774,0.17320508075688773
scgi_frozen,dct_paired,hadamard_paired,0,0,5,5,0,0,10.0,10.0
scgi_frozen,fourier_fourstep,hadamard_paired,0,0,5,5,0,0,10.0,10.0
scgi_frozen,random_binary,hadamard_paired,1,0,4,4,0,1,1.7320508075688772,10.0
scgi_frozen,random_uniform,hadamard_paired,0,0,5,5,0,0,10.0,10.0
scgi_frozen,srht_paired,hadamard_paired,0,5,0,0,5,0,0.001,0.001
scgi_proxy,dct_paired,hadamard_paired,0,0,5,5,0,0,10.0,10.0
scgi_proxy,fourier_fourstep,hadamard_paired,0,0,5,5,0,0,10.0,10.0
scgi_proxy,random_binary,hadamard_paired,1,0,4,4,0,1,1.7320508075688772,10.0
scgi_proxy,random_uniform,hadamard_paired,0,0,5,5,0,0,10.0,10.0
scgi_proxy,srht_paired,hadamard_paired,5,0,0,0,0,5,0.0017320508075688774,0.05477225575051661
