image_size,num_pixels,num_frames,basis,sigma_delta,delta_recon_rel_mse_mean,delta_recon_rel_mse_std,rel_mse_mean,rel_mse_std,psnr_mean,psnr_std
64,4096,8192,random_binary,0.1,3.050955749379017,0.9805830730818634,0.8187696193208017,0.04233469356672074,13.668296222309271,2.0247194631422123
16,256,512,random_uniform,0.01,0.009441568732781748,0.0017128151211042604,0.3437268330718744,0.023684798876948143,13.622790277843245,1.1378688071029563
16,256,512,random_uniform,0.02,0.037956121504119145,0.007847813605834515,0.3620749114818257,0.021405410847781102,13.394224804130342,1.1719449374930342
16,256,512,random_uniform,0.05,0.24302942740493894,0.04464787463451389,0.4662060519050065,0.0222950473691559,12.293791118504474,1.3804636347629944
16,256,512,random_uniform,0.1,0.943694307027924,0.1777590399595891,0.6504180461334853,0.03354546382331322,10.84832564284757,1.3487912670359337
32,1024,2048,random_uniform,0.01,0.029574001371968396,0.005140977162500138,0.3467544469634674,0.01565732153673294,14.893445989727798,1.1866472503854615
32,1024,2048,random_uniform,0.02,0.11896981531716806,0.017234913033749882,0.397285026094805,0.01998418691738878,14.303658413488781,1.1661967940211235
32,1024,2048,random_uniform,0.05,0.750265030054627,0.1105798261594152,0.6171011744739978,0.033836567539167174,12.392167654083655,1.1278340772828268
32,1024,2048,random_uniform,0.1,2.938344734193844,0.4066903778562681,0.8318997343223481,0.02759292277641672,11.091185877506321,1.045113453934247
64,4096,8192,random_uniform,0.01,0.0898678958460175,0.02655898074904128,0.38567188092098703,0.015397005229268285,16.93551170907642,1.9857406364451542
64,4096,8192,random_uniform,0.02,0.3595772177174051,0.10492988158571828,0.5051707596016133,0.03517806842752936,15.769972015900944,2.1014978056621945
64,4096,8192,random_uniform,0.05,2.259361885569024,0.6690878021530953,0.7874723304438214,0.04526164366370892,13.83886911545695,2.0525921417954818
64,4096,8192,random_uniform,0.1,9.113924782627034,2.7404647286293113,0.9321589911361284,0.016887191132821035,13.100208835477122,1.8972831781464645
16,256,512,srht_paired,0.01,0.005189320813387319,0.0009622163419848649,0.00514746311519349,0.0009669403072800698,31.92766176821022,1.9918465200980773
16,256,512,srht_paired,0.02,0.020652042264071573,0.0032459244346491403,0.020050919398647414,0.0028722072124452436,25.993779781293874,1.755973283139077
16,256,512,srht_paired,0.05,0.13241126648930118,0.021192191946084935,0.11741128196399124,0.01756450532738214,18.3211171224397,1.7456759634511934
16,256,512,srht_paired,0.1,0.5279435034835296,0.11663663211960631,0.34367061128465776,0.04560777115879449,13.649722533199915,1.725316359221591
32,1024,2048,srht_paired,0.01,0.015271720365539842,0.0018621582576546004,0.015046709009945453,0.0018104858967924143,28.547431103990668,1.2602891684175637
32,1024,2048,srht_paired,0.02,0.06216560772998603,0.007677560183210575,0.0584191252621741,0.006696028354888666,22.65242640549969,1.2699403783339633
32,1024,2048,srht_paired,0.05,0.38712793793665645,0.04744919711392307,0.27707936696247204,0.026683505999358287,15.88362486642842,1.1327663564290367
32,1024,2048,srht_paired,0.1,1.5070442753378432,0.18008722090014284,0.597789243922156,0.03900906885755473,12.533130852157623,1.0817841459332278
64,4096,8192,srht_paired,0.01,0.046098482358947326,0.014038184779567045,0.043894371826964616,0.012715298659111989,26.53742617758425,2.9814563770793225
64,4096,8192,srht_paired,0.02,0.186468339067776,0.05710671586279084,0.15460370156521092,0.039600798872276674,21.03303707692058,2.8416706077154794
64,4096,8192,srht_paired,0.05,1.159470179161979,0.3506921789641164,0.5291062303053444,0.07825029410148196,15.603211481899493,2.413016089700337
64,4096,8192,srht_paired,0.1,4.60952514573051,1.404862582178335,0.8151224899493389,0.045732652962576885,13.688676616808237,2.0452028992136517
