image_size,num_pixels,num_frames,basis,sigma_delta,delta_recon_rel_mse_mean,delta_recon_rel_mse_std,rel_mse_mean,rel_mse_std,psnr_mean,psnr_std
16,256,512,dct_paired,0.01,0.010361928982031865,0.0019173761384646876,0.010210879967321505,0.0018609492952179837,28.949072213073055,1.9655649441113288
16,256,512,dct_paired,0.02,0.04078465672043818,0.00653419024206463,0.03901127219237234,0.005913166577425815,23.10711087012723,1.7878491385144446
16,256,512,dct_paired,0.05,0.2634896150360423,0.04284779641969362,0.2036371990362492,0.02934480100732223,15.927086848276625,1.7228347827781418
16,256,512,dct_paired,0.1,1.0538606574341782,0.23596523712676834,0.5073889984490764,0.07154498293122642,11.962619940623986,1.8025092323905947
32,1024,2048,dct_paired,0.01,0.03044260984586005,0.0036936208616278094,0.02952405785029763,0.0034233674175604967,25.61754213338253,1.248104856783138
32,1024,2048,dct_paired,0.02,0.12392838178084717,0.015398078921348058,0.10987056931869336,0.012559368770181262,19.908357137769286,1.2795358065247098
32,1024,2048,dct_paired,0.05,0.772486333675682,0.09383920061991656,0.43695450494196864,0.04160362407705421,13.904926591685534,1.1594416399662546
32,1024,2048,dct_paired,0.1,3.0047248093201273,0.35847820835014255,0.7540395551285668,0.032665221274275236,11.519547821248933,1.0452519712948771
64,4096,8192,dct_paired,0.01,0.09214582438863142,0.02807123483615333,0.08374239642618872,0.02336476920451045,23.71886633162412,2.9382986437708225
64,4096,8192,dct_paired,0.02,0.3729474745866208,0.11423927105254551,0.26734269097847047,0.059946725964953755,18.625126406396085,2.725422465068914
64,4096,8192,dct_paired,0.05,2.316595941295291,0.700535608599483,0.6878276545530677,0.060869541851693916,14.435722724623933,2.181353536149151
64,4096,8192,dct_paired,0.1,9.213502808127142,2.8093069858242,0.8947055886020626,0.028545060255203737,13.279728808502384,1.9466836605020243
16,256,512,fourier_fourstep,0.01,0.004817842768937005,0.00043495149212310197,0.1141383774144121,0.006339131267896352,18.406977866106978,1.165805324399674
16,256,512,fourier_fourstep,0.02,0.018227554614279204,0.0016345278079044154,0.12550435089606393,0.006915888280624843,17.994643364777698,1.149376364077812
16,256,512,fourier_fourstep,0.05,0.1189892113800547,0.010348867704204134,0.20809984031489193,0.011573988658289378,15.798458695167676,1.4344374523275154
16,256,512,fourier_fourstep,0.1,0.4768308996506024,0.05607148586069023,0.39614228294006076,0.032783294280363175,13.010729966625977,1.5048686822874446
32,1024,2048,fourier_fourstep,0.01,0.016074050282178225,0.0012432806842384912,0.12451483664210941,0.00530832338308065,19.341217218167877,1.0723232208324915
32,1024,2048,fourier_fourstep,0.02,0.06498809835347033,0.004662284705966704,0.1638615642807651,0.007814370143636751,18.149658338887768,1.0666865300971284
32,1024,2048,fourier_fourstep,0.05,0.40679348654823694,0.027099777084846458,0.3716201666086175,0.01566272279259485,14.59225957280483,1.0426350633800707
32,1024,2048,fourier_fourstep,0.1,1.5947170540630067,0.11264427102644027,0.6632990935980793,0.033273109012092766,12.077672531852258,1.046854103466963
64,4096,8192,fourier_fourstep,0.01,0.05369666146039855,0.009040871009397681,0.14666472468136896,0.015623706224100918,21.154540831339144,2.2353685478757943
64,4096,8192,fourier_fourstep,0.02,0.21716879595870794,0.03912912435500935,0.25915085956746414,0.030713801450951404,18.687880676863003,2.3076987422956194
64,4096,8192,fourier_fourstep,0.05,1.3528276838309028,0.25533812270185846,0.6136768001705368,0.04521962010641726,14.926264093161723,2.106970104333339
64,4096,8192,fourier_fourstep,0.1,5.439183957453351,0.9718420775830757,0.8563662336369899,0.026276905530726282,13.469769893993767,1.9390049758991073
16,256,512,hadamard_paired,0.01,0.005214815404456107,0.0009462367198806836,0.005145508017748803,0.0009409964470690695,31.925703549706924,1.9709846729356366
16,256,512,hadamard_paired,0.02,0.020580322069243512,0.003237100523059932,0.020137203705246402,0.0031533606421504734,25.98107444290158,1.769150822995164
16,256,512,hadamard_paired,0.05,0.13249359653468182,0.022033785377468293,0.11501269854481873,0.018481949405862754,18.417206628129406,1.7897681431466816
16,256,512,hadamard_paired,0.1,0.5297651400210102,0.118457042503996,0.34234499485199593,0.050921032863415414,13.674863254773049,1.793174359758032
32,1024,2048,hadamard_paired,0.01,0.0152712784948486,0.0018445918387241511,0.015014899393913091,0.0017907078957720777,28.555984899449463,1.2557568966435768
32,1024,2048,hadamard_paired,0.02,0.06214492864383776,0.007641250370607187,0.05858701049182876,0.006649299594842462,22.639487774613762,1.2619993758918857
32,1024,2048,hadamard_paired,0.05,0.38717634408205137,0.0470223592342641,0.2779639460850646,0.02773000820112109,15.87125494759643,1.1632047692405325
32,1024,2048,hadamard_paired,0.1,1.5057175484618701,0.1810883594521665,0.6025813101239512,0.04330457833305789,12.500512122888768,1.0319116305944567
64,4096,8192,hadamard_paired,0.01,0.04610479920952572,0.014048918780452743,0.043948141310725455,0.012671870368450088,26.53030989302015,2.976071972574423
64,4096,8192,hadamard_paired,0.02,0.18663233805876672,0.05713155837633576,0.15613332524284346,0.03994076797838312,20.99059543445969,2.849750889292742
64,4096,8192,hadamard_paired,0.05,1.1595158870093105,0.35049349145185743,0.5250977269015751,0.07385880519181652,15.632056888672466,2.386031942006716
64,4096,8192,hadamard_paired,0.1,4.607917082699038,1.4031166649662696,0.8122354259433511,0.04152336529464225,13.70298680486565,2.028513895836173
16,256,512,random_binary,0.01,0.0037973193352505304,0.0009589105414275458,0.3680452918757409,0.025222489199385762,13.325833556019228,1.5305223432504798
16,256,512,random_binary,0.02,0.015277376536170246,0.004414897154763642,0.37473439226533556,0.026637942930738692,13.248279447778003,1.5420483272896441
16,256,512,random_binary,0.05,0.09585544306320384,0.02662968169225183,0.42343402224039306,0.03545413872543231,12.721720854636349,1.621882855544658
16,256,512,random_binary,0.1,0.3857715233982306,0.12316791247460607,0.5366003047650839,0.05760355892871126,11.70164075785527,1.6964432406480836
32,1024,2048,random_binary,0.01,0.010442125938659775,0.0016340512923802696,0.34239300254826144,0.013674208076240832,14.947572301418267,1.0031857605566992
32,1024,2048,random_binary,0.02,0.04180777859818641,0.006512782557362311,0.3619338172550884,0.014896837620936522,14.706731110719923,1.0114245806244249
32,1024,2048,random_binary,0.05,0.2644574530953035,0.047852394332728185,0.4714945811114215,0.025838276056895305,13.561146506878021,1.099408839963573
32,1024,2048,random_binary,0.1,1.0312636955882286,0.17002235374013047,0.6700789903731328,0.03988336112828439,12.035739450006513,1.1463282283291825
64,4096,8192,random_binary,0.01,0.030345678222401175,0.009589610579362742,0.34866178259486513,0.0057662063207615044,17.37094845938061,1.8721735003852877
64,4096,8192,random_binary,0.02,0.12249977019491116,0.03846481150593545,0.4026658795721219,0.019022243369585367,16.74954137179936,2.011488325030339
64,4096,8192,random_binary,0.05,0.7647791950963283,0.24407826989343245,0.6142736682275303,0.047681945184494826,14.923054683845843,2.1235883466347216
