basis,law,fit_status,n,intercept,intercept_se,r2,rmse_log10,sigma_delta_exponent,sigma_delta_exponent_se,num_frames_exponent,num_frames_exponent_se,bootstrap_iterations,intercept_ci_low,intercept_ci_high,sigma_delta_exponent_ci_low,sigma_delta_exponent_ci_high,num_frames_exponent_ci_low,num_frames_exponent_ci_high
dct_paired,delta_rel_mse ~ sigma_delta^a * num_frames^b,ok,12,-0.11741289995902948,0.014666440545239096,0.999957182958321,0.0055917871826440535,2.0016726279783597,0.004898389323218903,0.7881096426060021,0.0037917111099128233,200,-0.16948821015365415,-0.09198481593738697,1.989249745598521,2.011696018693675,0.7776724458387498,0.7983910258882511
fourier_fourstep,delta_rel_mse ~ sigma_delta^a * num_frames^b,ok,12,-0.7050291446274155,0.01607505901450085,0.999951023060985,0.006128842828651525,2.0014011087497243,0.0053688485085295855,0.8794945666936993,0.004155880881238965,200,-0.7488853939110015,-0.6877663788451206,1.9913888264937296,2.012582028412224,0.8734521111419166,0.8923910246877207
hadamard_paired,delta_rel_mse ~ sigma_delta^a * num_frames^b,ok,12,-0.4106294409147005,0.014521342410355232,0.9999579614912371,0.005536466473548585,2.0011542180239807,0.004849928542803794,0.7859567718145828,0.0037541989263417818,200,-0.4537832800451666,-0.3827126259186279,1.9899871214620726,2.0124457365990263,0.7787938555900558,0.7944992607031444
random_binary,delta_rel_mse ~ sigma_delta^a * num_frames^b,ok,12,-0.44810775723710544,0.019615686419784926,0.9999218605770183,0.007478756932371297,2.001821733524461,0.006551369340768572,0.7488313664185828,0.005071238375599475,200,-0.4984011913919665,-0.41741232001494427,1.990075431296751,2.0144371486560337,0.7410989996725752,0.7586297817922091
random_uniform,delta_rel_mse ~ sigma_delta^a * num_frames^b,ok,12,-0.21377303185827912,0.011718574531116875,0.9999730219790138,0.004467871714328771,2.002799856546099,0.003913842638880863,0.8114373669902697,0.0030296000658728978,200,-0.23242034427390745,-0.18050986372770345,1.9964262197151492,2.0117068108964165,0.8032778511468751,0.8154105851005437
srht_paired,delta_rel_mse ~ sigma_delta^a * num_frames^b,ok,12,-0.4119944428206225,0.01352205551687325,0.9999635609219643,0.0051554742603717755,2.001318482684761,0.0045161804711591255,0.7863879101554965,0.00349585354224408,200,-0.4536900131832316,-0.391121992821643,1.9898791412215393,2.0120262618763163,0.7803963735690781,0.793250474280111
