method,photon_budget,lambda_bar,gain_rel_mse_mean,gain_rel_mse_std,zero_fraction_mean,fisher_reference
anscombe,0.25,0.2499161809682846,0.010698298534488566,,0.77685546875,0.06252096178591524
anscombe,0.25,0.24995838105678558,0.010009169287185218,,0.7744140625,0.06251040646822845
anscombe,0.25,0.2499695122241974,0.006097804164604941,,0.7900390625,0.0625076228735685
anscombe,0.25,0.24997398257255554,0.007662088013213517,,0.794921875,0.0625065050338381
anscombe,0.25,0.2499740719795227,0.007861196466759349,,0.78515625,0.0625064826774513
anscombe,0.25,0.24998001754283905,0.011642206860421686,,0.78369140625,0.06250499601362075
anscombe,0.25,0.24998916685581207,0.007949078126475698,,0.7880859375,0.06250270840340907
anscombe,0.25,0.2499920278787613,0.009444315603605145,,0.77392578125,0.06250199309386642
anscombe,0.25,0.2499934732913971,0.007559064054829271,,0.7861328125,0.06250163171974976
anscombe,0.25,0.24999508261680603,0.008262756406599752,,0.78515625,0.06250122936997962
anscombe,0.25,0.24999761581420898,0.00680819264881874,,0.79296875,0.06250059605213215
anscombe,0.25,0.24999858438968658,0.006605441061053134,,0.79052734375,0.06250035390458232
anscombe,0.25,0.2499990016222,0.00679450187744845,,0.79345703125,0.06250024959544676
anscombe,0.25,0.2499990612268448,0.006750486482596393,,0.77978515625,0.0625002346941701
anscombe,0.25,0.2500014305114746,0.005771805727603195,,0.77978515625,0.0624996423741777
anscombe,0.25,0.25000157952308655,0.009997597877112616,0.00298288417105236,0.78076171875,0.06249960512172324
anscombe,0.25,0.2500022053718567,0.007174729615298311,,0.7939453125,0.06249944866189945
anscombe,0.25,0.2500027120113373,0.012488402990606681,,0.77587890625,0.06249932200452061
anscombe,0.25,0.2500028908252716,0.006050502454500575,,0.779296875,0.06249927730203887
anscombe,0.25,0.25000470876693726,0.007711746510528564,,0.79248046875,0.062498822830437756
anscombe,0.25,0.2500047981739044,0.007722903896312968,,0.78662109375,0.062498800479545924
anscombe,0.25,0.25000515580177307,0.007283541756291646,,0.787109375,0.062498711076138476
anscombe,0.25,0.2500055432319641,0.012084868826046058,,0.7724609375,0.06249861422273571
anscombe,0.25,0.2500056028366089,0.006950889750967826,,0.779296875,0.062498599322238856
anscombe,0.25,0.250005841255188,0.01261451149813382,,0.7744140625,0.06249853972032247
anscombe,0.25,0.2500059902667999,0.006387060076112679,,0.79443359375,0.062498502469182454
anscombe,0.25,0.2500065863132477,0.005844281551343568,,0.78173828125,0.06249835346506646
anscombe,0.25,0.2500069737434387,0.00918802528185436,,0.77880859375,0.06249825661277206
anscombe,0.25,0.2500070333480835,0.013128567282564462,,0.78466796875,0.062498241712445717
anscombe,0.25,0.2500074505805969,0.007074608759542803,,0.794921875,0.06249813741036027
anscombe,0.25,0.2500077784061432,0.007817544410885665,,0.78125,0.062498055458965925
anscombe,0.25,0.2500087320804596,0.01243462225485649,,0.77734375,0.062497817056131666
anscombe,0.25,0.2500090003013611,0.011151270507707357,,0.7939453125,0.06249775000566224
anscombe,0.25,0.25001007318496704,0.006578562786342468,,0.7783203125,0.06249748180522321
anscombe,0.25,0.2500109076499939,0.006555889611706293,,0.78076171875,0.062497273206473164
anscombe,0.25,0.25001171231269836,0.008390876517199865,,0.78759765625,0.06249707205899725
anscombe,0.25,0.25001195073127747,0.00786902623600717,,0.7822265625,0.062497012459993784
anscombe,0.25,0.25001251697540283,0.00562466801970851,,0.78173828125,0.062496870912816124
anscombe,0.25,0.2500127851963043,0.012893652527657486,,0.78173828125,0.0624968038643768
anscombe,0.25,0.25001290440559387,0.008234648433064956,,0.79345703125,0.06249677406511662
anscombe,0.25,0.2500144839286804,0.007811715512783667,,0.78759765625,0.062496379227601935
anscombe,0.25,0.2500191628932953,0.00690779935213481,,0.79296875,0.06249520964386451
anscombe,0.25,0.2500195801258087,0.007885467964092533,,0.7861328125,0.06249510535189912
anscombe,0.25,0.25002285838127136,0.008056182038653367,,0.783203125,0.062494285927139986
anscombe,0.25,0.2500249147415161,0.0065045552255090806,,0.7802734375,0.06249377193530346
anscombe,0.25,0.2500269412994385,0.007993951387422139,,0.77685546875,0.06249326540089579
anscombe,0.25,0.25003451108932495,0.008967969317507984,,0.7744140625,0.06249137341851966
anscombe,0.25,0.2500467002391815,0.006547503491704867,,0.7861328125,0.06248832712070964
anscombe,0.25,0.25005656480789185,0.005846097236947763,,0.78076171875,0.06248586199688076
anscombe,0.5,0.4998323619365692,0.008804720364307978,,0.60107421875,0.03126048089295762
anscombe,0.5,0.49991676211357117,0.008847849137152471,,0.60693359375,0.03125520323411422
anscombe,0.5,0.4999390244483948,0.008200430409558293,,0.6064453125,0.03125381143678425
anscombe,0.5,0.4999479651451111,0.01074186143054824,,0.626953125,0.03125325251691905
anscombe,0.5,0.4999481439590454,0.01023147195759978,,0.60546875,0.03125324133872565
anscombe,0.5,0.4999600350856781,0.006436234253552951,,0.6103515625,0.031252498006810375
anscombe,0.5,0.49997833371162415,0.010577329216135382,,0.603515625,0.03125135420170454
anscombe,0.5,0.4999840557575226,0.009780363677403165,,0.6064453125,0.03125099654693321
anscombe,0.5,0.4999869465827942,0.009900640880726652,,0.6005859375,0.03125081585987488
anscombe,0.5,0.49999016523361206,0.024640290862310142,,0.60888671875,0.03125061468498981
anscombe,0.5,0.49999523162841797,0.01066971031644703,,0.62744140625,0.031250298026066076
anscombe,0.5,0.49999716877937317,0.011173651219479459,,0.6083984375,0.03125017695229116
anscombe,0.5,0.4999980032444,0.010357483824245835,,0.62744140625,0.03125012479772338
anscombe,0.5,0.4999981224536896,0.011466056192262531,,0.60302734375,0.03125011734708505
anscombe,0.5,0.5000028610229492,0.01161147885595683,,0.6015625,0.03124982118708885
anscombe,0.5,0.5000031590461731,0.009932756307850992,0.0008783942026886845,0.607421875,0.03124980256086162
anscombe,0.5,0.5000044107437134,0.010404180498754072,,0.626953125,0.031249724330949726
anscombe,0.5,0.5000054240226746,0.008134302278514367,,0.6103515625,0.031249661002260305
anscombe,0.5,0.5000057816505432,0.011041191647164526,,0.603515625,0.031249638651019436
anscombe,0.5,0.5000094175338745,0.01020690817904123,,0.62890625,0.031249411415218878
anscombe,0.5,0.5000095963478088,0.01169935028910014,,0.60205078125,0.031249400239772962
anscombe,0.5,0.5000103116035461,0.01038882566275512,,0.60107421875,0.031249355538069238
anscombe,0.5,0.5000110864639282,0.00811855503385665,,0.6083984375,0.031249307111367856
anscombe,0.5,0.5000112056732178,0.01376059776870232,,0.60546875,0.031249299661119428
anscombe,0.5,0.500011682510376,0.007118333110756766,,0.6064453125,0.031249269860161234
anscombe,0.5,0.5000119805335999,0.016957075449870625,,0.630859375,0.031249251234591227
anscombe,0.5,0.5000131726264954,0.010235847728774117,,0.611328125,0.03124917673253323
anscombe,0.5,0.5000139474868774,0.0077344540731742574,,0.607421875,0.03124912830638603
anscombe,0.5,0.500014066696167,0.0069840361846790515,,0.61181640625,0.031249120856222858
anscombe,0.5,0.5000149011611938,0.01008792761221299,,0.63427734375,0.031249068705180134
anscombe,0.5,0.5000155568122864,0.01118385356749605,,0.61474609375,0.031249027729482962
anscombe,0.5,0.5000174641609192,0.009110852212433053,,0.6044921875,0.031248908528065833
anscombe,0.5,0.5000180006027222,0.010067561803289084,,0.6298828125,0.03124887500283112
anscombe,0.5,0.5000201463699341,0.033843761789419335,,0.60791015625,0.031248740902611604
anscombe,0.5,0.5000218152999878,0.011796401033234056,,0.60888671875,0.031248636603236582
anscombe,0.5,0.5000234246253967,0.011316197494623176,,0.60205078125,0.031248536029498626
anscombe,0.5,0.5000239014625549,0.0072789097706450374,,0.61474609375,0.031248506229996892
anscombe,0.5,0.5000250339508057,0.010115002111864826,,0.60546875,0.031248435456408062
