object,K_eff,C0_floor_align_fix,C0_floor_raw_fix,raw_over_aligned,moment_prediction_K_beta4_minus_2
0,256.3624220382574,623.9756088745963,1008.2345195582432,1.6158236078757902,1023.8000977039337
1,255.423003555239,678.4981034370419,1019.9549667218047,1.5032539686626356,1023.8000977039337
2,293.3872150701694,700.8071903396323,980.1100321625128,1.398544486519212,1023.8000977039337
3,282.3128216084749,715.1718238053052,1043.4737322150968,1.4590531918091434,1023.8000977039337
4,234.3753330561936,666.7398283222506,1114.5293830571654,1.6716106278842067,1023.8000977039337
5,330.56256807395056,684.3967842440676,1010.5880736256015,1.476611370612765,1023.8000977039337
6,348.0315115190247,653.7288366394962,992.5042940971286,1.518220152562205,1023.8000977039337
7,400.63456129961344,690.875095528341,1078.789902800941,1.5614832692383351,1023.8000977039337
8,376.18334921931915,660.9200369612627,1032.9855134750264,1.5629508196247512,1023.8000977039337
9,305.6053842550895,654.7095152339359,1037.547421479758,1.584744680408424,1023.8000977039337
