arm,sigma_a,object,rho,rel_mse_aligned,rel_mse_raw,n
hadamard_paired+pairwise,0.1,9,0.03,0.04410110375567693,0.04575500552008772,5
hadamard_paired+pairwise,0.1,9,0.1,0.13007946318687083,0.14840127393064198,5
hadamard_paired+pairwise,0.1,9,0.3,0.29106803661843295,0.4051189281415103,5
hadamard_paired+pairwise,0.1,9,1.0,0.5017154673526364,0.9794543829821862,5
hadamard_paired+pairwise,0.1,9,3.0,0.6023449628888742,1.456989419796752,5
hadamard_paired+pairwise,0.1,9,10.0,0.6145860253301714,1.5309349141028805,5
hadamard_paired+pairwise,0.15,0,0.001,0.0029294756723527425,0.003030497951581843,5
hadamard_paired+pairwise,0.15,0,0.003,0.00873321943435106,0.008905894941218778,5
hadamard_paired+pairwise,0.15,0,0.01,0.028450183848386996,0.028871263620245464,5
hadamard_paired+pairwise,0.15,0,0.03,0.08031493025953018,0.08540206122030725,5
hadamard_paired+pairwise,0.15,0,0.1,0.22098097811607453,0.27749399208825515,5
hadamard_paired+pairwise,0.15,0,0.3,0.43681371171829075,0.755891771783966,5
hadamard_paired+pairwise,0.15,0,1.0,0.6520947956800374,1.819266853212501,5
hadamard_paired+pairwise,0.15,0,3.0,0.7345131741908777,2.694749909311564,5
hadamard_paired+pairwise,0.15,0,10.0,0.7437250696360003,2.8301872747953967,5
hadamard_paired+pairwise,0.15,1,0.001,0.0029176941779677293,0.0030325797076376686,5
hadamard_paired+pairwise,0.15,1,0.003,0.008701401441137555,0.008921215623041628,5
hadamard_paired+pairwise,0.15,1,0.01,0.028366754544901562,0.02881221508317966,5
hadamard_paired+pairwise,0.15,1,0.03,0.08011652818434703,0.08499481736166574,5
hadamard_paired+pairwise,0.15,1,0.1,0.2202573469800883,0.27607266700732086,5
hadamard_paired+pairwise,0.15,1,0.3,0.4375069450701076,0.7521616449387025,5
hadamard_paired+pairwise,0.15,1,1.0,0.657788152828967,1.8098149767570966,5
hadamard_paired+pairwise,0.15,1,3.0,0.7425640393211934,2.683848448514149,5
hadamard_paired+pairwise,0.15,1,10.0,0.7519436405753434,2.820041414627291,5
hadamard_paired+pairwise,0.15,2,0.001,0.003350893675834743,0.003443092444670816,5
hadamard_paired+pairwise,0.15,2,0.003,0.009973879527138782,0.010151790694643692,5
hadamard_paired+pairwise,0.15,2,0.01,0.0323573132706428,0.03299761445097797,5
hadamard_paired+pairwise,0.15,2,0.03,0.09049546589314542,0.09770938364768393,5
hadamard_paired+pairwise,0.15,2,0.1,0.24389845408902477,0.3174255783993311,5
hadamard_paired+pairwise,0.15,2,0.3,0.47119702929736595,0.8644182990736416,5
hadamard_paired+pairwise,0.15,2,1.0,0.6875872412976445,2.0835959652509195,5
hadamard_paired+pairwise,0.15,2,3.0,0.7671658857294503,3.0859391691926694,5
hadamard_paired+pairwise,0.15,2,10.0,0.7758805713805424,3.242859962261233,5
hadamard_paired+pairwise,0.15,3,0.001,0.003223220685671123,0.003315119875005564,5
hadamard_paired+pairwise,0.15,3,0.003,0.009606562692096837,0.009748469608058394,5
hadamard_paired+pairwise,0.15,3,0.01,0.031266589609864344,0.031711546452436866,5
hadamard_paired+pairwise,0.15,3,0.03,0.08802901140206301,0.09401859296141359,5
hadamard_paired+pairwise,0.15,3,0.1,0.23966331140690583,0.30528879881734916,5
hadamard_paired+pairwise,0.15,3,0.3,0.4646238238912906,0.8313362773746465,5
hadamard_paired+pairwise,0.15,3,1.0,0.6810278472686591,2.001042384703633,5
hadamard_paired+pairwise,0.15,3,3.0,0.7617185433158241,2.967476539460127,5
hadamard_paired+pairwise,0.15,3,10.0,0.7705237804233065,3.118886885207928,5
hadamard_paired+pairwise,0.15,4,0.001,0.0026732405925956803,0.0027774998424064906,5
hadamard_paired+pairwise,0.15,4,0.003,0.007967039786526867,0.008166195726097761,5
hadamard_paired+pairwise,0.15,4,0.01,0.02595940916900728,0.026366778148306846,5
hadamard_paired+pairwise,0.15,4,0.03,0.07345583806119031,0.07799112255788529,5
hadamard_paired+pairwise,0.15,4,0.1,0.20443313078774308,0.2532378403016809,5
hadamard_paired+pairwise,0.15,4,0.3,0.4146442777751352,0.689239808840653,5
hadamard_paired+pairwise,0.15,4,1.0,0.635468630191466,1.6600108836999776,5
