photon_budget,soft_log/fisher,soft_log_calibrated/fisher,soft_log_calibrated_carrier/fisher,anscombe/fisher
0.25,0.0828150175734531,1.1123929015365308,1.1120345685851707,0.12675045005118454
0.5,0.21716703431773257,1.219428350405645,1.2219998688510494,0.323221906917203
1.0,0.6191866403064368,1.4210186302011203,1.4192232525304445,0.7397156875929864
2.0,1.1495255259747175,1.492135146398189,1.4820710517056421,1.0728130813395134
4.0,1.475908038608532,1.5011160920780031,1.4906067213145275,1.2357449144778976
8.0,1.2749652312457997,1.2707652625738959,1.227908303003924,1.1620510834632096
16.0,1.45177451346744,1.4505940965712996,1.4041203094855015,1.4128539517244028
32.0,1.4785880202919524,1.4784320508872322,1.4000117685388607,1.4546480252881417
64.0,1.9126094118461223,1.9125422500097855,1.7614695420806925,1.886135388417922
128.0,2.287161893724867,2.287149790442815,2.0036001755870285,2.2864732720432523
