object,family,K_eff,basis,rho,s,seed,W,photon_budget,lambda_bar,zero_fraction,method,gain_rel_mse,log_gain_mse,fisher_reference
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.25,0.250002384185791,0.7802734375,soft_log,0.0035655077053532514,0.003548613700242698,0.06249940395923653
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.25,0.250002384185791,0.7802734375,soft_log_calibrated,0.05694000066069443,0.0634928423559333,0.06249940395923653
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.25,0.250002384185791,0.7802734375,soft_log_calibrated_carrier,0.05692028878861148,0.06347260813034192,0.06249940395923653
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.25,0.250002384185791,0.7802734375,naive_log,0.12149408870088482,0.12072916575576062,0.06249940395923653
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.25,0.250002384185791,0.7802734375,anscombe,0.0062635429593940126,0.006199584136023095,0.06249940395923653
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.5,0.500004768371582,0.60693359375,soft_log,0.007944859291739728,0.007649379166682724,0.031249701979618266
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.5,0.500004768371582,0.60693359375,soft_log_calibrated,0.03260216629165049,0.03085946262836924,0.031249701979618266
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.5,0.500004768371582,0.60693359375,soft_log_calibrated_carrier,0.03173930304312697,0.030237285345520525,0.031249701979618266
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.5,0.500004768371582,0.60693359375,naive_log,0.32937586614196324,0.1922678052031681,0.031249701979618266
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.5,0.500004768371582,0.60693359375,anscombe,0.01093764611666511,0.010562841848080625,0.031249701979618266
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,1.0,1.000009536743164,0.35302734375,soft_log,0.007604685493408891,0.007702760238747937,0.015624850989809133
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,1.0,1.000009536743164,0.35302734375,soft_log_calibrated,0.015911395175611194,0.016611895621009336,0.015624850989809133
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,1.0,1.000009536743164,0.35302734375,soft_log_calibrated_carrier,0.015477776477400871,0.016164465927148472,0.015624850989809133
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,1.0,1.000009536743164,0.35302734375,naive_log,0.20199960793120822,0.21310703188218985,0.015624850989809133
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,1.0,1.000009536743164,0.35302734375,anscombe,0.008686852081939471,0.008919376237684682,0.015624850989809133
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,2.0,2.000019073486328,0.15576171875,soft_log,0.011989187029203431,0.01209621452345648,0.0078124254949045666
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,2.0,2.000019073486328,0.15576171875,soft_log_calibrated,0.014866351598752709,0.01523018220669729,0.0078124254949045666
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,2.0,2.000019073486328,0.15576171875,soft_log_calibrated_carrier,0.014535014691215495,0.01489812019484248,0.0078124254949045666
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,2.0,2.000019073486328,0.15576171875,naive_log,0.12046477530108866,0.16697569256428796,0.0078124254949045666
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,2.0,2.000019073486328,0.15576171875,anscombe,0.01156584545115396,0.011576826101605455,0.0078124254949045666
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,4.0,4.000038146972656,0.03076171875,soft_log,0.00587220559008509,0.005868681656873731,0.0039062127474522833
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,4.0,4.000038146972656,0.03076171875,soft_log_calibrated,0.005956411600020686,0.005991930359441891,0.0039062127474522833
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,4.0,4.000038146972656,0.03076171875,soft_log_calibrated_carrier,0.005635299940429786,0.0058549979298917094,0.0039062127474522833
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,4.0,4.000038146972656,0.03076171875,naive_log,0.03638712546234241,0.04607426128616017,0.0039062127474522833
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,4.0,4.000038146972656,0.03076171875,anscombe,0.004847680264417815,0.004594020790473536,0.0039062127474522833
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,8.0,8.000076293945312,0.0009765625,soft_log,0.0027660204000328524,0.0026358273046034673,0.0019531063737261416
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,8.0,8.000076293945312,0.0009765625,soft_log_calibrated,0.0027557997374666895,0.002626429653076329,0.0019531063737261416
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,8.0,8.000076293945312,0.0009765625,soft_log_calibrated_carrier,0.0025285949167605593,0.0024477992108892332,0.0019531063737261416
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,8.0,8.000076293945312,0.0009765625,naive_log,0.004517982862727067,0.004633202045853815,0.0019531063737261416
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,8.0,8.000076293945312,0.0009765625,anscombe,0.002475468069064392,0.0023339824844948133,0.0019531063737261416
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,16.0,16.000152587890625,0.0,soft_log,0.0014431485322514675,0.001397405876353174,0.0009765531868630708
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,16.0,16.000152587890625,0.0,soft_log_calibrated,0.0014424121133288443,0.0013967519094342255,0.0009765531868630708
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,16.0,16.000152587890625,0.0,soft_log_calibrated_carrier,0.0012844439054013291,0.001257429266583089,0.0009765531868630708
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,16.0,16.000152587890625,0.0,naive_log,0.001515544037452981,0.001461469735491383,0.0009765531868630708
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,16.0,16.000152587890625,0.0,anscombe,0.0014012565575995562,0.0013592338959748465,0.0009765531868630708
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,32.0,32.00030517578125,0.0,soft_log,0.000792121570547066,0.0007553760488069186,0.0004882765934315354
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,32.0,32.00030517578125,0.0,soft_log_calibrated,0.0007920149096695976,0.0007552782730819802,0.0004882765934315354
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,32.0,32.00030517578125,0.0,soft_log_calibrated_carrier,0.0006538580498459891,0.000641544678763229,0.0004882765934315354
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,32.0,32.00030517578125,0.0,naive_log,0.0008132851012545086,0.0007745503914769159,0.0004882765934315354
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,32.0,32.00030517578125,0.0,anscombe,0.0007812386645259764,0.0007449517637774972,0.0004882765934315354
