photon_budget,naive/soft,naive/anscombe,anscombe/soft,naive/carrier,anscombe/carrier,carrier/soft,meanpois/carrier
0.25,46.393830487933926,29.989392025904518,1.5470080369705204,3.854208957096994,0.12851907613758123,12.037186100796658,1.0032628717205518
0.5,33.81872424420553,22.788991986592915,1.4839938626553364,6.930696701066723,0.30412475923218324,4.879556226865388,1.0007531585004124
1.0,22.91962943073305,19.478970687393602,1.1766345254354829,10.740081258653708,0.5513680076331997,2.1340275626188396,1.0043481251241237
2.0,12.047876577121967,12.914791595330938,0.9328742541596734,9.80567933547,0.759259587201936,1.2286631211303523,1.009670830963552
4.0,4.7444584008204105,5.568734314307608,0.8519814616816238,4.73086430309912,0.8495403149229496,1.0028734913644395,1.008220685425372
8.0,1.2656167568635401,1.3873156261818596,0.9122774464429146,1.3173721267784837,0.9495835712628186,0.9607131737017187,1.0375790922922197
16.0,1.0701366207608736,1.0950937894502468,0.9772100171420913,1.1111216347744348,1.014636048052317,0.9631138367476019,1.037505296698135
32.0,1.0211954293856542,1.0372748191266463,0.9844984285316688,1.0830442538773515,1.044124694735424,0.9428935389571798,1.0604525619847436
64.0,1.013336471396761,1.0256050997635777,0.9880376683290237,1.1065165820626452,1.0788914586303435,0.9157896843333442,1.0919167331894573
128.0,1.0039651980101436,1.0039893772503148,0.9999759168366528,1.1544429918230843,1.1498557833199647,0.8696533350899314,1.1498777176415091
