object,basis,frame,carrier,running_mean
digit_0,random_uniform,0,38.64899444580078,39.552978515625
digit_0,random_uniform,8,41.02042770385742,39.782291412353516
digit_0,random_uniform,16,37.291839599609375,39.90315628051758
digit_0,random_uniform,24,38.18141174316406,40.17987823486328
digit_0,random_uniform,32,37.92033004760742,40.31386947631836
digit_0,random_uniform,40,39.39817810058594,40.26664352416992
digit_0,random_uniform,48,41.816429138183594,40.10082244873047
digit_0,random_uniform,56,36.585411071777344,40.19847106933594
digit_0,random_uniform,64,44.83088302612305,40.201744079589844
digit_0,random_uniform,72,39.23505401611328,40.18925857543945
digit_0,random_uniform,80,39.112571716308594,40.26670837402344
digit_0,random_uniform,88,40.03485870361328,40.008636474609375
digit_0,random_uniform,96,36.5409049987793,40.17784881591797
digit_0,random_uniform,104,40.6634407043457,39.92173767089844
digit_0,random_uniform,112,38.79410934448242,39.97914123535156
digit_0,random_uniform,120,39.81103515625,39.991878509521484
digit_0,random_uniform,128,40.999088287353516,40.00659942626953
digit_0,random_uniform,136,39.477622985839844,40.062744140625
digit_0,random_uniform,144,40.255226135253906,39.959896087646484
digit_0,random_uniform,152,40.66118621826172,40.05462646484375
digit_0,random_uniform,160,43.295082092285156,40.047908782958984
digit_0,random_uniform,168,39.36088180541992,40.044029235839844
digit_0,random_uniform,176,39.07835006713867,40.034332275390625
digit_0,random_uniform,184,38.53882598876953,40.021568298339844
digit_0,random_uniform,192,41.31188201904297,39.991546630859375
digit_0,random_uniform,200,36.382171630859375,39.827213287353516
digit_0,random_uniform,208,39.020851135253906,39.914363861083984
digit_0,random_uniform,216,39.93092346191406,39.993892669677734
digit_0,random_uniform,224,37.150909423828125,40.16331100463867
digit_0,random_uniform,232,40.85985565185547,40.13566589355469
digit_0,random_uniform,240,39.188873291015625,40.0489501953125
digit_0,random_uniform,248,39.94886016845703,40.11625289916992
digit_0,random_uniform,256,39.824066162109375,40.35533142089844
digit_0,random_uniform,264,41.19578552246094,40.603939056396484
digit_0,random_uniform,272,38.029632568359375,40.60942840576172
digit_0,random_uniform,280,44.474586486816406,40.608253479003906
digit_0,random_uniform,288,45.91414260864258,40.3282356262207
digit_0,random_uniform,296,42.59779357910156,40.44731521606445
digit_0,random_uniform,304,41.59204864501953,40.572784423828125
digit_0,random_uniform,312,37.34477615356445,40.61005401611328
digit_0,random_uniform,320,39.832977294921875,40.46760559082031
digit_0,random_uniform,328,38.31767272949219,40.08134460449219
digit_0,random_uniform,336,39.95915985107422,40.127105712890625
digit_0,random_uniform,344,38.59637451171875,40.103477478027344
digit_0,random_uniform,352,39.741241455078125,40.49745559692383
digit_0,random_uniform,360,32.23575973510742,40.42951202392578
digit_0,random_uniform,368,40.14495849609375,40.35501480102539
digit_0,random_uniform,376,40.761112213134766,40.3541374206543
digit_0,random_uniform,384,38.50658416748047,40.152313232421875
digit_0,random_uniform,392,39.971839904785156,40.2155876159668
digit_0,random_uniform,400,43.33021926879883,40.03935623168945
digit_0,random_uniform,408,40.67382049560547,39.9509391784668
digit_0,random_uniform,416,38.39226150512695,39.87725067138672
digit_0,random_uniform,424,35.709083557128906,39.911415100097656
digit_0,random_uniform,432,41.404911041259766,40.0540657043457
digit_0,random_uniform,440,37.179195404052734,40.035064697265625
digit_0,random_uniform,448,37.24183654785156,40.03778839111328
digit_0,random_uniform,456,40.039581298828125,40.13909912109375
digit_0,random_uniform,464,41.468955993652344,40.35860061645508
digit_0,random_uniform,472,39.279232025146484,40.147987365722656
digit_0,random_uniform,480,39.88652420043945,39.84885025024414
digit_0,random_uniform,488,43.5070686340332,39.86451721191406
digit_0,random_uniform,496,38.93670654296875,39.921688079833984
digit_0,random_uniform,504,36.83433151245117,39.93937301635742
digit_0,random_uniform,512,39.35114669799805,40.110992431640625
digit_0,random_uniform,520,43.44075012207031,40.15070343017578
digit_0,random_uniform,528,38.39185333251953,40.387264251708984
digit_0,random_uniform,536,42.157691955566406,40.52985382080078
digit_0,random_uniform,544,39.53020477294922,40.727603912353516
digit_0,random_uniform,552,42.46330642700195,40.65251922607422
digit_0,random_uniform,560,44.30234146118164,40.49323654174805
digit_0,random_uniform,568,41.7623291015625,40.447669982910156
digit_0,random_uniform,576,41.39844512939453,40.62971496582031
digit_0,random_uniform,584,39.88763427734375,40.48332214355469
digit_0,random_uniform,592,40.02442169189453,40.21560287475586
digit_0,random_uniform,600,39.272361755371094,40.140174865722656
digit_0,random_uniform,608,40.089012145996094,40.116065979003906
digit_0,random_uniform,616,42.722938537597656,40.320430755615234
digit_0,random_uniform,624,38.42469024658203,40.07313537597656
digit_0,random_uniform,632,40.914825439453125,40.161556243896484
digit_0,random_uniform,640,39.372886657714844,39.878562927246094
digit_0,random_uniform,648,41.920570373535156,39.968021392822266
digit_0,random_uniform,656,37.51226806640625,39.951473236083984
digit_0,random_uniform,664,42.16429901123047,39.815589904785156
digit_0,random_uniform,672,40.850914001464844,39.93702697753906
digit_0,random_uniform,680,41.67837905883789,39.75228500366211
digit_0,random_uniform,688,38.00908279418945,39.911888122558594
digit_0,random_uniform,696,37.382041931152344,39.88548278808594
digit_0,random_uniform,704,40.24604797363281,39.651580810546875
digit_0,random_uniform,712,39.0199089050293,39.66307067871094
digit_0,random_uniform,720,39.29655838012695,39.52111053466797
digit_0,random_uniform,728,38.58418273925781,39.763587951660156
digit_0,random_uniform,736,40.841251373291016,39.7958984375
digit_0,random_uniform,744,42.732940673828125,39.873844146728516
digit_0,random_uniform,752,34.96343231201172,40.084129333496094
digit_0,random_uniform,760,41.279998779296875,39.997962951660156
digit_0,random_uniform,768,38.869415283203125,40.31477355957031
digit_0,random_uniform,776,39.39638137817383,40.504981994628906
digit_0,random_uniform,784,45.31492614746094,40.382911682128906
digit_0,random_uniform,792,39.289424896240234,40.404781341552734
digit_0,random_uniform,800,40.66582489013672,40.19520568847656
digit_0,random_uniform,808,43.33115005493164,40.369346618652344
