scope,rho,sigma_a,winner_basis,winner_correction,above_floor,above_floor_candidates,best_sub_floor,winner_psnr,winner_rel_mse
equal_frame_non_oracle,0.01,0.3,srht_paired,pairwise,True,27,,19.75276349392864,0.12149458202145307
equal_frame_non_oracle,0.01,0.5,srht_paired,pairwise,True,22,,16.186516299330545,0.27521946043705947
equal_frame_non_oracle,0.03,0.05,srht_paired,pairwise,True,30,,30.030914275477112,0.011428025984108975
equal_frame_non_oracle,0.03,0.1,srht_paired,pairwise,True,27,,24.169766000264477,0.04402472592456782
equal_frame_non_oracle,0.03,0.15,srht_paired,pairwise,True,27,,20.892819869111754,0.09350378590422657
equal_frame_non_oracle,0.03,0.3,srht_paired,pairwise,True,23,,15.972613665040644,0.2890167940872821
equal_frame_non_oracle,0.03,0.5,noise_floor,noise_floor,False,0,srht_paired+pairwise,13.358587554732043,0.525524535130376
equal_frame_non_oracle,0.1,0.05,srht_paired,pairwise,True,30,,25.049872595582002,0.03595568372107957
equal_frame_non_oracle,0.1,0.1,srht_paired,pairwise,True,27,,19.494907967511846,0.12888825878955415
equal_frame_non_oracle,0.1,0.15,srht_paired,pairwise,True,25,,16.63922861001259,0.24808361452222674
equal_frame_non_oracle,0.1,0.3,noise_floor,noise_floor,False,0,hadamard_random_paired+scgi_proxy,13.069666091774577,0.5635102966355187
equal_frame_non_oracle,0.1,0.5,noise_floor,noise_floor,False,0,hadamard_random_paired+scgi_proxy,11.660231120941464,0.7778735404352034
equal_frame_non_oracle,0.3,0.05,srht_paired,pairwise,True,30,,20.96123420743689,0.09205774126291585
equal_frame_non_oracle,0.3,0.1,srht_paired,pairwise,True,24,,16.027140199788402,0.28545916189919307
equal_frame_non_oracle,0.3,0.15,hadamard_random_paired,scgi_proxy,True,17,,13.86451470837016,0.4684498677877836
equal_frame_non_oracle,0.3,0.3,noise_floor,noise_floor,False,0,hadamard_random_paired+scgi_proxy,11.676639125397179,0.7727386111114879
equal_frame_non_oracle,0.3,0.5,noise_floor,noise_floor,False,0,srht_paired+pairwise,11.005149912521816,0.9005179065093227
equal_frame_non_oracle,1.0,0.05,srht_paired,pairwise,True,30,,17.666162915032274,0.1961272792314649
equal_frame_non_oracle,1.0,0.1,srht_paired,pairwise,True,11,,13.688781330598438,0.4873807835049495
equal_frame_non_oracle,1.0,0.15,noise_floor,noise_floor,False,0,srht_paired+pairwise,12.25568424254524,0.6762957504322107
equal_frame_non_oracle,1.0,0.3,noise_floor,noise_floor,False,0,srht_paired+pairwise,11.070706935928618,0.887082374038145
equal_frame_non_oracle,1.0,0.5,noise_floor,noise_floor,False,0,srht_paired+pairwise,10.758746633254741,0.9529240655225603
equal_frame_non_oracle,3.0,0.05,srht_paired,pairwise,True,29,,16.332412487801086,0.26624907588295893
equal_frame_non_oracle,3.0,0.1,noise_floor,noise_floor,False,0,srht_paired+pairwise,12.890236412449278,0.5849819679916609
equal_frame_non_oracle,3.0,0.15,noise_floor,noise_floor,False,0,srht_paired+pairwise,11.771076682634277,0.7555874722000309
equal_frame_non_oracle,3.0,0.3,noise_floor,noise_floor,False,0,srht_paired+pairwise,10.910108280509261,0.920374983202634
equal_frame_non_oracle,3.0,0.5,noise_floor,noise_floor,False,0,srht_paired+pairwise,10.693751609509018,0.9672572848170019
equal_frame_non_oracle,10.0,0.05,srht_paired,pairwise,True,29,,16.173605938334443,0.2761141910877225
equal_frame_non_oracle,10.0,0.1,noise_floor,noise_floor,False,0,srht_paired+pairwise,12.80077593149566,0.597072209302213
equal_frame_non_oracle,10.0,0.15,noise_floor,noise_floor,False,0,srht_paired+pairwise,11.718433447683942,0.7647497213686684
equal_frame_non_oracle,10.0,0.3,noise_floor,noise_floor,False,0,srht_paired+pairwise,10.892873993454298,0.924023711674415
equal_frame_non_oracle,10.0,0.5,noise_floor,noise_floor,False,0,srht_paired+pairwise,10.686609470287927,0.9688462313741492
