arm,sigma_a,rho,object,rel_mse,psnr,gain_rel_mse,n
hadamard_paired+pairwise,0.05,0.0099239,1,0.0032001671315313824,35.93200790371908,,5
hadamard_paired+pairwise,0.05,0.0099239,2,0.003675237298979609,35.85652860830261,,5
hadamard_paired+pairwise,0.05,0.0099239,3,0.003535709716215119,34.77266931841196,,5
hadamard_paired+pairwise,0.05,0.0099239,4,0.002931986748557173,39.84043774599086,,5
hadamard_paired+pairwise,0.05,0.0099239,5,0.004140276468927096,33.20439891126987,,5
hadamard_paired+pairwise,0.05,0.0099239,6,0.004358889212041686,32.365330062053154,,5
hadamard_paired+pairwise,0.05,0.0099239,7,0.005011987302201958,31.91736557161159,,5
hadamard_paired+pairwise,0.05,0.0099239,8,0.004716128180963911,32.72346669659511,,5
hadamard_paired+pairwise,0.05,0.0099239,9,0.0038282429411498225,35.16930141010165,,5
hadamard_paired+pairwise,0.05,0.01,0,0.0032376427027937743,35.628224682301216,,5
hadamard_paired+pairwise,0.05,0.01,1,0.0032245272578660554,35.89907244247438,,5
hadamard_paired+pairwise,0.05,0.01,2,0.0037031794942719585,35.823633571710516,,5
hadamard_paired+pairwise,0.05,0.01,3,0.0035626184110131597,34.73974188162218,,5
hadamard_paired+pairwise,0.05,0.01,4,0.002954293493836397,39.80752015164394,,5
hadamard_paired+pairwise,0.05,0.01,5,0.004171738062907658,33.17152090314219,,5
hadamard_paired+pairwise,0.05,0.01,6,0.004392010595881646,32.33245348771866,,5
hadamard_paired+pairwise,0.05,0.01,7,0.0050500228384311955,31.8845307052108,,5
hadamard_paired+pairwise,0.05,0.01,8,0.004751966273215223,32.69058710348541,,5
hadamard_paired+pairwise,0.05,0.01,9,0.0038573488529404744,35.136405401551194,,5
hadamard_paired+pairwise,0.05,0.0148114,0,0.004778702332153516,33.9373718355725,,5
hadamard_paired+pairwise,0.05,0.0148114,1,0.0047596998353629455,34.207866082774885,,5
hadamard_paired+pairwise,0.05,0.0148114,2,0.005463454339150107,34.134647359146115,,5
hadamard_paired+pairwise,0.05,0.0148114,3,0.005258702058938678,33.048646419665204,,5
hadamard_paired+pairwise,0.05,0.0148114,4,0.0043600227871621626,38.117111885420684,,5
hadamard_paired+pairwise,0.05,0.0148114,5,0.00615349569151996,31.48342040100431,,5
hadamard_paired+pairwise,0.05,0.0148114,6,0.006478089119525865,30.644574601878077,,5
hadamard_paired+pairwise,0.05,0.0148114,7,0.007444585721528575,30.19901455608275,,5
hadamard_paired+pairwise,0.05,0.0148114,8,0.007008858724575221,31.002740508816622,,5
hadamard_paired+pairwise,0.05,0.0148114,9,0.005690986721121406,33.44733216312859,,5
hadamard_paired+pairwise,0.05,0.0221059,0,0.007097275749905559,32.21954066580544,,5
hadamard_paired+pairwise,0.05,0.0221059,1,0.007069418985698605,32.48977062528293,,5
hadamard_paired+pairwise,0.05,0.0221059,2,0.008109412770567582,32.419384344118356,,5
hadamard_paired+pairwise,0.05,0.0221059,3,0.007810832298098397,31.330490398139165,,5
hadamard_paired+pairwise,0.05,0.0221059,4,0.006474872538922512,36.399653129410865,,5
hadamard_paired+pairwise,0.05,0.0221059,5,0.009130816546337692,29.769510797546854,,5
hadamard_paired+pairwise,0.05,0.0221059,6,0.009611682214054942,28.931033205933012,,5
hadamard_paired+pairwise,0.05,0.0221059,7,0.011037454529481756,28.488711590290706,,5
hadamard_paired+pairwise,0.05,0.0221059,8,0.010397966073598464,29.289632465598025,,5
hadamard_paired+pairwise,0.05,0.0221059,9,0.008447122096926066,31.732044957049773,,5
hadamard_paired+pairwise,0.05,0.03,0,0.009581639756870774,30.91607034100116,,5
hadamard_paired+pairwise,0.05,0.03,1,0.009543999615993209,31.18627592355808,,5
hadamard_paired+pairwise,0.05,0.03,2,0.010941565411169557,31.11846564726755,,5
hadamard_paired+pairwise,0.05,0.03,3,0.010545639881028211,30.02678504018325,,5
hadamard_paired+pairwise,0.05,0.03,4,0.00874101137474193,35.09633945232692,,5
hadamard_paired+pairwise,0.05,0.03,5,0.012315579203502344,28.470049020312388,,5
hadamard_paired+pairwise,0.05,0.03,6,0.012963187492814165,27.63192023248174,,5
hadamard_paired+pairwise,0.05,0.03,7,0.014874682645050975,27.19292873781169,,5
hadamard_paired+pairwise,0.05,0.03,8,0.014020388856362836,27.991450934037466,,5
hadamard_paired+pairwise,0.05,0.03,9,0.011396912642157989,30.43121053923891,,5
hadamard_paired+pairwise,0.05,0.032993,0,0.010516591957712196,30.511726320380127,,5
hadamard_paired+pairwise,0.05,0.032993,1,0.01047513911578159,30.781975576411043,,5
hadamard_paired+pairwise,0.05,0.032993,2,0.0120066533134064,30.715037317338357,,5
hadamard_paired+pairwise,0.05,0.032993,3,0.01157483884185125,29.622385858012365,,5
hadamard_paired+pairwise,0.05,0.032993,4,0.009593905403909137,34.69200183271484,,5
hadamard_paired+pairwise,0.05,0.032993,5,0.01351271593445092,28.06717074452457,,5
hadamard_paired+pairwise,0.05,0.032993,6,0.01422293176416579,27.229155433043353,,5
hadamard_paired+pairwise,0.05,0.032993,7,0.016315503499264306,26.79140586610355,,5
hadamard_paired+pairwise,0.05,0.032993,8,0.015381143765368224,27.589146777444107,,5
hadamard_paired+pairwise,0.05,0.032993,9,0.012506129085871412,30.027838618741935,,5
hadamard_paired+pairwise,0.05,0.0492418,0,0.015523155327755247,28.820736463430045,,5
hadamard_paired+pairwise,0.05,0.0492418,1,0.015459938144788294,29.091480774900003,,5
hadamard_paired+pairwise,0.05,0.0492418,2,0.017703887544013662,29.028571225831012,,5
hadamard_paired+pairwise,0.05,0.0492418,3,0.017085364395549946,27.93141225135248,,5
hadamard_paired+pairwise,0.05,0.0492418,4,0.014162326922158183,33.00062159063283,,5
hadamard_paired+pairwise,0.05,0.0492418,5,0.019911071994955332,26.383665714589615,,5
hadamard_paired+pairwise,0.05,0.0492418,6,0.020955662554238717,25.546102331059394,,5
hadamard_paired+pairwise,0.05,0.0492418,7,0.02400199327458737,25.114974420798752,,5
hadamard_paired+pairwise,0.05,0.0492418,8,0.02264416967303093,25.90940530395674,,5
hadamard_paired+pairwise,0.05,0.0492418,9,0.01843775943056919,28.341920503067474,,5
hadamard_paired+pairwise,0.05,0.0734932,0,0.022774031565531094,27.156255277886792,,5
hadamard_paired+pairwise,0.05,0.0734932,1,0.02267663381543964,27.427783334429073,,5
hadamard_paired+pairwise,0.05,0.0734932,2,0.02594019319470428,27.369562292470146,,5
hadamard_paired+pairwise,0.05,0.0734932,3,0.02506173851782082,26.26772765685296,,5
hadamard_paired+pairwise,0.05,0.0734932,4,0.020785370942344762,31.334424753506386,,5
hadamard_paired+pairwise,0.05,0.0734932,5,0.029144949720425112,24.729029653976905,,5
hadamard_paired+pairwise,0.05,0.0734932,6,0.03067128451363227,23.89194527018639,,5
hadamard_paired+pairwise,0.05,0.0734932,7,0.03505321375785272,23.470238041974188,,5
hadamard_paired+pairwise,0.05,0.0734932,8,0.03309303010244691,24.26157989350825,,5
hadamard_paired+pairwise,0.05,0.0734932,9,0.02700607924739472,26.684314443118478,,5
hadamard_paired+pairwise,0.05,0.1,0,0.03039858889314386,25.90226385927325,,5
hadamard_paired+pairwise,0.05,0.1,1,0.030266013009071623,26.1740526381044,,5
hadamard_paired+pairwise,0.05,0.1,2,0.03458793638856885,26.120120846528305,,5
hadamard_paired+pairwise,0.05,0.1,3,0.033441333044719,25.015206745775764,,5
hadamard_paired+pairwise,0.05,0.1,4,0.027762513497741094,30.07746808729682,,5
