correction,sigma_a,object,predicts_no_flip,min_Q_minus_r
agc,0.05,0,True,1.021963853597937
agc,0.05,1,True,1.108012135808013
agc,0.05,2,True,1.0080756100960386
agc,0.05,3,True,1.0734286093520422
agc,0.05,4,True,1.1944811368866128
agc,0.05,5,True,0.8779389886758137
agc,0.05,6,True,0.8034948513236987
agc,0.05,7,True,0.7464333163581753
agc,0.05,8,True,0.7545542896626096
agc,0.05,9,True,0.9131828410039851
agc,0.1,0,True,0.29682948817337246
agc,0.1,1,True,0.3183061966819665
agc,0.1,2,True,0.2936511203069934
agc,0.1,3,True,0.31005012599802867
agc,0.1,4,True,0.34023752989520045
agc,0.1,5,True,0.2615826325820525
agc,0.1,6,True,0.24257453950757013
agc,0.1,7,True,0.22789450198410455
agc,0.1,8,True,0.2306582563943381
agc,0.1,9,True,0.2701685588567578
agc,0.15,0,True,0.16282964037229414
agc,0.15,1,True,0.17237298649226243
agc,0.15,2,True,0.1615556110047566
agc,0.15,3,True,0.16886160612250287
agc,0.15,4,True,0.1822542380276494
agc,0.15,5,True,0.1474909571127156
agc,0.15,6,True,0.13885856831373855
agc,0.15,7,True,0.13213934745655548
agc,0.15,8,True,0.13369495243439714
agc,0.15,9,True,0.1512274860428277
agc,0.3,0,True,0.08293792892302017
agc,0.3,1,True,0.0853349615514101
agc,0.3,2,True,0.08273035511586924
agc,0.3,3,True,0.08455836770417437
agc,0.3,4,True,0.08789786302347702
agc,0.3,5,True,0.07932214717915992
agc,0.3,6,True,0.07701509301236405
agc,0.3,7,True,0.0751740231761124
agc,0.3,8,True,0.07580513838833615
agc,0.3,9,True,0.08023411287140138
agc,0.5,0,True,0.06645429450611212
agc,0.5,1,True,0.0673243547516411
agc,0.5,2,True,0.0664329673711951
agc,0.5,3,True,0.06708470543869215
agc,0.5,4,True,0.06828472985569128
agc,0.5,5,True,0.06522489054856341
agc,0.5,6,True,0.0643135660752918
agc,0.5,7,True,0.06356153838418088
agc,0.5,8,True,0.06389621317589991
agc,0.5,9,True,0.06558033662607136
scgi_proxy,0.05,0,True,1.0219324206116025
scgi_proxy,0.05,1,True,1.1078693095862782
scgi_proxy,0.05,2,True,1.008124673552274
scgi_proxy,0.05,3,True,1.0731208364650477
scgi_proxy,0.05,4,True,1.1941424982654487
scgi_proxy,0.05,5,True,0.8776709348265436
scgi_proxy,0.05,6,True,0.8035067039918281
scgi_proxy,0.05,7,True,0.7465070180946375
scgi_proxy,0.05,8,True,0.7544263694678935
scgi_proxy,0.05,9,True,0.9130100803634428
scgi_proxy,0.1,0,True,0.2967853669808958
scgi_proxy,0.1,1,True,0.31820009358334345
scgi_proxy,0.1,2,True,0.2936136458547617
scgi_proxy,0.1,3,True,0.30983087932989106
scgi_proxy,0.1,4,True,0.3401690960042858
scgi_proxy,0.1,5,True,0.261493156916236
scgi_proxy,0.1,6,True,0.2425327142019293
scgi_proxy,0.1,7,True,0.22784227119176104
scgi_proxy,0.1,8,True,0.23061645586655333
scgi_proxy,0.1,9,True,0.2700964598836531
scgi_proxy,0.15,0,True,0.16276735356099334
scgi_proxy,0.15,1,True,0.1722629588626856
scgi_proxy,0.15,2,True,0.16148236200055
scgi_proxy,0.15,3,True,0.16865066651887045
scgi_proxy,0.15,4,True,0.18220961314606085
scgi_proxy,0.15,5,True,0.14742298463518777
scgi_proxy,0.15,6,True,0.13879248085146534
scgi_proxy,0.15,7,True,0.13204787170681315
scgi_proxy,0.15,8,True,0.13366112999499827
scgi_proxy,0.15,9,True,0.15115085190037014
scgi_proxy,0.3,0,True,0.08276422975516547
scgi_proxy,0.3,1,True,0.08512618682613672
scgi_proxy,0.3,2,True,0.08253011174905406
scgi_proxy,0.3,3,True,0.08426805206700747
scgi_proxy,0.3,4,True,0.08776604132990237
scgi_proxy,0.3,5,True,0.07916746384433083
scgi_proxy,0.3,6,True,0.07683666318331232
scgi_proxy,0.3,7,True,0.07496238411696717
scgi_proxy,0.3,8,True,0.07568715052326776
scgi_proxy,0.3,9,True,0.08004427196883677
scgi_proxy,0.5,0,True,0.0660289921674826
scgi_proxy,0.5,1,True,0.06686708618546662
scgi_proxy,0.5,2,True,0.06597092176044098
scgi_proxy,0.5,3,True,0.06656843308343263
scgi_proxy,0.5,4,True,0.06791310909459321
scgi_proxy,0.5,5,True,0.06482036125531403
scgi_proxy,0.5,6,True,0.06388707518218377
scgi_proxy,0.5,7,True,0.06310364087252089
scgi_proxy,0.5,8,True,0.06354368575941917
scgi_proxy,0.5,9,True,0.0651291204799782
