rho,correction,hadamard_ordered_psnr,perm_only_psnr,sign_only_psnr,srht_full_psnr,srht_minus_ordered_db,srht_minus_sign_only_db,srht_gap_to_best_ablation_db,best_ablation
0.001,agc,23.37499919645248,28.769262492048465,28.84061289135301,28.828266864618936,5.453267668166454,-0.012346026734075366,-0.012346026734075366,sign_only
0.001,none,24.443007908688305,24.878575607276925,24.58876466302631,24.59279012873525,0.1497822200469443,0.004025465708938469,-0.28578547854167624,perm_only
0.001,oracle,120.0,120.0,120.0,120.0,0.0,0.0,0.0,hadamard_ordered
0.001,pairwise,29.31351823208762,29.319369970892765,29.321317974440998,29.318226584247117,0.0047083521594970534,-0.0030913901938802724,-0.0030913901938802724,sign_only
0.1,agc,12.373472206352163,13.00066375488944,12.857511432704955,12.850382101068458,0.47690989471629486,-0.007129331636496872,-0.15028165382098102,perm_only
0.1,none,12.73129064291286,12.969671031348954,12.796727775288971,12.787734391826694,0.05644374891383386,-0.008993383462277293,-0.18193663952225947,perm_only
0.1,oracle,120.0,120.0,120.0,120.0,0.0,0.0,0.0,hadamard_ordered
0.1,pairwise,13.066535941921693,13.09179477133329,13.09020814039661,13.069272150899389,0.0027362089776961085,-0.02093598949722164,-0.022522620433901963,perm_only
1.0,agc,10.901516941340653,11.015784360790349,11.034043864460362,10.98419401577036,0.08267707442970718,-0.04984984869000186,-0.04984984869000186,sign_only
1.0,none,10.992222972469625,11.016609381666864,11.033107839753445,10.9827650325796,-0.009457939890024747,-0.05034280717384476,-0.05034280717384476,sign_only
1.0,oracle,120.0,120.0,120.0,120.0,0.0,0.0,0.0,hadamard_ordered
1.0,pairwise,11.042899049677334,11.05311148789878,11.070695835562264,11.01154544651012,-0.03135360316721503,-0.05915038905214409,-0.05915038905214409,sign_only
10.0,agc,10.779374181664425,10.856708579946352,10.876247015853526,10.815532638803228,0.03615845713880361,-0.060714377050297585,-0.060714377050297585,sign_only
10.0,none,10.840900525049287,10.858805915538143,10.876347628388876,10.815340973575434,-0.025559551473852693,-0.061006654813441585,-0.061006654813441585,sign_only
10.0,oracle,120.0,120.0,120.0,120.0,0.0,0.0,0.0,hadamard_ordered
10.0,pairwise,10.867135846748145,10.870786013895042,10.890690793588094,10.823909213683931,-0.04322663306421326,-0.06678157990416267,-0.06678157990416267,sign_only
