config_id,object,object_index,step,loss,cnr,proxy_mean,proxy_std,proxy_min,proxy_max,proxy_range,proxy_tv_l1,proxy_roughness_l2,proxy_otsu_score,proxy_otsu_threshold,proxy_otsu_fg_fraction,proxy_hist_entropy,proxy_data_loss,proxy_aug_loss,proxy_denoiser_mse,proxy_net_delta_mse,proxy_dual_abs_mean
cfg0000,stripe_target,1,1,0.00043818686390295625,2.647132158279419,0.48741450905799866,0.14685991406440735,0.0,1.0,1.0,0.26004737615585327,0.056524284183979034,0.01532082911580801,0.5161290168762207,0.3597412109375,2.9197754859924316,0.0002284239453729242,0.00020976291853003204,0.0015826348681002855,0.0001515004987595603,0.009227894246578217
cfg0000,stripe_target,1,2,0.0003645203250925988,2.7777013778686523,0.4715631604194641,0.14721758663654327,0.0,1.0,1.0,0.255979061126709,0.05609138309955597,0.015546636655926704,0.5161290168762207,0.3128662109375,2.9081246852874756,0.00022808529320172966,0.00013643503189086914,0.001718722516670823,0.0004455721937119961,0.022893909364938736
cfg0000,stripe_target,1,3,0.0007614323403686285,2.9217031002044678,0.4616521894931793,0.14659187197685242,0.0,1.0,1.0,0.24851155281066895,0.05454264208674431,0.015680329874157906,0.5161290168762207,0.2835693359375,2.884321689605713,0.000227838521823287,0.0005335938185453415,0.0018425374291837215,0.0003224314423277974,0.03504142537713051
cfg0000,stripe_target,1,4,0.0010205998551100492,3.0989902019500732,0.4651888608932495,0.14547136425971985,0.0,1.0,1.0,0.23798194527626038,0.052013423293828964,0.01584709994494915,0.5161290168762207,0.27685546875,2.848165988922119,0.00022784742759540677,0.0007927524857223034,0.0019478155300021172,0.00014128867769613862,0.03856147825717926
cfg0000,stripe_target,1,5,0.0009391161729581654,3.318666934967041,0.4828280806541443,0.14397308230400085,0.004130266606807709,1.0,0.9958697557449341,0.224748432636261,0.04865597188472748,0.01602891832590103,0.5483871102333069,0.24560546875,2.7979931831359863,0.00022796257690060884,0.0007111536106094718,0.002030344679951668,0.0003194158198311925,0.038172438740730286
cfg0000,stripe_target,1,6,0.0009921761229634285,3.574829339981079,0.5082966089248657,0.1418401598930359,0.03447148948907852,1.0,0.9655284881591797,0.20935992896556854,0.04466640576720238,0.016119152307510376,0.5806452035903931,0.23284912109375,2.7301769256591797,0.00022811807866673917,0.000764058087952435,0.0020909206941723824,0.0006947321817278862,0.04500468075275421
cfg0000,stripe_target,1,7,0.0016302249860018492,3.8455302715301514,0.5300447940826416,0.13858425617218018,0.06591880321502686,1.0,0.9340811967849731,0.19259831309318542,0.04033350199460983,0.015933530405163765,0.6129032373428345,0.22314453125,2.644674062728882,0.0002281961205881089,0.0014020288363099098,0.0021310639567673206,0.000677018309943378,0.05871007964015007
cfg0000,stripe_target,1,8,0.0023649183567613363,4.103922367095947,0.5400402545928955,0.1339748203754425,0.08945903927087784,1.0,0.9105409383773804,0.17550688982009888,0.035978179425001144,0.015343883074820042,0.6129032373428345,0.22607421875,2.5412845611572266,0.0002281351335113868,0.0021367832086980343,0.0021516033448278904,0.00035415642196312547,0.06916293501853943
cfg0000,stripe_target,1,9,0.0025399753358215094,4.317156791687012,0.5346217751502991,0.12803569436073303,0.10047033429145813,1.0,0.8995296955108643,0.1591935157775879,0.03185463324189186,0.014281307347118855,0.6129032373428345,0.2200927734375,2.419921398162842,0.0002279764594277367,0.0023119989782571793,0.0021525295451283455,0.00012633632286451757,0.0697920024394989
cfg0000,stripe_target,1,10,0.002101163612678647,4.444582939147949,0.5134011507034302,0.1210036650300026,0.097622349858284,1.0,0.9023776650428772,0.14469078183174133,0.02812696062028408,0.012974451296031475,0.5806452035903931,0.22222900390625,2.294353485107422,0.0002277734165545553,0.0018733901670202613,0.0021324187982827425,0.0002874001220334321,0.06166539341211319
cfg0000,stripe_target,1,11,0.0016253445064648986,4.440877914428711,0.4794978201389313,0.1134355366230011,0.08303709328174591,0.9815577268600464,0.8985206484794617,0.13299979269504547,0.024924231693148613,0.01145110186189413,0.5483871102333069,0.21826171875,2.18798828125,0.00022755666577722877,0.0013977878261357546,0.0020899996161460876,0.0008796682814136147,0.05544643476605415
cfg0000,stripe_target,1,12,0.0019989681895822287,4.270414352416992,0.44063499569892883,0.10633741319179535,0.05221004784107208,0.9437177181243896,0.8915076851844788,0.12494969367980957,0.022413387894630432,0.009934616275131702,0.4838709533214569,0.2286376953125,2.1253957748413086,0.0002273714344482869,0.0017715967260301113,0.002024046378210187,0.001487836241722107,0.06827039271593094
cfg0000,stripe_target,1,13,0.0035429687704890966,3.9687321186065674,0.4069911241531372,0.10072524845600128,0.02131658047437668,0.9101787805557251,0.8888621926307678,0.12079323828220367,0.02069554105401039,0.008722013793885708,0.4516128897666931,0.22601318359375,2.136073350906372,0.00022722160792909563,0.0033157472498714924,0.0019333737436681986,0.001563911559060216,0.09389320015907288
cfg0000,stripe_target,1,14,0.0053743766620755196,3.628878355026245,0.38654589653015137,0.09718818962574005,0.0,0.8825545310974121,0.8825545310974121,0.1201152354478836,0.019781624898314476,0.0078026652336120605,0.4193548262119293,0.234619140625,2.1819698810577393,0.00022717047249898314,0.0051472061313688755,0.0018217770848423243,0.0011263212654739618,0.11492197215557098
cfg0000,stripe_target,1,15,0.006281654816120863,3.3296165466308594,0.3838793635368347,0.09594615548849106,0.0,0.8619279861450195,0.8619279861450195,0.12270954251289368,0.019662976264953613,0.007346873637288809,0.4193548262119293,0.23541259765625,2.237671375274658,0.00022720961715094745,0.006054445169866085,0.001694610109552741,0.0005337721086107194,0.12217961251735687
cfg0000,stripe_target,1,16,0.005654547829180956,3.104130268096924,0.40065622329711914,0.09705833345651627,0.0,0.8605571389198303,0.8605571389198303,0.12870679795742035,0.02035842277109623,0.007253647316247225,0.4516128897666931,0.22369384765625,2.303293228149414,0.00022729524062015116,0.005427252501249313,0.001560889882966876,0.00014707184163853526,0.11206747591495514
cfg0000,stripe_target,1,17,0.0037883922923356295,2.9510443210601807,0.43597927689552307,0.10049621760845184,0.018197737634181976,0.8825047016143799,0.8643069863319397,0.1383233517408371,0.021898742765188217,0.007639674469828606,0.4838709533214569,0.232177734375,2.389371395111084,0.00022742149303667247,0.0035609707701951265,0.0014322695787996054,0.00022525139502249658,0.0862923264503479
