config_id,config_index,global_config_index,init_seed,object,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,best_trace_cnr_from_trace,best_trace_step,best_trace_cnr_audited,sweep,sweep_dir,final_hits_apl_min,trace_hits_apl_min,object_index,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0011,11,11,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.1,24,3,0.3,nlm,3,0.12,2.722565174102783,7.487972259521484,0.1661263406276703,0.0046857297420501,0.9740339702575446,3.7165374755859375,0.0005855029448866,3.7165374755859375,38,3.7165374755859375,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0012,12,12,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.06,3.307601928710937,7.402843475341797,0.1539678573608398,0.0046857297420501,0.9740339702575446,3.421428680419922,0.0002526173775549,3.421428680419922,194,3.421428680419922,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0013,13,13,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.08,3.0371692180633545,7.293702125549316,0.1081398576498031,0.0046857297420501,0.9740339702575446,3.221691846847534,0.000323353393469,3.221691846847534,5,3.221691846847534,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0014,14,14,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.1,2.6932780742645264,7.2294416427612305,0.0862775295972824,0.0046857297420501,0.9740339702575446,3.2207491397857666,0.0003774619835894,3.2207491397857666,5,3.2207491397857666,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0015,15,15,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.12,2.5353147983551025,7.220653533935547,0.077563852071762,0.0046857297420501,0.9740339702575446,3.180847644805908,0.0003792090283241,3.180847644805908,5,3.180847644805908,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0016,16,16,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.06,1.0747148990631104,1.238917112350464,0.009377509355545,0.0046857297420501,0.9740339702575446,8.217822074890137,0.0639815628528595,8.217822074890137,92,8.217822074890137,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0017,17,17,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.08,1.6737914085388184,1.2407150268554688,0.0055705280974507,0.0046857297420501,0.9740339702575446,7.801931381225586,0.0617920607328414,7.801931381225586,164,7.801931381225586,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0018,18,18,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.1,1.36907160282135,1.1703286170959473,0.0022874069400131,0.0046857297420501,0.9740339702575446,6.164307117462158,0.0625635758042335,6.164307117462158,127,6.164307117462158,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0019,19,19,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.1,24,3,0.3,nlm,3,0.12,1.282196879386902,1.15586256980896,0.0017018024809658,0.0046857297420501,0.9740339702575446,5.142920970916748,0.0626996308565139,5.142920970916748,127,5.142920970916748,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0020,20,20,20240709,stripe_target,scgi_ured,200,0.001,0.25,0.25,0.25,24,3,0.3,nlm,3,0.06,2.889781951904297,8.189142227172852,0.073595181107521,0.0046857297420501,0.9740339702575446,8.62624740600586,0.0018189242109656,8.62624740600586,60,8.62624740600586,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
