config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,binary_prior_weight,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_binary_prior_loss,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0000,0,0,20240710,stripe_target,1,scgi_ured,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.0,9.670024871826172,7.307069301605225,0.18241125345230103,0.004685699939727783,0.9740428844495653,9.670024871826172,0.0026315180584788322,0.5103652477264404,0.10047110915184021,0.19636330008506775,0.8184880018234253,0.6221246719360352,0.07576469331979752,0.013929611071944237,0.010346406139433384,0.5806452035903931,0.2119140625,1.432392954826355,0.00022745355090592057,0.002404064405709505,0.004392844624817371,0.0,3.2586998713668436e-05,0.07612443715333939
cfg0001,1,1,20240710,stripe_target,1,scgi_ured,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.005,9.696053504943848,7.327622413635254,0.18440502882003784,0.004685699939727783,0.9740428844495653,9.696053504943848,0.002592438831925392,0.5100721120834351,0.10163551568984985,0.1923166811466217,0.8214012980461121,0.629084587097168,0.07622140645980835,0.014269125647842884,0.010532304644584656,0.5806452035903931,0.21185302734375,1.4333018064498901,0.00022745225578546524,0.002364986576139927,0.004391739144921303,0.05419592559337616,3.301473043393344e-05,0.07547734677791595
cfg0002,2,2,20240710,stripe_target,1,scgi_ured,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.01,9.710577011108398,7.348272800445557,0.1864006072282791,0.004685699939727783,0.9740428844495653,9.710577011108398,0.002554182196035981,0.5097780227661133,0.10281402617692947,0.18904735147953033,0.8243158459663391,0.63526850938797,0.07687949389219284,0.014621207490563393,0.01075082179158926,0.5806452035903931,0.21197509765625,1.4339518547058105,0.00022745104797650129,0.002326731104403734,0.004390415735542774,0.054177314043045044,3.3494678064016625e-05,0.07483792304992676
cfg0003,3,3,20240710,stripe_target,1,scgi_ured,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.02,9.706246376037598,7.389795303344727,0.1903895139694214,0.004685699939727783,0.9740428844495653,9.706246376037598,0.0024803937412798405,0.5091898441314697,0.10521122068166733,0.18179689347743988,0.8299940824508667,0.6481971740722656,0.07884830236434937,0.01536266878247261,0.011216703802347183,0.5806452035903931,0.2120361328125,1.4638266563415527,0.0002274517755722627,0.0022529419511556625,0.004387977998703718,0.05413937196135521,3.461894084466621e-05,0.07359026372432709
cfg0004,4,4,20240710,stripe_target,1,scgi_ured,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.05,9.480091094970703,7.5164008140563965,0.20234480500221252,0.004685699939727783,0.9740428844495653,9.480091094970703,0.002280677668750286,0.5074142813682556,0.11273116618394852,0.16215014457702637,0.846576452255249,0.6844263076782227,0.08924467116594315,0.01790527068078518,0.012922324240207672,0.5806452035903931,0.21270751953125,1.6309597492218018,0.0002274523430969566,0.002053225412964821,0.004380113445222378,0.05401867628097534,3.953455598093569e-05,0.07008804380893707
cfg0005,5,5,20240710,stripe_target,1,scgi_ured,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.1,8.757189750671387,7.733959197998047,0.2220793068408966,0.004685699939727783,0.9740428844495653,8.757189750671387,0.002026133006438613,0.5043919086456299,0.12627951800823212,0.1312577724456787,0.872420072555542,0.7411623001098633,0.11276193708181381,0.02327139675617218,0.015982626006007195,0.5806452035903931,0.21380615234375,1.8798445463180542,0.00022745691239833832,0.0017986760940402746,0.004364694468677044,0.053794652223587036,5.4594249377259985e-05,0.06522136926651001
cfg0006,6,6,20240710,stripe_target,1,scgi_ured,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.2,7.324881553649902,8.177386283874512,0.25966447591781616,0.004685699939727783,0.9740428844495653,7.707696914672852,0.001859834068454802,0.4986822009086609,0.1567700058221817,0.07782497256994247,0.9303304553031921,0.8525055050849915,0.1664535105228424,0.03890379145741463,0.02381448820233345,0.5806452035903931,0.2169189453125,2.334451198577881,0.0002274959988426417,0.0016323380405083299,0.0043217092752456665,0.05327482894062996,0.00013018770550843328,0.05935624614357948
cfg0007,7,7,20240710,stripe_target,1,scgi_ured,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.4,5.68414831161499,9.08169937133789,0.3198646306991577,0.004685699939727783,0.9740428844495653,5.728125095367432,0.003287932835519314,0.4843228757381439,0.2292291671037674,0.006627574563026428,1.0,0.9933724403381348,0.28955522179603577,0.09540067613124847,0.047507040202617645,0.6129032373428345,0.22650146484375,2.931840658187866,0.00022767484188079834,0.0030602579936385155,0.004153585061430931,0.05199268460273743,0.0006232137093320489,0.07479869574308395
