config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,binary_prior_weight
cfg0002,1,9.710577011108398,9.710577011108398,7.348272800445557,7.348272800445557,0.1864006072282791,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.01
cfg0003,1,9.706246376037598,9.706246376037598,7.389795303344727,7.389795303344727,0.1903895139694214,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.02
cfg0001,1,9.696053504943848,9.696053504943848,7.327622413635254,7.327622413635254,0.18440502882003784,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.005
cfg0000,1,9.670024871826172,9.670024871826172,7.307069301605225,7.307069301605225,0.18241125345230103,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.0
cfg0004,1,9.480091094970703,9.480091094970703,7.5164008140563965,7.5164008140563965,0.20234480500221252,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.05
cfg0005,1,8.757189750671387,8.757189750671387,7.733959197998047,7.733959197998047,0.2220793068408966,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.1
cfg0006,1,7.324881553649902,7.324881553649902,8.177386283874512,8.177386283874512,0.25966447591781616,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.2
cfg0007,1,5.68414831161499,5.68414831161499,9.08169937133789,9.08169937133789,0.3198646306991577,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6,0.4
