image_size,num_pixels,num_frames,basis,object,coefficient_count,top_1pct_energy,top_5pct_energy,top_10pct_energy,effective_rank,effective_rank_frac
16,256,512,random_uniform,0,512,0.08330895435815655,0.2755503909605785,0.4365373384880653,249.98762443531032,0.4882570789752155
16,256,512,random_uniform,1,512,0.10181175401801021,0.3037441596534333,0.47358874099638043,229.31262004101748,0.44787621101761227
16,256,512,random_uniform,2,512,0.08834356378845461,0.2631213246397298,0.4174456762895732,257.9585059973905,0.5038252070261533
16,256,512,random_uniform,3,512,0.10142247271084798,0.2892821179824001,0.4478105676859689,237.7833732012682,0.46442065078372696
16,256,512,random_uniform,4,512,0.10080964625689841,0.29018746693816067,0.4520746131448222,248.018285490667,0.484410713848959
16,256,512,random_binary,0,512,0.09840013489416141,0.29150842560088297,0.46124355696396924,231.04546756204806,0.4512606788321251
16,256,512,random_binary,1,512,0.0770986907509968,0.26229189341354464,0.42800798910109816,260.22298558909114,0.5082480187286936
16,256,512,random_binary,2,512,0.08747501519859216,0.26349534019286336,0.42986022186827,251.7804905107497,0.491758770528808
16,256,512,random_binary,3,512,0.09592533626124992,0.2967803073763892,0.45558356641691916,244.0967466973245,0.4767514583932119
16,256,512,random_binary,4,512,0.098462260284772,0.2912554221293825,0.4488132208456672,235.27068933227284,0.4595130651020954
16,256,512,hadamard_paired,0,256,0.5792903239096205,0.7917228662925038,0.8946921784936717,15.50028901029832,0.060548003946477816
16,256,512,hadamard_paired,1,256,0.6191794927971253,0.7680066674289462,0.8285849222634671,18.571527628366358,0.07254502979830608
16,256,512,hadamard_paired,2,256,0.55729996262332,0.7766670480803018,0.8574577300703684,18.3408477871576,0.07164393666858437
16,256,512,hadamard_paired,3,256,0.6140262044145205,0.7775432649102691,0.8467677329949909,16.988441292608684,0.06636109879925267
16,256,512,hadamard_paired,4,256,0.550681813288843,0.7670268703446705,0.8482560804504582,18.258081485764187,0.07132063080376635
16,256,512,dct_paired,0,256,0.7293882391995424,0.8877107636995879,0.9331223340076032,7.58433380663701,0.02962630393217582
16,256,512,dct_paired,1,256,0.6857738786493125,0.8200178265437468,0.8820774868613088,11.283268878609189,0.04407526905706714
16,256,512,dct_paired,2,256,0.6690298400970883,0.8296925668218337,0.8877372754776361,9.705185077698127,0.03791087920975831
16,256,512,dct_paired,3,256,0.7900817394379811,0.870360128711179,0.9138064327182628,7.396597784547322,0.028892960095887977
16,256,512,dct_paired,4,256,0.7060118557116682,0.8454207924595429,0.899346677487937,8.925751063668962,0.03486621509245688
16,256,512,fourier_fourstep,0,128,0.6930460766912386,0.8564065849863087,0.9051182523410051,6.604981479424243,0.0516014178080019
16,256,512,fourier_fourstep,1,128,0.6501838701284548,0.775651892196807,0.8290306319994386,10.064641742868952,0.07863001361616369
16,256,512,fourier_fourstep,2,128,0.7150970169871987,0.8372449721696005,0.8750263380537886,7.258553116204396,0.05670744622034685
16,256,512,fourier_fourstep,3,128,0.7227900751661885,0.8343383201349018,0.8778652341091684,6.871402213485079,0.05368282979285218
16,256,512,fourier_fourstep,4,128,0.6941277131394838,0.8283948659647908,0.8790831753809684,7.363838134754561,0.057529985427770006
16,256,512,srht_paired,0,256,0.07855571686502531,0.25601474535672925,0.40517817238372766,135.5857010672207,0.5296316447938308
16,256,512,srht_paired,1,256,0.08678251696229904,0.2478288679491151,0.40689348892514443,132.43048879449202,0.5173065968534845
16,256,512,srht_paired,2,256,0.1042522287695468,0.28504389952388126,0.4398725853989235,125.18880286600191,0.48901876119531995
16,256,512,srht_paired,3,256,0.08567220982167893,0.250968804765794,0.4245553777533434,126.02246108132637,0.49227523859893113
16,256,512,srht_paired,4,256,0.07730241652329507,0.27127365820873517,0.43601118819775697,125.65119421484825,0.49082497740175096
32,1024,2048,random_uniform,0,2048,0.09398492656919305,0.2935863476692192,0.4490699283999591,959.2279660359569,0.4683730302909946
32,1024,2048,random_uniform,1,2048,0.08751010041510399,0.27705880279545064,0.4373022801668157,978.9556390210682,0.478005683115756
32,1024,2048,random_uniform,2,2048,0.08692604885225831,0.2903061661484655,0.45205081334529085,958.5964194743801,0.46806465794647467
32,1024,2048,random_uniform,3,2048,0.0936243495592932,0.2938443616033693,0.4533038154245834,964.397710047363,0.470897319359064
32,1024,2048,random_uniform,4,2048,0.08529636439932348,0.27319866860525854,0.4306405922758833,1005.5276145928052,0.49098028056289317
32,1024,2048,random_binary,0,2048,0.07754191284076012,0.27683356989548746,0.4364781578728757,1000.5358171139087,0.48854287945015074
32,1024,2048,random_binary,1,2048,0.08244739887938221,0.2699027869201717,0.4289888534120775,1012.9886393204661,0.4946233590431963
32,1024,2048,random_binary,2,2048,0.08581594633235597,0.28961957255522136,0.45522586505101675,971.8696058567533,0.4745457059847428
32,1024,2048,random_binary,3,2048,0.08244873600571037,0.26971294318079514,0.42132180522096097,1031.344933423763,0.5035863932733218
32,1024,2048,random_binary,4,2048,0.08460054561256596,0.27622195795473997,0.43817522810571763,977.6549636642492,0.47737058772668417
32,1024,2048,hadamard_paired,0,1024,0.6527577704434933,0.7808485139564553,0.8492791798065094,36.172748756842715,0.035324949957854214
32,1024,2048,hadamard_paired,1,1024,0.6607935219654588,0.860388774901218,0.909055595667952,30.43327267870054,0.029719992850293496
32,1024,2048,hadamard_paired,2,1024,0.7597526433847696,0.894959499107504,0.9380671593160291,24.390563708102192,0.023818909871193547
32,1024,2048,hadamard_paired,3,1024,0.49453936933970477,0.7150169031222762,0.8138347657149977,82.93088184251258,0.08098718929932869
32,1024,2048,hadamard_paired,4,1024,0.6082821874994206,0.8174158939790814,0.8906745712164353,47.60559294224876,0.04648983685766481
32,1024,2048,dct_paired,0,1024,0.7668150634928632,0.851878181930525,0.9010623746128731,15.547426712664748,0.015183033899086668
32,1024,2048,dct_paired,1,1024,0.7706025744041576,0.8985346420707777,0.9430554050986328,13.607422137031962,0.013288498180695276
32,1024,2048,dct_paired,2,1024,0.8113112793373777,0.9125714829069485,0.947508584184573,12.50251474839882,0.012209487058983223
32,1024,2048,dct_paired,3,1024,0.6678762023962198,0.8111471755827017,0.879263184578665,34.87128527355367,0.03405398952495475
32,1024,2048,dct_paired,4,1024,0.6668709244615803,0.8325316161404143,0.9055044095644134,30.178304566291747,0.029471000553019284
