correction,challenger,baseline,observed_points,left_censored_points,not_reached_points,law,fit_status,n,bootstrap_iterations,intercept,intercept_se,r2,rmse_log10,sigma_a_exponent,sigma_a_exponent_se,intercept_ci_low,intercept_ci_high,sigma_a_exponent_ci_low,sigma_a_exponent_ci_high
agc,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
agc,fourier_fourstep,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
agc,random_binary,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
agc,random_uniform,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
agc,srht_paired,hadamard_paired,0,5,0,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
none,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
none,fourier_fourstep,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
none,random_binary,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
none,random_uniform,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
none,srht_paired,hadamard_paired,3,2,0,rho_star ~ sigma_a^a,ok,3,200,-2.192912714544377,0.8274828838332888,0.610822987392175,0.1537688341018706,-0.9778941783894043,0.7805626462990437,-3.969362295916121,-0.4999999999999999,-2.969362295916121,0.7473754865404889
pairwise,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
pairwise,srht_paired,hadamard_paired,0,5,0,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
reference_k2,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
reference_k2,fourier_fourstep,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
reference_k2,random_binary,hadamard_paired,1,0,4,rho_star ~ sigma_a^a,insufficient_points,1,0,,,,,,,,,,
reference_k2,random_uniform,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
reference_k2,srht_paired,hadamard_paired,0,5,0,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
reference_k32,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
reference_k32,fourier_fourstep,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
reference_k32,random_binary,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
reference_k32,random_uniform,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
reference_k32,srht_paired,hadamard_paired,5,0,0,rho_star ~ sigma_a^a,ok,5,200,-1.84478168300735,0.14734629263067014,0.9592269679164702,0.10370807191002519,-1.4321323402191046,0.17047014834401694,-2.094154829245778,-1.4326843814665315,-1.9429059971118916,-0.9994078368719695
reference_k8,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
reference_k8,fourier_fourstep,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
reference_k8,random_binary,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
reference_k8,random_uniform,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
reference_k8,srht_paired,hadamard_paired,5,0,0,rho_star ~ sigma_a^a,ok,5,200,-3.09783839325312,0.08743669941318442,0.9924272242242159,0.06154136183831141,-2.005789227223717,0.10115861657298474,-3.2499052382636107,-2.983359024093056,-2.177125190632783,-1.8780624692700856
scgi_frozen,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
scgi_frozen,fourier_fourstep,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
scgi_frozen,random_binary,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
scgi_frozen,random_uniform,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
scgi_frozen,srht_paired,hadamard_paired,0,5,0,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
scgi_proxy,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
scgi_proxy,fourier_fourstep,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
scgi_proxy,random_binary,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
scgi_proxy,random_uniform,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_points,0,0,,,,,,,,,,
scgi_proxy,srht_paired,hadamard_paired,5,0,0,rho_star ~ sigma_a^a,ok,5,200,-2.880946691524317,0.23572624073209952,0.920772817922538,0.16591332899159691,-1.6103371941329125,0.2727200427560272,-3.2070474308874033,-2.3364409694988715,-2.179247776862389,-1.0941171729328814
