image_size,num_pixels,num_frames,basis,top_1pct_energy_mean,top_5pct_energy_mean,top_10pct_energy_mean,effective_rank_frac_mean
16,256,512,dct_paired,0.7160571106191185,0.8506404156471781,0.9032180413105497,0.03507432547746923
32,1024,2048,dct_paired,0.7366952088184398,0.8613326197262735,0.9152787916078313,0.02084120184334784
64,4096,8192,dct_paired,0.8030715287983476,0.9208902221574636,0.9560578047183876,0.008293753356784514
16,256,512,fourier_fourstep,0.6950489504225129,0.8264073270904818,0.8732247263768738,0.05963033857302692
32,1024,2048,fourier_fourstep,0.6953495085114418,0.8331074965791068,0.8910275853282819,0.035096274597385964
64,4096,8192,fourier_fourstep,0.7799033432305449,0.9016262805374975,0.9434502091451125,0.012911973523500117
16,256,512,hadamard_paired,0.5840955594066859,0.7761933434113383,0.8551517288545913,0.06848374000327746
32,1024,2048,hadamard_paired,0.6352250985265695,0.8137259170133071,0.8801822543443848,0.04326817576726695
64,4096,8192,hadamard_paired,0.725318922661927,0.8822904391144523,0.9312687830974061,0.01883690591047709
16,256,512,random_binary,0.09147228747795447,0.28106627774261256,0.44470171103918477,0.4775063983169868
32,1024,2048,random_binary,0.08257090793415492,0.27645816610128315,0.43603798193252974,0.48773378509561915
64,4096,8192,random_binary,0.08369432401891047,0.2785829212939875,0.43944743485861804,0.48411659916012895
16,256,512,random_uniform,0.09513927822647354,0.28437709203486045,0.44549138732096194,0.4777579723303334
32,1024,2048,random_uniform,0.0894683579590344,0.28559886936435264,0.44447348592250646,0.47526419425503647
64,4096,8192,random_uniform,0.08539189479208836,0.27912821895249273,0.4400335830045024,0.4812928703209317
16,256,512,srht_paired,0.08651301778836903,0.26222599516085093,0.4225021625317792,0.5038114437686635
32,1024,2048,srht_paired,0.08573928417511574,0.27793823273222396,0.4367213744726931,0.48677886729091996
64,4096,8192,srht_paired,0.0857138613818056,0.2812721000427788,0.4409933960318465,0.48198301650126485
