image_size,num_pixels,basis,rho,sigma_a,window_frac,window_frames,seed,object,gain_rel_mse,gain_corr,gain_scale
32,1024,random_uniform,0.001,0.05,0.005,10,0,0,0.00010868613026104867,0.9314942359924316,0.9998894929885864
32,1024,random_uniform,0.001,0.05,0.01,20,0,0,5.744651934946887e-05,0.9613730311393738,0.9999470114707947
32,1024,random_uniform,0.001,0.05,0.02,41,0,0,3.920194649253972e-05,0.9724335074424744,0.99997878074646
32,1024,random_uniform,0.001,0.05,0.05,102,0,0,4.78337133245077e-05,0.9658414721488953,1.0000114440917969
32,1024,random_uniform,0.001,0.05,0.1,205,0,0,7.847362576285377e-05,0.9470041990280151,1.0000526905059814
32,1024,random_uniform,0.001,0.05,0.2,410,0,0,0.0002143209712812677,0.8478023409843445,1.0000721216201782
32,1024,random_uniform,0.001,0.05,0.005,10,0,1,9.222378139384091e-05,0.9805113077163696,0.9998787045478821
32,1024,random_uniform,0.001,0.05,0.01,20,0,1,5.4490174079546705e-05,0.9882844090461731,0.9999226927757263
32,1024,random_uniform,0.001,0.05,0.02,41,0,1,4.618728416971862e-05,0.9898627400398254,0.999947190284729
32,1024,random_uniform,0.001,0.05,0.05,102,0,1,5.9077829064335674e-05,0.9867018461227417,0.9999802708625793
32,1024,random_uniform,0.001,0.05,0.1,205,0,1,0.00010140382801182568,0.9770298004150391,1.0000181198120117
32,1024,random_uniform,0.001,0.05,0.2,410,0,1,0.00020256613788660616,0.9544548392295837,1.0000874996185303
32,1024,random_uniform,0.001,0.05,0.005,10,0,2,8.248366793850437e-05,0.9382874369621277,0.99993497133255
32,1024,random_uniform,0.001,0.05,0.01,20,0,2,4.916337275062688e-05,0.9614744186401367,0.9999752044677734
32,1024,random_uniform,0.001,0.05,0.02,41,0,2,3.9907710743136704e-05,0.9682168960571289,1.0000020265579224
32,1024,random_uniform,0.001,0.05,0.05,102,0,2,6.877586565678939e-05,0.9456027150154114,1.0000255107879639
32,1024,random_uniform,0.001,0.05,0.1,205,0,2,0.00010917452163994312,0.9142616987228394,1.0000444650650024
32,1024,random_uniform,0.001,0.05,0.2,410,0,2,0.00021296701743267477,0.8217516541481018,1.0000441074371338
32,1024,random_uniform,0.001,0.05,0.005,10,0,3,0.00010399890743428841,0.8630502223968506,0.9999032616615295
32,1024,random_uniform,0.001,0.05,0.01,20,0,3,5.929994586040266e-05,0.9129276871681213,0.9999524354934692
32,1024,random_uniform,0.001,0.05,0.02,41,0,3,3.8870050047989935e-05,0.9384857416152954,0.9999822378158569
32,1024,random_uniform,0.001,0.05,0.05,102,0,3,4.24969766754657e-05,0.9306930899620056,1.000002384185791
32,1024,random_uniform,0.001,0.05,0.1,205,0,3,6.0377013141987845e-05,0.9015090465545654,1.0000145435333252
32,1024,random_uniform,0.001,0.05,0.2,410,0,3,9.57611482590437e-05,0.838187038898468,1.000016212463379
32,1024,random_uniform,0.001,0.05,0.005,10,0,4,0.0001335110719082877,0.9356813430786133,0.9998560547828674
32,1024,random_uniform,0.001,0.05,0.01,20,0,4,8.374844037462026e-05,0.9574333429336548,0.9999141097068787
32,1024,random_uniform,0.001,0.05,0.02,41,0,4,6.530588143505156e-05,0.9653093218803406,0.9999484419822693
32,1024,random_uniform,0.001,0.05,0.05,102,0,4,7.538670615758747e-05,0.9580538868904114,0.9999929666519165
32,1024,random_uniform,0.001,0.05,0.1,205,0,4,0.000123125733807683,0.9315616488456726,1.0000369548797607
32,1024,random_uniform,0.001,0.05,0.2,410,0,4,0.00031299045076593757,0.8119688630104065,1.0000170469284058
32,1024,random_uniform,0.001,0.05,0.005,10,1,0,0.00010907962860073894,0.9297686219215393,0.9999178051948547
32,1024,random_uniform,0.001,0.05,0.01,20,1,0,5.813677125843242e-05,0.96067214012146,0.999974250793457
32,1024,random_uniform,0.001,0.05,0.02,41,1,0,4.1906470869435e-05,0.9713760614395142,1.0000029802322388
32,1024,random_uniform,0.001,0.05,0.05,102,1,0,4.442166755325161e-05,0.9711552262306213,1.0000370740890503
32,1024,random_uniform,0.001,0.05,0.1,205,1,0,0.00010015674342866987,0.9347676038742065,1.0000582933425903
32,1024,random_uniform,0.001,0.05,0.2,410,1,0,0.0002278344181831926,0.838947594165802,1.000056505203247
32,1024,random_uniform,0.001,0.05,0.005,10,1,1,8.997073018690571e-05,0.9482874870300293,0.9998877048492432
32,1024,random_uniform,0.001,0.05,0.01,20,1,1,5.3247593314154074e-05,0.9676560163497925,0.9999329447746277
32,1024,random_uniform,0.001,0.05,0.02,41,1,1,4.0221260860562325e-05,0.9741062521934509,0.9999624490737915
32,1024,random_uniform,0.001,0.05,0.05,102,1,1,5.5539330787723884e-05,0.9623847603797913,0.9999948740005493
32,1024,random_uniform,0.001,0.05,0.1,205,1,1,8.327282557729632e-05,0.9436163306236267,1.000023365020752
32,1024,random_uniform,0.001,0.05,0.2,410,1,1,0.00017789643607102334,0.8755895495414734,1.000035285949707
32,1024,random_uniform,0.001,0.05,0.005,10,1,2,8.207865175791085e-05,0.9794577956199646,0.9999853372573853
32,1024,random_uniform,0.001,0.05,0.01,20,1,2,5.3475429012905806e-05,0.98670494556427,1.0000207424163818
32,1024,random_uniform,0.001,0.05,0.02,41,1,2,4.664565494749695e-05,0.988561749458313,1.000038504600525
32,1024,random_uniform,0.001,0.05,0.05,102,1,2,5.87817448831629e-05,0.9857823252677917,1.0000584125518799
32,1024,random_uniform,0.001,0.05,0.1,205,1,2,9.484835754847154e-05,0.9772087335586548,1.0000838041305542
32,1024,random_uniform,0.001,0.05,0.2,410,1,2,0.00019540716311894357,0.9537637233734131,1.0001428127288818
32,1024,random_uniform,0.001,0.05,0.005,10,1,3,0.0001035752211464569,0.9512403607368469,0.9999248385429382
32,1024,random_uniform,0.001,0.05,0.01,20,1,3,6.0000405937898904e-05,0.9708680510520935,0.999974250793457
32,1024,random_uniform,0.001,0.05,0.02,41,1,3,4.0635331970406696e-05,0.9801518321037292,1.0000033378601074
32,1024,random_uniform,0.001,0.05,0.05,102,1,3,4.586493378155865e-05,0.9779901504516602,1.0000284910202026
32,1024,random_uniform,0.001,0.05,0.1,205,1,3,8.590312791056931e-05,0.9584305882453918,1.0000391006469727
32,1024,random_uniform,0.001,0.05,0.2,410,1,3,0.00015835296653676778,0.9220806360244751,1.0000524520874023
32,1024,random_uniform,0.001,0.05,0.005,10,1,4,0.00013149531150702387,0.942531168460846,0.9998834133148193
32,1024,random_uniform,0.001,0.05,0.01,20,1,4,8.185367187252268e-05,0.9627097249031067,0.9999402165412903
32,1024,random_uniform,0.001,0.05,0.02,41,1,4,6.384126754710451e-05,0.9702135920524597,0.9999710917472839
32,1024,random_uniform,0.001,0.05,0.05,102,1,4,6.805832526879385e-05,0.9678341150283813,1.0000070333480835
32,1024,random_uniform,0.001,0.05,0.1,205,1,4,0.0001253949012607336,0.9399206638336182,1.0000128746032715
32,1024,random_uniform,0.001,0.05,0.2,410,1,4,0.0002559213316999376,0.8728212714195251,0.9999969005584717
32,1024,random_uniform,0.001,0.05,0.005,10,2,0,0.00010932689474429935,0.9716583490371704,0.9999006390571594
32,1024,random_uniform,0.001,0.05,0.01,20,2,0,5.972417420707643e-05,0.9841489195823669,0.9999557137489319
32,1024,random_uniform,0.001,0.05,0.02,41,2,0,4.304952744860202e-05,0.9884372353553772,0.9999837279319763
32,1024,random_uniform,0.001,0.05,0.05,102,2,0,5.7070170441875234e-05,0.9846236705780029,1.0000145435333252
32,1024,random_uniform,0.001,0.05,0.1,205,2,0,0.00011175965482834727,0.969792902469635,1.0000346899032593
32,1024,random_uniform,0.001,0.05,0.2,410,2,0,0.00022264719882514328,0.9391183853149414,1.0000596046447754
32,1024,random_uniform,0.001,0.05,0.005,10,2,1,8.945800072979182e-05,0.9396435618400574,0.9999298453330994
32,1024,random_uniform,0.001,0.05,0.01,20,2,1,5.0938138883793727e-05,0.9640556573867798,0.9999746084213257
32,1024,random_uniform,0.001,0.05,0.02,41,2,1,3.7079884350532666e-05,0.9735028147697449,1.0000035762786865
32,1024,random_uniform,0.001,0.05,0.05,102,2,1,5.311929271556437e-05,0.9633209705352783,1.0000349283218384
32,1024,random_uniform,0.001,0.05,0.1,205,2,1,0.00011409909348003566,0.9199799299240112,1.0000507831573486
32,1024,random_uniform,0.001,0.05,0.2,410,2,1,0.000209593097679317,0.8516521453857422,1.000072956085205
32,1024,random_uniform,0.001,0.05,0.005,10,2,2,8.173539390554652e-05,0.9086069464683533,0.9999108910560608
32,1024,random_uniform,0.001,0.05,0.01,20,2,2,4.9933616537600756e-05,0.9393156170845032,0.9999486207962036
