basis,law,fit_status,n,intercept,intercept_se,r2,rmse_log10,rho_exponent,rho_exponent_se,sigma_a_exponent,sigma_a_exponent_se,bootstrap_iterations,intercept_ci_low,intercept_ci_high,rho_exponent_ci_low,rho_exponent_ci_high,sigma_a_exponent_ci_low,sigma_a_exponent_ci_high
hadamard_paired,best_agc_window_frames ~ rho^a * sigma_a^b,ok,28,1.0,1.269475258830831e-16,1.0,2.3737566748887e-16,-1.2264516473107708e-16,4.747209090366562e-17,2.3494413395652588e-17,1.2670169682517937e-16,200,0.9999999999999994,1.0000000000000004,-3.5538129859007347e-16,3.816968882958357e-16,-3.6117879009025575e-16,3.7187043366887817e-16
random_binary,best_agc_window_frames ~ rho^a * sigma_a^b,ok,28,0.6913981366386251,0.08291110179867679,0.5503697835410217,0.15503317606854783,-0.12417897380373105,0.031004648055408552,-0.31575418732952404,0.08275054760194753,200,0.4202483257523594,0.9026486361934608,-0.19888651135229246,-0.051006908492648606,-0.5561254523332906,-0.10436047574594773
random_uniform,best_agc_window_frames ~ rho^a * sigma_a^b,ok,28,0.8229796138632314,0.05709528000480384,0.4354430732402387,0.10676088491938311,-0.06478775030295772,0.021350808562071232,-0.18087318239221478,0.05698471716557801,200,0.6885357313027587,0.9574774674223371,-0.12047423989745935,-0.014240254557916597,-0.3219964787572621,-0.0463356704875661
srht_paired,best_agc_window_frames ~ rho^a * sigma_a^b,ok,28,0.9172173289884147,0.034820985751296496,0.2946588642833722,0.06511079816511736,-0.02690936742612278,0.01302132506673037,-0.08634819102171143,0.03475355623612498,200,0.8220692409194067,1.0000000000000002,-0.05594848304291857,1.610785258180785e-16,-0.1722366669842157,1.7832185549193814e-16
